blockId	state	lightStrength	color	blockColor	requiresNoTool	lightEmitted	lightDiffuseDis	transparent	transparentMode	transparentGridMode	renderable	resistance	hardness	flammable	collisionBox_min	collisionBox_max	jigsawBeginBlockId	jigsaw1	jigsaw2	jigsaw3	jigsaw4	blockFaceToPlayer
id	方块状态（必填 2 GAS 气态，1 SOLID 固态）	方块发光（1-15）	颜色（材质颜色，必填）	方块颜色（可留空）	不需要工具	光照（rgb 0-15 例如 15#15#15）	光照的扩散范围（默认15）	透明（0 false  1 true)	透明模式（ 1 ALPHA_BLEND 阿尔法混合  2 MULTIPLY 混合   3 LIGHT_MULTIPLY 光混合）	网格透明模式（0 false  1 true)	是否可渲染（默认true)	阻力（float  0.0-10000）	硬度	可燃性 (0 false  1 true)	碰撞盒（必填） min(x  y  z) 	碰撞盒（必填） max	拼接起始方块ID(默认填 -1，范围 0-10000)	左上	右上	右下	左下	方块是否面向玩家（0 false 1 true 默认 false 开启后方块正面始终朝向玩家 注意：开启可能存在性能问题 ）
1801	1		A7A7A7		1						1	4	2	1	0.0#0.0#0.0	1.0#1.0#1.0						1
1802	1		A7A7A7		1						1	4	2	1	0.0#0.0#0.0	1.0#1.0#1.0						0
1803	1		A7A7A7		1						1	4	2	1	0.0#0.0#0.0	1.0#1.0#1.0						0
1804	1		A7A7A7		1						1	4	2	1	0.0#0.0#0.0	1.0#1.0#1.0						0
1805	1		A7A7A7		1						1	4	2	1	0.0#0.0#0.0	1.0#1.0#1.0						1
1806	1	3	A7A7A7		1						1	4	2	1	0.0#0.0#0.0	1.0#1.0#1.0						1
1807	1		A7A7A7		1						1	4	2	1	0.0#0.0#0.0	1.0#1.0#1.0						1
1808	1		A7A7A7		1						1	4	2	1	0.0#0.0#0.0	1.0#1.0#1.0						1
1809	1		A7A7A7		1						1	4	2	1	0.0#0.0#0.0	1.0#1.0#1.0						1
1810	1		A7A7A7		1						1	4	2	1	0.0#0.0#0.0	1.0#1.0#1.0						1
1811	1		A7A7A7		1						1	4	2	1	0.0#0.0#0.0	1.0#1.0#1.0						0
1812	1		A7A7A7		1						1	4	2	1	0.0#0.0#0.0	1.0#1.0#1.0						1
1813	1	1	A7A7A7		1						1	4	2	1	0.0#0.0#0.0	1.0#1.0#1.0						1
1814	1		A7A7A7		1						1	4	2	1	0.0#0.0#0.0	1.0#1.0#1.0						1
1815	1		A7A7A7		1						1	4	2	1	0.0#0.0#0.0	1.0#1.0#1.0						1
1816	1		A7A7A7		1						1	4	2	1	0.0#0.0#0.0	1.0#1.0#1.0						1
1817	1		A7A7A7		1						1	4	2	1	0.0#0.0#0.0	1.0#1.0#1.0						1
1818	1		A7A7A7		1						1	4	2	1	0.0#0.0#0.0	1.0#1.0#1.0						1
1819	1		A7A7A7		1						1	4	2	1	0.0#0.0#0.0	1.0#1.0#1.0						1
1820	1		A7A7A7		1						1	4	2	1	0.0#0.0#0.0	1.0#1.0#1.0						1
1821	1		A7A7A7		1						1	4	2	1	0.0#0.0#0.0	1.0#1.0#1.0						1
1822	1		A7A7A7		1						1	4	2	1	0.0#0.0#0.0	1.0#1.0#1.0						1
1823	1		A7A7A7		1						1	4	2	1	0.0#0.0#0.0	1.0#1.0#1.0						1
1824	1		A7A7A7		1						1	4	2	1	0.0#0.0#0.0	1.0#1.0#1.0						1
1825	1		A7A7A7		1						1	4	2	1	0.0#0.0#0.0	1.0#1.0#1.0						1
1826	1		685332		1						1	4	3.5	1	0.0#0.0#0.0	1.0#1.0#1.0						1
1827	1		685332		1						1	4	3.5	1	0.0#0.0#0.0	1.0#1.0#1.0						0
1828	1		685332		1						1	4	3.5	1	0.0#0.0#0.0	1.0#1.0#1.0						1
1829	1		685332		1						1	4	3.5	1	0.0#0.0#0.0	1.0#1.0#1.0						1
1830	1		685332		1						1	4	3.5	1	0.0#0.0#0.0	1.0#1.0#1.0						1
1831	1	6	685332	D78751	1						1	4	3.5	1	0.0#0.0#0.0	1.0#1.0#1.0						1
1832	1		685332		1						1	4	3.5	1	0.0#0.0#0.0	1.0#1.0#1.0						1
1833	1		685332		1						1	4	3.5	1	0.0#0.0#0.0	1.0#1.0#1.0						1
1834	1		685332		1						1	4	3.5	1	0.0#0.0#0.0	1.0#1.0#1.0						1
1835	1		685332		1						1	4	3.5	1	0.0#0.0#0.0	1.0#1.0#1.0						1
1836	1		685332		1						1	4	3.5	1	0.0#0.0#0.0	1.0#1.0#1.0						0
1837	1		685332		1						1	4	3.5	1	0.0#0.0#0.0	1.0#1.0#1.0						1
1838	1		685332		1						1	4	3.5	1	0.0#0.0#0.0	1.0#1.0#1.0						1
1839	1	1	685332		1						1	4	3.5	1	0.0#0.0#0.0	1.0#1.0#1.0						1
1840	1		685332		1						1	4	3.5	1	0.0#0.0#0.0	1.0#1.0#1.0						1
1841	1		685332		1						1	4	3.5	1	0.0#0.0#0.0	1.0#1.0#1.0						1
1842	1		685332		1						1	4	3.5	1	0.0#0.0#0.0	1.0#1.0#1.0						1
1843	1		685332		1						1	4	3.5	1	0.0#0.0#0.0	1.0#1.0#1.0						1
1844	1		685332		1						1	4	3.5	1	0.0#0.0#0.0	1.0#1.0#1.0						1
1845	1		685332		1						1	4	3.5	1	0.0#0.0#0.0	1.0#1.0#1.0						1
1846	1		685332		1						1	4	3.5	1	0.0#0.0#0.0	1.0#1.0#1.0						1
1847	1		685332		1						1	4	3.5	1	0.0#0.0#0.0	1.0#1.0#1.0						1
1848	1		685332		1						1	4	3.5	1	0.0#0.0#0.0	1.0#1.0#1.0						1
1849	1		685332		1						1	4	3.5	1	0.0#0.0#0.0	1.0#1.0#1.0						1
1850	1		685332		1						1	4	3.5	1	0.0#0.0#0.0	1.0#1.0#1.0						1
1851	1		707070		0						1	15	3.5	0	0.0#0.0#0.0	1.0#1.0#1.0						0
1852	1		707070		0						1	15	3.5	0	0.0#0.0#0.0	1.0#1.0#1.0						0
1853	1	1	707070		0						1	15	3.5	0	0.0#0.0#0.0	1.0#1.0#1.0						0
1854	1		707070		0						1	15	3.5	0	0.0#0.0#0.0	1.0#1.0#1.0						0
1855	1		707070		0						1	15	3.5	0	0.0#0.0#0.0	1.0#1.0#1.0						1
1856	1	4	707070	FBE2B1	0						1	15	3.5	0	0.0#0.0#0.0	1.0#1.0#1.0						1
1857	1		707070		0						1	15	3.5	0	0.0#0.0#0.0	1.0#1.0#1.0						1
1858	1		707070		0						1	15	3.5	0	0.0#0.0#0.0	1.0#1.0#1.0						1
1859	1		707070		0						1	15	3.5	0	0.0#0.0#0.0	1.0#1.0#1.0						1
1860	1		707070		0						1	15	3.5	0	0.0#0.0#0.0	1.0#1.0#1.0						1
1861	1		707070		0						1	15	3.5	0	0.0#0.0#0.0	1.0#1.0#1.0						0
1862	1		707070		0						1	15	3.5	0	0.0#0.0#0.0	1.0#1.0#1.0						1
1863	1		707070		0						1	15	3.5	0	0.0#0.0#0.0	1.0#1.0#1.0						1
1864	1		707070		0						1	15	3.5	0	0.0#0.0#0.0	1.0#1.0#1.0						1
1865	1		707070		0						1	15	3.5	0	0.0#0.0#0.0	1.0#1.0#1.0						1
1866	1		707070		0						1	15	3.5	0	0.0#0.0#0.0	1.0#1.0#1.0						1
1867	1		707070		0						1	15	3.5	0	0.0#0.0#0.0	1.0#1.0#1.0						1
1868	1		707070		0						1	15	3.5	0	0.0#0.0#0.0	1.0#1.0#1.0						1
