ItemId	Icon	Name	MeshName	ClassName
手持道具Id	对应Item图标	多语言名称	模型	类型
735	skill_flash	item.skill.book.1	#	ItemTransparent
736	skill_accelerate	item.skill.book.2	#	ItemTransparent
737	skill_stealth	item.skill.book.3	#	ItemTransparent
738	skill_fly	item.skill.book.4	#	ItemTransparent
739	skill_invincible	item.skill.book.5	#	ItemTransparent
740	skill_transfer	item.skill.book.6	#	ItemTransparent
741	skill_dark	item.skill.book.7	#	ItemTransparent
742	skill_flash_fragmentation	item.skill.chip.1	#	ItemTransparent
743	skill_accelerate_fragmentation	item.skill.chip.2	#	ItemTransparent
744	skill_stealth_fragmentation	item.skill.chip.3	#	ItemTransparent
745	skill_fly_fragmentation	item.skill.chip.4	#	ItemTransparent
746	skill_invincible_fragmentation	item.skill.chip.5	#	ItemTransparent
747	skill_transfer_fragmentation	item.skill.chip.6	#	ItemTransparent
748	skill_dark_fragmentation	item.skill.chip.7	#	ItemTransparent
749	surprise_treasure_chest_01	skill.chip.chest.1	#	ItemTransparent
750	surprise_treasure_chest_02	skill.chip.chest.2	#	ItemTransparent
751	surprise_treasure_chest_03	skill.chip.chest.3	#	ItemTransparent
