ItemId	Icon	Name	MeshName	ClassName	Params
手持道具Id	对应Item图标	多语言名称	模型	类型	自定义参数
2072	helmet_purple	item.helmetPurple	#	ItemArmor	diamond&0&purple
2073	plate_purple	item.platePurple	#	ItemArmor	diamond&1&purple
2074	legs_purple	item.legsPurple	#	ItemArmor	diamond&2&purple
2075	boots_purple	item.bootsPurple	#	ItemArmor	diamond&3&purple
2246	sword_purple	item.sword_purple	#	ItemSword	emerald
2247	axe_purple	item.axe_purple	#	ItemAxe	emerald
2248	shovel_purple	item.shovel_purple	#	ItemSpade	emerald
2249	pickaxe_purple	item.pickaxe_purple	#	ItemPickaxe	emerald
2250	arrow_purple	item.arrow_purple	#	ItemArrow	#
2251	bow_purple	item.bow_purple	#	ItemBow	#
2252	hoe_purple	item.hoe_purple	#	ItemHoe	emerald
3556	helmet_green1	item.helmetGreen1	#	ItemArmor	diamond&0&g1048_green1
3557	plate_green1	item.plateGreen1	#	ItemArmor	diamond&1&g1048_green1
3558	legs_green1	item.legsGreen1	#	ItemArmor	diamond&2&g1048_green1
3559	boots_green1	item.bootsGreen1	#	ItemArmor	diamond&3&g1048_green1
3560	helmet_gold1	item.helmetGold1	#	ItemArmor	diamond&0&g1048_gold1
3561	plate_gold1	item.plateGold1	#	ItemArmor	diamond&1&g1048_gold1
3562	legs_gold1	item.legsGold1	#	ItemArmor	diamond&2&g1048_gold1
3563	boots_gold1	item.bootsGold1	#	ItemArmor	diamond&3&g1048_gold1
3564	helmet_purple1	item.helmetPurple1	#	ItemArmor	diamond&0&g1048_purple1
3565	plate_purple1	item.platePurple1	#	ItemArmor	diamond&1&g1048_purple1
3566	legs_purple1	item.legsPurple1	#	ItemArmor	diamond&2&g1048_purple1
3567	boots_purple1	item.bootsPurple1	#	ItemArmor	diamond&3&g1048_purple1
3568	g1008_sword_15	item.g1048_sword_15	g1048_sword_15.mesh	ItemSword	emerald
3569	g1008_sword_18	item.g1048_sword_18	g1048_sword_18.mesh	ItemSword	emerald
3570	g1008_sword_21	item.g1048_sword_21	g1048_sword_21.mesh	ItemSword	emerald
3571	g1048_sword_christmas	item.g1048_sword_christmas	g1048_crown_widget_shengdanzhuang.mesh	ItemSword	wood
3572	g1048_helmet_christmas	item.g1048_helmet_christmas	#	ItemArmor	cloth&0&g1048_christmas&custom_hat:g1048_christmas
3573	g1048_plate_christmas	item.g1048_plate_christmas	#	ItemArmor	cloth&1&g1048_christmas
3574	g1048_legs_christmas	item.g1048_legs_christmas	#	ItemArmor	cloth&2&g1048_christmas
3575	g1048_boots_christmas	item.g1048_boots_christmas	#	ItemArmor	cloth&3&g1048_christmas
