ItemId	Icon	Name	MeshName	ClassName	Params
手持道具Id	对应Item图标	多语言名称	模型	类型	自定义参数
3257	g1051_item_furou	item.walkingDeathItem_01	g1051_furou_handheld.mesh	ItemFood	0&0&false
3258	g1051_item_pingguo	item.walkingDeathItem_02	g1051_pingguo_handheld.mesh	ItemFood	0&0&false
3259	g1051_item_dangao	item.walkingDeathItem_03	g1051_dangao_handheld.mesh	ItemFood	0&0&false
3260	g1051_item_guantou	item.walkingDeathItem_04	g1051_guantou_handheld.mesh	ItemFood	0&0&false
3261	g1051_item_tuzi	item.walkingDeathItem_05	g1051_tuzi_handheld.mesh	ItemFood	0&0&false
3262	g1051_item_niupai	item.walkingDeathItem_06	g1051_niupai_handheld.mesh	ItemFood	0&0&false
3263	g1051_item_wushui	item.walkingDeathItem_07	g1051_wushui_handheld.mesh	ItemFood	0&0&false
3264	g1051_item_kele	item.walkingDeathItem_08	g1051_kele_handheld.mesh	ItemFood	0&0&false
3265	g1051_item_guozhi	item.walkingDeathItem_09	g1051_guozhi_handheld.mesh	ItemFood	0&0&false
3266	g1051_item_shuitong	item.walkingDeathItem_10	g1051_shuitong_handheld.mesh	ItemFood	0&0&false
3267	g1051_item_nengying	item.walkingDeathItem_11	g1051_nengying_handheld.mesh	ItemFood	0&0&false
3268	g1051_item_bengdai	item.walkingDeathItem_12	g1051_bengdai_handheld.mesh	ItemFood	0&0&false
3269	g1051_item_shenshangxiansu	item.walkingDeathItem_13	g1051_shenshangxiansu.mesh	ItemFood	0&0&false
3270	g1051_item_jijiuxiang	item.walkingDeathItem_14	g1051_jijiuxiang_handheld.mesh	ItemFood	0&0&false
3271	g1051_item_shengmingjinghua	item.walkingDeathItem_15	g1051_shengmingjinghua.mesh	ItemFood	0&0&false
3272	g1051_item_yimiao	item.walkingDeathItem_16	g1051_yimiao_handheld.mesh	ItemFood	0&0&false
3273	g1051_item_jiaban	item.walkingDeathItem_17	g1051_jiaban_handheld.mesh	ItemFood	0&0&false
3274	g1051_item_dnaxiufuji	item.walkingDeathItem_18	g1051_dnaxiufuji.mesh	ItemFood	0&0&false
3279	g1051_diary	item.walkingDeathItem_23	g1051_diary.mesh	ItemFood	0&0&false
3281	g1051_shouyinji	item.walkingDeathItem_25	g1051_shouyinji.mesh	ItemFood	0&0&false
3357	g1051_yijibao_01	item.walkingDeathItem_101	g1051_yijibao_01.mesh	ItemArmor	iron&4&none
3358	g1051_yijibao_02	item.walkingDeathItem_102	g1051_yijibao_02.mesh	ItemArmor	iron&4&none
3359	g1051_yijibao_03	item.walkingDeathItem_103	g1051_yijibao_03.mesh	ItemArmor	iron&4&none
3377	g1051_toukui_01	item.walkingDeathItem_121	g1051_toukui_01.mesh	ItemArmor	iron&0&none
3378	g1051_toukui_02	item.walkingDeathItem_122	g1051_toukui_02.mesh	ItemArmor	iron&0&none
3379	g1051_toukui_03	item.walkingDeathItem_123	g1051_toukui_03.mesh	ItemArmor	iron&0&none
3397	g1051_fangdanyi_trunk_01	item.walkingDeathItem_141	g1051_fangdanyi_trunk_01.mesh	ItemArmor	iron&1&none
3398	g1051_fangdanyi_trunk_02	item.walkingDeathItem_142	g1051_fangdanyi_trunk_02.mesh	ItemArmor	iron&1&none
3399	g1051_fangdanyi_trunk_03	item.walkingDeathItem_143	g1051_fangdanyi_trunk_03.mesh	ItemArmor	iron&1&none
3417	g1051_fangdanyi_trousers_01	item.walkingDeathItem_161	g1051_fangdanyi_trousers_01.mesh	ItemArmor	iron&2&none
3418	g1051_fangdanyi_trousers_02	item.walkingDeathItem_162	g1051_fangdanyi_trousers_02.mesh	ItemArmor	iron&2&none
3419	g1051_fangdanyi_trousers_03	item.walkingDeathItem_163	g1051_fangdanyi_trousers_03.mesh	ItemArmor	iron&2&none
3437	g1051_shoes_01	item.walkingDeathItem_181	g1051_shoes_01.mesh	ItemArmor	iron&3&none
3438	g1051_shoes_02	item.walkingDeathItem_182	g1051_shoes_02.mesh	ItemArmor	iron&3&none
3439	g1051_shoes_03	item.walkingDeathItem_183	g1051_shoes_03.mesh	ItemArmor	iron&3&none
3458	g1051_xiaobingdu	item.walkingDeathItem_202	g1051_xiaobingdu.mesh	ItemCustom	#
3459	g1051_dabingdu	item.walkingDeathItem_203	g1051_dabingdu.mesh	ItemCustom	#
3460	gun_76_chip_1	item.walkingDeathItem_204	g1051_suipian_blue.mesh	ItemCustom	#
3461	gun_76_chip_2	item.walkingDeathItem_205	g1051_suipian_blue.mesh	ItemCustom	#
3462	gun_76_chip_3	item.walkingDeathItem_206	g1051_suipian_blue.mesh	ItemCustom	#
