ActionState		Occupation	HoldItemId		SkillName
状态(<1000的是下半身动作，1000及以上是上半身动作)	备注	玩家职业（供有选职业的游戏使用，默认0）	手持物品Id	手持物品Id说明	对应的动作
0	AS_IDLE：待机	0	0	无或者非特定物品	idle
0	AS_IDLE：待机	0	476#477#478#479#482	挖沙双手持铲	shovel_idle
0	AS_IDLE：待机	0	480#481	挖沙气锤类	hammer_idle
0	AS_IDLE：待机	0	426#435#762#767#774#779#806#807#809#810#811#812#813#837#838#846#848#849#897#898#899#2301#2302	所有的手枪	pistol_idle
0	AS_IDLE：待机	0	794#795#796#797#798#799#800#801#802#803#804#805#808#814#815#816#817#818#819#820#821#822#823#824#825#826#827#828#829#830#831#832#833#834#835#836#839#840#841#842#843#844#845#847#850#851#852#853#884#885#886#887#888#889#890#891#892#893#894#895#896#902#2303#2305#2306#2337	像素射击新枪	smg_idle
0	AS_IDLE：待机	0	427#428#429#430#431#432#433#434#436#437#438#439#440#759#760#761#763#764#765#766#768#771#772#773#775#776#777#778#780#700#701#702#703#704#705#706#707#708#709#710#711#712#713#714	枪战之前的旧枪	smg_idle
0	AS_IDLE：举重	0	100003	锻炼待机动作	duanliandaiji
1	AS_RUN： 跑路	0	0	无或者非特定物品	run
1	AS_RUN： 跑路	0	476#477#478#479#482	挖沙双手持铲	walk04
1	AS_RUN： 跑路	0	480#481	挖沙气锤类	walk05
1	AS_RUN： 跑路	0	794#795#796#797#798#799#800#801#802#803#804#805#808#814#815#816#817#818#819#820#821#822#823#824#825#826#827#828#829#830#831#832#833#834#835#836#839#840#841#842#843#844#845#847#850#851#852#853#884#885#886#887#888#889#890#891#892#893#894#895#896#902#2303#2305#2306#2337	像素射击新枪	smg_walk
2	AS_JUMP_BEGIN：起跳	0	0	无或者非特定物品	jump1
2	AS_JUMP_BEGIN：起跳	0	794#795#796#797#798#799#800#801#802#803#804#805#808#814#815#816#817#818#819#820#821#822#823#824#825#826#827#828#829#830#831#832#833#834#835#836#839#840#841#842#843#844#845#847#850#851#852#853#884#885#886#887#888#889#890#891#892#893#894#895#896#902#2303#2305#2306#2337	像素射击新枪	smg_jump
3	AS_JUMP_END：落地	0	0	无或者非特定物品	jump3
3	AS_JUMP_END：落地	0	794#795#796#797#798#799#800#801#802#803#804#805#808#814#815#816#817#818#819#820#821#822#823#824#825#826#827#828#829#830#831#832#833#834#835#836#839#840#841#842#843#844#845#847#850#851#852#853#884#885#886#887#888#889#890#891#892#893#894#895#896#902#2303#2305#2306#2337	像素射击新枪	smg_jump_3
4	AS_SNEAK：慢走Idle	0	0	无或者非特定物品	sneak
4	AS_SNEAK：慢走Idle	0	794#795#796#797#798#799#800#801#802#803#804#805#808#814#815#816#817#818#819#820#821#822#823#824#825#826#827#828#829#830#831#832#833#834#835#836#839#840#841#842#843#844#845#847#850#851#852#853#884#885#886#887#888#889#890#891#892#893#894#895#896#902#2303#2305#2306#2337	持枪潜行待机	smg_sneak(1)
4	AS_SNEAK：慢走Idle	0	426#435#762#767#774#779#806#807#808#809#810#811#812#813	持枪潜行待机	smg_sneak(1)
5	AS_WALK：慢走	0	0	无或者非特定物品	walk
5	AS_WALK：慢走	0	476#477#478#479#482	挖沙双手持铲	walk04
5	AS_WALK：慢走	0	480#481	挖沙气锤类	walk05
5	AS_WALK：慢走	0	794#795#796#797#798#799#800#801#802#803#804#805#808#814#815#816#817#818#819#820#821#822#823#824#825#826#827#828#829#830#831#832#833#834#835#836#839#840#841#842#843#844#845#847#850#851#852#853#884#885#886#887#888#889#890#891#892#893#894#895#896#902#2303#2305#2306#2337	像素射击新枪	smg_sneak
6	AS_SPRINT：冲刺	0	0	无或者非特定物品	sprint
6	AS_SPRINT：冲刺	0	476#477#478#479#482	挖沙双手持铲	walk06
6	AS_SPRINT：冲刺	0	480#481	挖沙气锤类	walk07
6	AS_SPRINT：冲刺	0	794#795#796#797#798#799#800#801#802#803#804#805#808#814#815#816#817#818#819#820#821#822#823#824#825#826#827#828#829#830#831#832#833#834#835#836#839#840#841#842#843#844#845#847#850#851#852#853#884#885#886#887#888#889#890#891#892#893#894#895#896#902#2303#2305#2306#2337	像素射击新枪	smg_run
7	AS_SWIM：游泳	0	0	无或者非特定物品	swim
8	AS_FLOAT：水中悬停	0	0	无或者非特定物品	swim_idle
9	AS_ON_LADDER_UP： 爬梯子	0	0	无或者非特定物品	climb_up
10	AS_ON_LADDER_DOWN：下梯子	0	0	无或者非特定物品	climb_down
11	AS_ON_LADDER_STATIC：静止在梯子中	0	0	无或者非特定物品	climb_static
12	AS_ON_SIT_1:坐（脚着地）	0	0		sit1
13	AS_ON_SIT_2:坐（脚悬空）	0	0		sit2
14	AS_FLY_03:跳伞降落	0	0	无或者非特定物品	fly03
15	AS_ON_SLEEP_1:睡觉	0	0		sleep1
16	AS_ON_SWING:秋千	0	0		qiuqian
17	AS_ON_SIT_3:跷跷板	0	0		sit3
18	AS_FLY：飞行	0	0	无或者非特定物品	jump2
18	AS_FLY：飞行	0	794#795#796#797#798#799#800#801#802#803#804#805#808#814#815#816#817#818#819#820#821#822#823#824#825#826#827#828#829#830#831#832#833#834#835#836#839#840#841#842#843#844#845#847#850#851#852#853#884#885#886#887#888#889#890#891#892#893#894#895#896#902#2303#2305#2306#2337	像素射击新枪	smg_jump
18	AS_FLY：飞行	0	200001	塔防飞行动作	g1056_fly
19	AS_FLY_IDLE：空中悬停	0	0	无或者非特定物品	jump2
19	AS_FLY_IDLE：空中悬停	0	794#795#796#797#798#799#800#801#802#803#804#805#808#814#815#816#817#818#819#820#821#822#823#824#825#826#827#828#829#830#831#832#833#834#835#836#839#840#841#842#843#844#845#847#850#851#852#853#884#885#886#887#888#889#890#891#892#893#894#895#896#902#2303#2305#2306#2337	像素射击新枪	smg_jump
19	AS_FLY_IDLE：空中悬停	0	200001	塔防飞行动作	g1056_fly_idle
1000	AS_ATTACK：攻击	0	0	无或者非特定物品	attack2
1000	AS_ATTACK：攻击	0	476#477#478#479#482	挖沙双手持铲	shovel
1000	AS_ATTACK：攻击	0	480#481	挖沙气锤类	hammer
1000	AS_ATTACK：攻击	12	1247#1252	奇异博士职业	attack5
1000	AS_ATTACK：攻击	9	1248#1250	雷神职业	attack6
1000	AS_ATTACK：攻击	0	854#855#856#857#858#859#860#861#862#875#876#877#878	像素射击近战	attack
1000	AS_ATTACK：拳击	0	100000	健身游戏拳击	quanji
1000	AS_ATTACK：脚踩	0	100001	健身游戏脚踩	jiaocai
1000	AS_ATTACK：抓取	0	100002	健身游戏抓取	zhuaqu
1000	AS_ATTACK：举重	0	100003	健身游戏举重	juzhong
1000	AS_ATTACK：扔精灵求	0	200001	扔精灵求	g1056_fangzhi
1001	AS_AIM_BEGIN：瞄准	0	0	无或者非特定物品	aim2
1002	AS_AIM_END： 射	0	0	无或者非特定物品	aim3
1003	AS_THROW：投掷	0	0	无或者非特定物品	throw
1004	AS_EAT_BEGIN：吃	0	0	无或者非特定物品	eat
1005	AS_EAT_END：吃完	0	0	无或者非特定物品	eat_end
1006	AS_DRINK_BEGIN：喝	0	0	无或者非特定物品	drink
1007	AS_DRINK_END：喝完	0	0	无或者非特定物品	drink_end
1008	AS_BLOCK：格挡	0	0	无或者非特定物品	block2
1009	AS_GUN_RELOAD：枪械换弹匣	0	0	无或者非特定物品	pistol_reload
1009	AS_GUN_RELOAD：枪械换弹匣	0	426#435#762#767#774#779#806#807#809#810#811#812#813#837#838#846#848#849#897#898#899#2301#2302	手枪	pistol_reload
1009	AS_GUN_RELOAD：枪械换弹匣	0	427#428#429#430#431#432#433#434#436#437#438#439#440#759#760#761#763#764#765#766#768#771#772#773#775#776#777#778#780#700#701#702#703#704#705#706#707#708#709#710#711#712#713#714	枪战之前的旧枪	smg_reload
1009	AS_GUN_RELOAD：枪械换弹匣	0	794#795#796#797#798#799#800#801#802#803#804#805#808#814#815#816#817#818#819#820#821#822#823#824#825#826#827#828#829#830#831#832#833#834#835#836#839#840#841#842#843#844#845#847#850#851#852#853#884#885#886#887#888#889#890#891#892#893#894#895#896#902#2303#2305#2306#2337	像素射击新枪	smg_reload
1010	AS_GUN_FIRE：枪械开火	0	0	无或者非特定物品	pistol_shoot
