index	blockId	face	type	animType	speed
序号	方块id	面	面使用的图片名	动画类型（0 none没有效果 1 frame帧动画 2 rolling从左到右滚动 3 vartical_rolling从上到下 4 rotation顺时针旋转) 	速度（每隔多少毫秒播放一张图片 0 表示停止 滚动时支持速度为负 表示反向滚动 最大值是10000）
1	1801	top	top	0	0
2	1801	bottom	bottom	0	0
3	1801	left	left	0	0
4	1801	right	right	0	0
5	1801	front	front	0	0
6	1801	back	back	0	0
7	1802	top	top	0	0
8	1802	bottom	bottom	0	0
9	1802	left	left	0	0
10	1802	right	right	0	0
11	1802	front	front	0	0
12	1802	back	back	0	0
13	1803	top	top	0	0
14	1803	bottom	bottom	0	0
15	1803	left	left	0	0
16	1803	right	right	0	0
17	1803	front	front	0	0
18	1803	back	back	0	0
19	1804	top	top	0	0
20	1804	bottom	bottom	0	0
21	1804	left	left	0	0
22	1804	right	right	0	0
23	1804	front	front	0	0
24	1804	back	back	0	0
25	1805	top	top	0	0
26	1805	bottom	bottom	0	0
27	1805	left	left	0	0
28	1805	right	right	0	0
29	1805	front	front	0	0
30	1805	back	back	0	0
31	1806	top	blue	0	0
32	1806	bottom	blue	0	0
33	1806	left	blue	0	0
34	1806	right	blue	0	0
35	1806	front	blue	0	0
36	1806	back	blue	0	0
37	1807	top	top	0	0
38	1807	bottom	bottom	0	0
39	1807	left	left	0	0
40	1807	right	right	0	0
41	1807	front	front	0	0
42	1807	back	back	0	0
43	1808	top	top	0	0
44	1808	bottom	bottom	0	0
45	1808	left	left	0	0
46	1808	right	right	0	0
47	1808	front	front	0	0
48	1808	back	back	0	0
49	1809	top	top	0	0
50	1809	bottom	bottom	0	0
51	1809	left	left	0	0
52	1809	right	right	0	0
53	1809	front	front	0	0
54	1809	back	back	0	0
55	1810	top	top	0	0
56	1810	bottom	bottom	0	0
57	1810	left	left	0	0
58	1810	right	right	0	0
59	1810	front	front	0	0
60	1810	back	back	0	0
61	1811	top	top	4	-100
62	1811	bottom	bottom	4	-100
63	1811	left	left	2	-100
64	1811	right	right	2	-100
65	1811	front	front	2	-100
66	1811	back	back	2	-100
67	1812	top	top	0	0
68	1812	bottom	bottom	0	0
