索引	所属类型	多语言	概率多语言
Index	Type	Name	ProbabilityLang
1	g1041_1	青铜扭蛋机	概率：
2	g1041_1	小红	25%
3	g1041_1	小蓝	25%
4	g1041_1	小黄	15%
5	g1041_1	小绿	15%
6	g1041_1	享受红	12%
7	g1041_1	企鹅蓝	8%
8	g1041_1	-	-
9	g1041_1	白银扭蛋机	概率：
10	g1041_1	医生蓝	20%
11	g1041_1	假笑绿	20%
12	g1041_1	哭泣黄	20%
13	g1041_1	眼线红	19%
14	g1041_1	昏厥绿	19%
15	g1041_1	疲惫黄	2%
16	g1041_1	-	-
17	g1041_1	水晶扭蛋机	概率：
18	g1041_1	猫眼黄	32.3%
19	g1041_1	企鹅绿	32.3%
20	g1041_1	莺啼黄	20.2%
21	g1041_1	坚韧蓝	12.1%
22	g1041_1	月半红	1.6%
23	g1041_1	老年绿	1.6%
24	g1041_1	-	-
25	g1041_1	黄金扭蛋机	概率：
26	g1041_1	吵闹红	23.2%
27	g1041_1	疲惫绿	24.2%
28	g1041_1	窃喜红	24.2%
29	g1041_1	快速黄	24.2%
30	g1041_1	冰块蓝	4%
31	g1041_1	钢铁红	0.2%
32	g1041_1	-	-
33	g1041_1	铂金扭蛋机	概率：
34	g1041_1	奋斗蓝	23.1%
35	g1041_1	悲伤黄	34.7%
36	g1041_1	巴西绿	34.7%
37	g1041_1	婴儿蓝	4.6%
38	g1041_1	大眼红	2.3%
39	g1041_1	美队蓝	0.5%
40	g1041_1	-	-
41	g1041_1	史诗扭蛋机	概率：
42	g1041_1	无语红	21.6%
43	g1041_1	害羞蓝	21.6%
44	g1041_1	青蛙绿	28.1%
45	g1041_1	杏微黄	28.1%
46	g1041_1	水手绿	0.2%
47	g1041_1	海绵黄	0.2%
48	g1041_1	-	-
49	g1041_1	钻石扭蛋机	概率：
50	g1041_1	学霸红	47%
51	g1041_1	上班蓝	32.9%
52	g1041_1	美人绿	18.8%
53	g1041_1	幽默绿	0.8%
54	g1041_1	蜘蛛红	0.4%
55	g1041_1	招财黄	0.2%
56	g1041_1	-	-
57	g1041_1	传说扭蛋机	概率：
58	g1041_1	眼皮黄	44.4%
59	g1041_1	超级红	35.6%
60	g1041_1	七巧蓝	13.3%
61	g1041_1	睫毛蓝	5.3%
62	g1041_1	三眼绿	0.9%
63	g1041_1	神像黄	0.4%
64	g1041_1	-	-
65	g1041_1	金魔方扭蛋机	概率：
66	g1041_1	蓝蝶	43.3%
67	g1041_1	熊猫	30.3%
68	g1041_1	蛮牛	17.3%
69	g1041_1	红蝙蝠	6.9%
70	g1041_1	火焰鸟	1.7%
71	g1041_1	飞鱼	0.4%
72	g1041_1	-	-
73	g1041_1	抽蛋宝箱	概率：
74	g1041_1	小红	1.67%
75	g1041_1	小蓝	1.67%
76	g1041_1	小黄	1.67%
77	g1041_1	小绿	1.67%
78	g1041_1	享受红	1.67%
79	g1041_1	企鹅蓝	2.50%
80	g1041_1	医生蓝	1.67%
81	g1041_1	假笑绿	1.67%
82	g1041_1	哭泣黄	1.67%
83	g1041_1	眼线红	2.50%
84	g1041_1	昏厥绿	2.50%
85	g1041_1	疲惫黄	1.67%
86	g1041_1	猫眼黄	1.67%
87	g1041_1	企鹅绿	1.67%
88	g1041_1	莺啼黄	2.50%
89	g1041_1	坚韧蓝	2.50%
90	g1041_1	月半红	1.67%
91	g1041_1	老年绿	1.67%
92	g1041_1	吵闹红	1.67%
93	g1041_1	疲惫绿	2.50%
94	g1041_1	窃喜红	2.50%
95	g1041_1	快速黄	2.50%
96	g1041_1	冰块蓝	1.67%
97	g1041_1	钢铁红	0.83%
98	g1041_1	奋斗蓝	1.67%
99	g1041_1	悲伤黄	2.50%
100	g1041_1	巴西绿	2.50%
101	g1041_1	婴儿蓝	1.67%
102	g1041_1	大眼红	1.67%
103	g1041_1	美队蓝	0.83%
104	g1041_1	无语红	2.50%
105	g1041_1	害羞蓝	2.50%
106	g1041_1	青蛙绿	1.67%
107	g1041_1	杏微黄	1.67%
108	g1041_1	水手绿	0.83%
109	g1041_1	海绵黄	0.83%
110	g1041_1	学霸红	1.67%
111	g1041_1	上班蓝	1.67%
112	g1041_1	美人绿	1.67%
113	g1041_1	幽默绿	0.83%
114	g1041_1	蜘蛛红	0.83%
115	g1041_1	招财黄	0.83%
116	g1041_1	眼皮黄	1.67%
117	g1041_1	超级红	0.83%
118	g1041_1	七巧蓝	0.83%
119	g1041_1	睫毛蓝	0.83%
120	g1041_1	三眼绿	0.83%
121	g1041_1	神像黄	0.83%
