索引	所属类型	多语言	概率多语言
Index	Type	Name	ProbabilityLang
1	g1047_1	绿色老虎机左	概率：
2	g1047_1	洗衣机	3.57%
3	g1047_1	电脑桌	3.57%
4	g1047_1	木椅	3.57%
5	g1047_1	褐色沙发	3.57%
6	g1047_1	草方块x20	3.57%
7	g1047_1	泥土x20	3.57%
8	g1047_1	鹅卵石x20	3.57%
9	g1047_1	橡木板x18	3.57%
10	g1047_1	云杉木板x18	3.57%
11	g1047_1	桦树木板x18	3.57%
12	g1047_1	丛林木板x18	3.57%
13	g1047_1	金合欢木板x18	3.57%
14	g1047_1	暗橡木板x18	3.57%
15	g1047_1	橡树木x20	3.57%
16	g1047_1	云杉木x20	3.57%
17	g1047_1	桦树木x20	3.57%
18	g1047_1	丛林木x20	3.57%
19	g1047_1	橡树叶x16	3.57%
20	g1047_1	云杉树叶x16	3.57%
21	g1047_1	桦树叶x16	3.57%
22	g1047_1	丛林树叶x16	3.57%
23	g1047_1	玻璃x18	3.57%
24	g1047_1	天青石块x12	3.57%
25	g1047_1	砂石x18	3.57%
26	g1047_1	雕刻砂石x16	3.57%
27	g1047_1	光滑砂石x16	3.57%
28	g1047_1	音乐盒x10	3.57%
29	g1047_1	蜘蛛网x16	3.57%
30	g1047_1	-	-
31	g1047_1	绿色老虎机中	概率：
32	g1047_1	化妆桌	2.86%
33	g1047_1	垃圾桶	2.86%
34	g1047_1	长木椅	2.86%
35	g1047_1	气球	2.86%
36	g1047_1	白色羊毛x18	2.86%
37	g1047_1	橙色羊毛x18	2.86%
38	g1047_1	品红色羊毛x18	2.86%
39	g1047_1	浅蓝色羊毛x18	2.86%
40	g1047_1	黄色羊毛x18	2.86%
41	g1047_1	浅绿色羊毛x18	2.86%
42	g1047_1	粉色羊毛x18	2.86%
43	g1047_1	灰色羊毛x18	2.86%
44	g1047_1	浅灰色羊毛x18	2.86%
45	g1047_1	青色羊毛x18	2.86%
46	g1047_1	紫色羊毛x18	2.86%
47	g1047_1	蓝色羊毛x18	2.86%
48	g1047_1	棕色羊毛x18	2.86%
49	g1047_1	绿色羊毛x18	2.86%
50	g1047_1	红色羊毛x18	2.86%
51	g1047_1	黑色羊毛x18	2.86%
52	g1047_1	红花x14	2.86%
53	g1047_1	金块x14	2.86%
54	g1047_1	铁块x16	2.86%
55	g1047_1	石板x16	2.86%
56	g1047_1	砂石板x16	2.86%
57	g1047_1	木板x16	2.86%
58	g1047_1	鹅卵石板x16	2.86%
59	g1047_1	砖板x16	2.86%
60	g1047_1	石砖板x16	2.86%
61	g1047_1	暗砖板x16	2.86%
62	g1047_1	石英板x14	2.86%
63	g1047_1	砖头x18	2.86%
64	g1047_1	书架x14	2.86%
65	g1047_1	火把x14	2.86%
66	g1047_1	橡木楼梯x16	2.86%
67	g1047_1	-	-
68	g1047_1	绿色老虎机右	概率：
69	g1047_1	洗手台	2.94%
70	g1047_1	烤箱	2.94%
71	g1047_1	长木椅	2.94%
72	g1047_1	长木椅	2.94%
73	g1047_1	钻石块x12	2.94%
74	g1047_1	梯子x14	2.94%
