索引	所属类型	多语言	概率多语言
Index	Type	Name	ProbabilityLang
1	g1042_1	---青铜宝箱---	概率：
2	g1042_1	金币	21%
3	g1042_1	钥匙	5%
4	g1042_1	特权	12%
5	g1042_1	史诗武器碎片	10%
6	g1042_1	传说武器碎片	50%
7	g1042_1	稀有武器	2%
8	g1042_1	-	-
9	g1042_1	---白银宝箱---	概率：
10	g1042_1	金币	21%
11	g1042_1	特权	10%
12	g1042_1	史诗武器碎片	10%
13	g1042_1	传说武器碎片	50%
14	g1042_1	稀有武器	9%
15	g1042_1	-	-
16	g1042_1	---黄金宝箱---	概率：
17	g1042_1	金币	21%
18	g1042_1	特权	13%
19	g1042_1	史诗武器碎片	10%
20	g1042_1	传说武器碎片	50%
21	g1042_1	史诗武器	6%
22	g1042_1	-	-
23	g1042_1	---钻石宝箱---	概率：
24	g1042_1	金币	17%
25	g1042_1	特权	10%
26	g1042_1	传说武器碎片	50%
27	g1042_1	史诗武器	23%
