索引	所属类型	多语言	概率多语言
Index	Type	Name	ProbabilityLang
1	g1048_1	普通礼盒	概率：
2	g1048_1	圣诞长裤	0.3%
3	g1048_1	圣诞靴子	0.3%
4	g1048_1	雪球	3.4%
5	g1048_1	白色楼梯	3.0%
6	g1048_1	橙色楼梯	3.0%
7	g1048_1	品红色楼梯	3.0%
8	g1048_1	浅蓝色楼梯	3.0%
9	g1048_1	黄色楼梯	3.0%
10	g1048_1	浅绿色楼梯	3.0%
11	g1048_1	粉色楼梯	3.0%
12	g1048_1	灰色楼梯	3.0%
13	g1048_1	浅灰色楼梯	3.0%
14	g1048_1	青色楼梯	3.0%
15	g1048_1	紫色楼梯	3.0%
16	g1048_1	蓝色楼梯	3.0%
17	g1048_1	棕色楼梯	3.0%
18	g1048_1	绿色楼梯	3.0%
19	g1048_1	红色楼梯	3.0%
20	g1048_1	黑色楼梯	3.0%
21	g1048_1	白色单层台阶	3.0%
22	g1048_1	橙色单层台阶	3.0%
23	g1048_1	品红色单层台阶	3.0%
24	g1048_1	浅蓝色单层台阶	3.0%
25	g1048_1	黄色单层台阶	3.0%
26	g1048_1	浅绿色单层台阶	3.0%
27	g1048_1	粉色单层台阶	3.0%
28	g1048_1	灰色单层台阶	3.0%
29	g1048_1	浅灰色单层台阶	3.0%
30	g1048_1	青色单层台阶	3.0%
31	g1048_1	紫色单层台阶	3.0%
32	g1048_1	蓝色单层台阶	3.0%
33	g1048_1	棕色单层台阶	3.0%
34	g1048_1	绿色单层台阶	3.0%
35	g1048_1	红色单层台阶	3.0%
36	g1048_1	黑色单层台阶	3.0%
37	g1048_1	精美礼盒	概率：
38	g1048_1	圣诞树武器	0.1%
39	g1048_1	圣诞头饰	0.3%
40	g1048_1	圣诞上衣	0.3%
41	g1048_1	雪球	6.5%
42	g1048_1	白色圣诞方块	5.8%
43	g1048_1	橙色圣诞方块	5.8%
44	g1048_1	品红色圣诞方块	5.8%
45	g1048_1	浅蓝色圣诞方块	5.8%
46	g1048_1	黄色圣诞方块	5.8%
47	g1048_1	浅绿色圣诞方块	5.8%
48	g1048_1	粉色圣诞方块	5.8%
49	g1048_1	灰色圣诞方块	5.8%
50	g1048_1	浅灰色圣诞方块	5.8%
51	g1048_1	青色圣诞方块	5.8%
52	g1048_1	紫色圣诞方块	5.8%
53	g1048_1	蓝色圣诞方块	5.8%
54	g1048_1	棕色圣诞方块	5.8%
55	g1048_1	绿色圣诞方块	5.8%
56	g1048_1	红色圣诞方块	5.8%
57	g1048_1	黑色圣诞方块	5.8%
