GameType	GroupDirectory	Name	Enable	MapName	ServerIP	ServerPort	EngineVersion	Remark
游戏类型	组目录	插件名	是否启用(大于1表示启动，值越大优先级越高)	地图名	服务器IP	服务器端口号	引擎版本号	备注
g1000		Sample	0	maps/sample	127.0.0.1	19130	90900	模板游戏
g1001	g1001_g1030	HungryGame	0	maps/g1001/m1001_1	127.0.0.1	19130	90900	饥饿游戏
g1002	g1001_g1030	SkyWar	0	maps/g1002/m1002_1	127.0.0.1	19130	90900	空岛战争
g1003	g1001_g1030	TeamHungryGame	0	maps/g1003/m301	127.0.0.1	19130	90900	饥饿游戏（组队）
g1007	g1001_g1030	BowSpleef	0	maps/g1007/m701	127.0.0.1	19130	90900	掘一死战
g1008	g1001_g1030	BedWar	0	maps/g1008/m1008_2	127.0.0.1	19130	90900	起床战争
g1009	g1001_g1030	MurderMystery	0	maps/g1009/m901	127.0.0.1	19130	90900	神秘杀手
g1010	g1001_g1030	TNTRun	0	maps/g1010/m1001	127.0.0.1	19130	90900	TNT跑酷
g1011	g1001_g1030	SnowballBattle	0	maps/g1011/m1101	127.0.0.1	19130	90900	雪球大作战
g1012	g1001_g1030	SnowBattle	0	maps/g1012/m1201_1	127.0.0.1	19130	90900	雪球百人斩
g1013	g1001_g1030	ZombieInfecting	0	maps/g1013/m1301	127.0.0.1	19130	90900	生化危机
g1014	g1001_g1030	JailBreak	0	maps/g1014/m1401	127.0.0.1	19130	90900	警匪大战
g1015	g1001_g1030	SandDigger	0	maps/g1015/m1501_1	127.0.0.1	19130	90900	夺宝奇兵
g1016	g1001_g1030	Chicken	0	maps/g1016/m1601	127.0.0.1	19130	90900	刺激战场
g1017	g1001_g1030	HideAndSeek	0	maps/g1017/m1701	127.0.0.1	19130	90900	躲猫猫
g1018	g1001_g1030	EggWar	0	maps/g1018/m1018_1	127.0.0.1	19130	90900	龙蛋战争
g1019	g1001_g1030	CreepyAliens	0	maps/g1019/m1019_1	127.0.0.1	19130	90900	异星入侵
g1020	g1001_g1030	TinyTown	0	maps/g1020/m1020_1	127.0.0.1	19130	90900	迷你小镇
g1021	g1001_g1030	Parkour	0	maps/g1021/m1021_1	127.0.0.1	19130	90900	彩虹跑酷
g1022	g1001_g1030	FlagWar	0	maps/g1022/m1022_1	127.0.0.1	19130	90900	夺旗大战
g1023	g1001_g1030	BuildBattle	0	maps/g1023/m1023_1	127.0.0.1	19130	90900	建造战争
g1024	g1001_g1030	JewelKnight	0	maps/g1024/m1024_1	127.0.0.1	19130	90900	宝石骑士
g1025	g1001_g1030	Tycoon	0	maps/g1025/m1025_1	127.0.0.1	19130	90900	我的大亨
g1026	g1001_g1030	ThrowPot	0	maps/g1026/m1026_1	127.0.0.1	19130	90900	丢锅大战
g1027	g1001_g1030	SkyRoyale	0	maps/g1027/m1027_1	127.0.0.1	19130	90900	空岛乱斗
g1028	g1001_g1030	Budokai	0	maps/g1028/m1028_2	127.0.0.1	19130	90900	比武大会
g1029	g1001_g1030	SuperWall	0	maps/g1029/m1029_1	127.0.0.1	19130	90900	超级战墙
g1030	g1001_g1030	SnowmanBattle	0	maps/g1030/m1030_1	127.0.0.1	19130	90900	保卫雪人
g1031	g1031_g1060	Ranchers	0	maps/g1031/m1031_1	127.0.0.1	19130	90900	大农场主
g1032	g1031_g1060	GunBattleHall	0	maps/g1032/m1032_1	127.0.0.1	19130	90900	枪战大厅
g1033	g1031_g1060	GBStrike	0	maps/g1033/m1033_2	127.0.0.1	19130	90900	Strike枪战
g1036	g1031_g1060	WatchCar	0	maps/g1036/m1036_1	127.0.0.1	19130	90900	守望推车
g1037	g1031_g1060	HASHall	0	maps/g1037/m1037_1	127.0.0.1	19130	90900	躲猫猫大厅
g1038	g1031_g1060	HASHidden	0	maps/g1038/m1038_1	127.0.0.1	19130	90900	躲猫猫躲藏模式
g1039	g1031_g1060	HASChase	0	maps/g1039/m1039_1	127.0.0.1	19130	90900	躲猫猫追逐模式
g1041	g1031_g1060	BirdSimulator	0	maps/g1041/m1041_2	127.0.0.1	19130	90900	小鸟模拟器
g1042	g1031_g1060	PixelGunHall	0	maps/g1042/m1042_1	127.0.0.1	19130	90900	像素射击大厅
g1043	g1031_g1060	PixelGunGame	0	maps/g1043/m1043_1	127.0.0.1	19130	90900	像素射击团队
g1044	g1031_g1060	PixelGunGame	0	maps/g1044/m1044_1	127.0.0.1	19130	90900	像素射击个人
g1045	g1031_g1060	PixelGunGame	0	maps/g1045/m1045_1	127.0.0.1	19130	90900	像素射击单挑
g1046	g1001_g1030	BedWar	1	maps/g1046/m1046_2	127.0.0.1	19131	90900	起床大厅
g1047	g1031_g1060	BlockCity	0	maps/g1047/m1047_1	127.0.0.1	19130	90900	家园
g1048	g1031_g1060	SkyBlock	0	maps/g1048/m1048_1	127.0.0.1	19130	90900	空岛生存主岛
g1049	g1031_g1060	SkyBlockMiningArea	0	maps/g1049/m1049_2	127.0.0.1	19130	90900	空岛生存矿洞
g1050	g1031_g1060	SkyBlockProduct	0	maps/g1050/m1050_1	127.0.0.1	19130	90900	空岛生存自动化坑
g1051	g1031_g1060	WalkingDead	0	maps/g1051/m1051_1	127.0.0.1	19130	90900	行尸走肉
g1052	g1031_g1060	BlockFort	0	maps/g1052/m1052_2	127.0.0.1	19130	90900	方块堡垒
g1053	g1031_g1060	PixelGunGame	0	maps/g1053/m1053_1	127.0.0.1	19130	90900	像素射击吃鸡
g1054	g1031_g1060	SkyWarLuckyBlock	0	maps/g1054/m1054_1	127.0.0.1	19130	90900	幸运方块(空岛)
g1055	g1031_g1060	LiftingSimulator	0	maps/g1055/m1055_1	127.0.0.1	19130	90900	健身模拟器
g1056	g1031_g1060	TowerDefense	0	maps/g1056/m1056_1	127.0.0.1	19131	90900	塔防
g1057	g1031_g1060	TowerDefenseHall	0	maps/g1057/m1057_1	127.0.0.1	19130	90900	塔防大厅
g1058	g1031_g1060	SkyWarLuckyBlockHall	0	maps/g1058/m1058_1	127.0.0.1	19130	90900	幸运方块(空岛)大厅
g1060	g1031_g1060	LSChampionShip	0	maps/g1060/m1060_1	127.0.0.1	19130	90900	健身模拟器锦标赛
g1061	g1001_g1030	BedWar	0	maps/g1061/m1061_1	127.0.0.1	19130	90900	起床solo
g1062	g1001_g1030	BedWar	0	maps/g1062/m1062_1	127.0.0.1	19130	90900	起床双人
g3042	g1031_g1060	PixelGunHall	0	maps/g3042/	127.0.0.1	19130	90900	我爱冲锋大厅
g3043	g1031_g1060	PixelGunGame	0	maps/g3043/	127.0.0.1	19130	90900	我爱冲锋团队
g3044	g1031_g1060	PixelGunGame	0	maps/g3044/	127.0.0.1	19130	90900	我爱冲锋个人
g3045	g1031_g1060	PixelGunGame	0	maps/g3045/	127.0.0.1	19130	90900	我爱冲锋单挑
g9999		GameTool	0	maps/template	127.0.0.1	19130	90900	模板游戏
g9998		Template	0	maps/template	127.0.0.1	19130	90900	模板游戏
