ActorName	Width	Length	Height	Scale	Remark
Actor文件名	宽度（>0）	长度（>0）	高度（>0）	缩放	备注信息
ActorNpc	0.6	0.6	1.8		地上的道具枪械
CreatureNpc	0.6	0.6	1.8		生物僵尸AI
SessionNpc	0.6	0.6	1.8		商人对话NPC
boy.actor	0.6	0.6	1.8		男主人公
girl.actor	0.6	0.6	1.8		女主人公
car01.actor	2	4	1.3		白色警车
demon.actor	1	1	2		恶魔
egg_blue.actor	0.6	0.6	0.8		蓝色龙蛋
egg_green.actor	0.6	0.6	0.8		绿色龙蛋
egg_red.actor	0.6	0.6	0.8		红色龙蛋
egg_yellow.actor	0.6	0.6	0.8		黄色龙蛋
superwall_sentry.actor	2	2	2.5		战墙防御塔
superwall_sentry_die.actor	1	2	2		战墙防御塔废墟
superwall_wither.actor	1	2	2.5		战墙凋零
superwall_wither_die.actor	1	2	1		战墙凋零废墟
ranchers_warehouse.actor	12	12	12		农场仓库
snowmanbattle_red.actor	0.6	0.6	2.3		红色雪人
snowmanbattle_blue.actor	0.6	0.6	2.3		蓝色雪人
FlagWar_flag_red.actor	0.7	0.7	4		红色旗帜
FlagWar_flag_blue.actor	0.7	0.7	4		蓝色旗帜
cs_gun_39.actor	0.7	0.7	0.5		AK-47步枪
cs_gun_40.actor	0.7	0.7	0.5		AUG步枪
cs_gun_41.actor	0.7	0.7	0.5		AWP狙击枪
cs_gun_42.actor	0.7	0.7	0.5		格洛克
cs_gun_43.actor	0.7	0.7	0.5		M4A1步枪
cs_gun_44.actor	0.7	0.7	0.5		p90
cs_gun_45.actor	0.7	0.7	0.5		SSG狙击枪
cs_gun_46.actor	0.7	0.7	0.5		SG步枪
cs_gun_47.actor	0.7	0.7	0.5		usp
cs_gun_48.actor	0.7	0.7	0.5		uzi
cs_gun_36.actor	0.7	0.7	0.5		截短霰弹枪
cs_gun_38.actor	0.7	0.7	0.5		沙鹰
cs_gun_29.actor	0.7	0.7	0.5		M1014霰弹枪
