CarId	Name	Model	Texture	MoneyType	Price	Passengers	PassengersDamage	Traction	ReverseTraction	BrakingForce	Mass	CoefAirDrag	CoefRollingFriction	MinTurningRadius	MaxCentripetalForce	CorneringStiffness	MaxCoefLateralFriction	CoefRestitution	MinBounceSpeed	Type
车ID	名字	模型	贴图	购买货币类型	价格	乘客数量	车受伤害乘车人的伤害比例	牵引力(N)	倒车牵引力(N)	制动力(N)	质量(kg)	空气阻力系数(N*s^2/m^2)	滚动摩擦系数(1)	最小转弯半径(m)	最大向心力(N)	轮胎侧偏刚度(1/度)	轮胎最大滑动摩擦系数(1)	恢复系数(1)	最小反弹速度(m/s)	1车/2船
1	PoliceCar	car01.actor	dfd	100	0	4	0.6	5000	1000	20000	1500	4.5	0.05	7	35000	0.04	2	0.1	5	1
2	car	car02.actor		120	10000	2	0.5	5000	1000	20000	1500	4.5	0.05	7	35000	0.04	2	0.1	5	1
3	car3	car03.actor		150	25000	2	0.5	5000	1000	20000	1500	4.5	0.05	7	35000	0.04	2	0.1	5	1
4	Jeep	car04.actor		150	0	4	0.3	5000	1000	20000	1500	4.5	0.05	7	35000	0.04	2	0.1	5	1
5	Jeep	car04.actor		150	120000	2	0.3	5000	1000	20000	1500	4.5	0.05	7	35000	0.04	2	0.1	5	1
6	police	car01.actor		100	0	4	0.6	7000	1500	20000	1500	4.5	0.05	7	30000	0.04	3	0.2	5	1
7	sport	car02.actor		120	0	4	0.5	10000	2000	30000	1200	4	0.04	6.5	35000	0.04	2	0.2	5	1
8	bumper	car03.actor		150	0	4	0.1	3000	500	20000	300	5	0.08	5	30000	0.04	5	1	5	1
9	jeep	car04.actor		150	0	4	0.3	8000	2000	25000	2000	5.5	0.06	9	30000	0.04	4	0.1	5	1
