机器人ID	组id	队伍id	淘汰权重	物品组ID	装扮组ID	默认行为	Unnamed: 7
Id	groupId	teamId	weight	itemGroup	dressGroup		
101	1	1	200	201020	102		拆床
102	1	1	300	102030	101		攻击
103	1	1	400	301010	103		采集
104	1	1	500	401010	104		防守
105	1	3	200	201020	102		拆床
106	1	3	300	102030	101		攻击
107	1	3	400	101020	101		攻击
108	1	3	500	401020	104		防守
109	1	2	200	201010	102		拆床
110	1	2	300	102030	101		攻击
111	1	2	400	301010	103		采集
112	1	2	500	301010	103		采集
113	1	4	200	201010	102		拆床
114	1	4	300	102030	101		攻击
115	1	4	400	301010	103		采集
116	1	4	500	301010	103		采集
