索引	类型	类型名多语言（主页签）	标签图标	标签ID（发布后不可变）	可同时装备数量	标签多语言（子页签）	模型显示方式	CustomShopTabs排序(小的排前面)	Unnamed: 9	Unnamed: 10	Unnamed: 11	Unnamed: 12	Unnamed: 13	Unnamed: 14	Unnamed: 15	Unnamed: 16
Index	Type	TypeLang	Icon	TabId	EquipCount	Lang	ModelType	Weight								
1	3	CustomShopTabs_TypeLang_3	set:bed_war_custom_shop.json image:ic_pet	1	1	CustomShopTabs_TypeLang_3	2	100	宠物				类型（Type）	type固定		模型显示方式
2	7	CustomShopTabs_TypeLang_7	set:bed_war_custom_shop.json image:ic_sword	2	1	CustomShopTabs_TypeLang_7	2	600	剑影				1	方块		1：小模型
5	6	CustomShopTabs_TypeLang_6	set:bed_war_custom_shop.json image:ic_arrow	5	1	CustomShopTabs_TypeLang_6	2	700	特效箭				2	足迹		2：大模型
3	5	CustomShopTabs_TypeLang_5	set:bed_war_custom_shop.json image:ic_action	6	30	CustomShopTabs_TypeLang_5	2	800	个性动作				3	宠物		
4	2	CustomShopTabs_TypeLang_2	set:bed_war_custom_shop.json image:ic_foot	4	1	CustomShopTabs_TypeLang_2	1	900	足迹				4	击杀播报		
													5	个性动作		
													6	特效箭		
													7	刀光剑影		
													8	翅膀		
																
													定制商城切页表			
																
													TabId	类型	大权重	
													宠物	1	100	
													剑影	2	600	
													击杀播报	3	1100	
													足迹	4	900	
													特效箭	5	700	
													个性动作	6	800	
													方块	7	200	
													羊毛	8	200	
													木头	9	300	
													石头	10	400	
													黑曜石	11	500	
													翅膀	12	1000	
																
																
													羊毛	CustomShopTabs_Lang_2		
													木头	CustomShopTabs_Lang_3		
													石头	CustomShopTabs_Lang_4		
													黑曜石	CustomShopTabs_Lang_5		
													翅膀	CustomShopTabs_Lang_7		
