ItemId	Icon	Name	MeshName	EffectName	ClassName	Params	Unnamed: 7	Unnamed: 8	Unnamed: 9	Unnamed: 10
手持道具Id	对应Item图标	多语言名称	模型	手持特效	类型	自定义参数				
268	g1008_props_wepaon_1	item.item_weapon_1	g1008_sword_101.mesh	#	ItemSword	wood		木剑		道具模型表（常用）
267	g1008_props_wepaon_2	item.item_weapon_2	g1008_sword_102.mesh	#	ItemSword	iron		铁剑		
283	g1008_props_wepaon_3	item.item_weapon_3	g1008_sword_103.mesh	#	ItemSword	gold		金剑		
276	g1008_props_wepaon_4	item.item_weapon_4	g1008_sword_104.mesh	#	ItemSword	emerald		钻石剑		
270	g1008_props_pickaxe_1	item.item_pickaxe_1	g1008_pickaxe_101.mesh	#	ItemPickaxe	wood		木镐		
257	g1008_props_pickaxe_2	item.item_pickaxe_2	g1008_pickaxe_102.mesh	#	ItemPickaxe	iron		铁镐		
285	g1008_props_pickaxe_3	item.item_pickaxe_3	g1008_pickaxe_103.mesh	#	ItemPickaxe	gold		金镐		
278	g1008_props_pickaxe_4	item.item_pickaxe_4	g1008_pickaxe_104.mesh	#	ItemPickaxe	emerald		钻石镐		
271	g1008_props_ax_1	item.item_axe_1	g1008_axe_101.mesh	#	ItemAxe	wood		木斧		
258	g1008_props_ax_2	item.item_axe_2	g1008_axe_102.mesh	#	ItemAxe	iron		铁斧		
286	g1008_props_ax_3	item.item_axe_3	g1008_axe_103.mesh	#	ItemAxe	gold		金斧		
279	g1008_props_ax_4	item.item_axe_4	g1008_axe_104.mesh	#	ItemAxe	emerald		钻石斧		
359	g1008_props_scissors	item.item_scissors_1	g1008_scissors_101.mesh	#	ItemShears			剪刀		
506	g1008_props_flameBomb	item.flareBomb	g1008_props_flameBomb.mesh	#	ItemClient			火焰弹		
326	g1008_props_bucket	item.bucket	g1008_props_bucket.mesh	#	ItemBucket	8&true		水桶		
514	g1008_props_jumpPotion	item.potion_jump	g1008_props_quickPotion.mesh	#	ItemPotion	false		跳跃药水		
512	g1008_props_fadePotion	item.potion_invisibility	g1008_props_jumpPotion.mesh	#	ItemPotion	false		隐身药水		
519	g1008_props_quickPotion	item.potion_move_speed	g1008_props_fadePotion.mesh	#	ItemPotion	false		加速药水		
369	g1008_props_stick	item.stick	g1008_props_stick.mesh	#	ItemClient			击退棒		
368	g1008_props_pearl	item.pearl	g1008_props_pearl.mesh	#	ItemClient			闪现珍珠		
467	g1008_props_bridgeEgg	item.bridgeEgg	g1008_props_bridgeEgg.mesh	#	ItemCreateBridge			搭桥蛋		
2076	g1008_sword_21	item.g1008_sword_21	g1008_sword_21.mesh	#	ItemSword	gold				
2077	g1008_sword_01	item.g1008_sword_01	g1008_sword_01.mesh	#	ItemSword	wood				
2078	g1008_sword_02	item.g1008_sword_02	g1008_sword_02.mesh	#	ItemSword	wood				
2079	g1008_sword_03	item.g1008_sword_03	g1008_sword_03.mesh	#	ItemSword	wood				
2080	g1008_sword_04	item.g1008_sword_04	g1008_sword_04.mesh	#	ItemSword	iron				
2081	g1008_sword_05	item.g1008_sword_05	g1008_sword_05.mesh	#	ItemSword	iron				
2082	g1008_sword_06	item.g1008_sword_06	g1008_sword_06.mesh	#	ItemSword	iron				
2083	g1008_sword_07	item.g1008_sword_07	g1008_sword_07.mesh	#	ItemSword	gold				
2084	g1008_sword_08	item.g1008_sword_08	g1008_sword_08.mesh	#	ItemSword	gold				
2085	g1008_sword_09	item.g1008_sword_09	g1008_sword_09.mesh	#	ItemSword	gold				
2086	g1008_sword_10	item.g1008_sword_10	g1008_sword_10.mesh	#	ItemSword	emerald				
2087	g1008_sword_11	item.g1008_sword_11	g1008_sword_11.mesh	#	ItemSword	emerald				
2088	g1008_sword_12	item.g1008_sword_12	g1008_sword_12.mesh	#	ItemSword	emerald				
2089	g1008_sword_13	item.g1008_sword_13	g1008_sword_13.mesh	#	ItemSword	wood				
2090	g1008_sword_14	item.g1008_sword_14	g1008_sword_14.mesh	#	ItemSword	wood				
2091	g1008_sword_15	item.g1008_sword_15	g1008_sword_15.mesh	#	ItemSword	wood				
2092	g1008_sword_16	item.g1008_sword_16	g1008_sword_16.mesh	#	ItemSword	iron				
2093	g1008_sword_17	item.g1008_sword_17	g1008_sword_17.mesh	#	ItemSword	iron				
2094	g1008_sword_18	item.g1008_sword_18	g1008_sword_18.mesh	#	ItemSword	iron				
2095	g1008_sword_19	item.g1008_sword_19	g1008_sword_19.mesh	#	ItemSword	gold				
2096	g1008_sword_20	item.g1008_sword_20	g1008_sword_20.mesh	#	ItemSword	gold				
2097	g1008_axe_01	item.g1008_axe_01	g1008_axe_01.mesh	#	ItemAxe	wood				
2098	g1008_axe_02	item.g1008_axe_02	g1008_axe_02.mesh	#	ItemAxe	wood				
2099	g1008_axe_03	item.g1008_axe_03	g1008_axe_03.mesh	#	ItemAxe	wood				
2100	g1008_axe_04	item.g1008_axe_04	g1008_axe_04.mesh	#	ItemAxe	iron				
2101	g1008_axe_05	item.g1008_axe_05	g1008_axe_05.mesh	#	ItemAxe	iron				
2102	g1008_axe_06	item.g1008_axe_06	g1008_axe_06.mesh	#	ItemAxe	iron				
2103	g1008_axe_07	item.g1008_axe_07	g1008_axe_07.mesh	#	ItemAxe	emerald				
2104	g1008_axe_08	item.g1008_axe_08	g1008_axe_08.mesh	#	ItemAxe	emerald				
2105	g1008_axe_09	item.g1008_axe_09	g1008_axe_09.mesh	#	ItemAxe	emerald				
2106	g1008_axe_10	item.g1008_axe_10	g1008_axe_10.mesh	#	ItemAxe	gold				
2107	g1008_axe_11	item.g1008_axe_11	g1008_axe_11.mesh	#	ItemAxe	gold				
2108	g1008_axe_12	item.g1008_axe_12	g1008_axe_12.mesh	#	ItemAxe	gold				
2109	g1008_axe_16	item.g1008_axe_16	g1008_axe_16.mesh	#	ItemAxe	iron				
2110	g1008_axe_17	item.g1008_axe_17	g1008_axe_17.mesh	#	ItemAxe	iron				
2111	g1008_axe_18	item.g1008_axe_18	g1008_axe_18.mesh	#	ItemAxe	iron				
2112	g1008_axe_19	item.g1008_axe_19	g1008_axe_19.mesh	#	ItemAxe	emerald				
2113	g1008_axe_20	item.g1008_axe_20	g1008_axe_20.mesh	#	ItemAxe	emerald				
2117	g1008_pickaxe_01	item.g1008_pickaxe_01	g1008_pickaxe_01.mesh	#	ItemPickaxe	wood				
2118	g1008_pickaxe_02	item.g1008_pickaxe_02	g1008_pickaxe_02.mesh	#	ItemPickaxe	wood				
2119	g1008_pickaxe_03	item.g1008_pickaxe_03	g1008_pickaxe_03.mesh	#	ItemPickaxe	wood				
2120	g1008_pickaxe_04	item.g1008_pickaxe_04	g1008_pickaxe_04.mesh	#	ItemPickaxe	iron				
2121	g1008_pickaxe_05	item.g1008_pickaxe_05	g1008_pickaxe_05.mesh	#	ItemPickaxe	iron				
2122	g1008_pickaxe_06	item.g1008_pickaxe_06	g1008_pickaxe_06.mesh	#	ItemPickaxe	iron				
2123	g1008_pickaxe_07	item.g1008_pickaxe_07	g1008_pickaxe_07.mesh	#	ItemPickaxe	emerald				
2124	g1008_pickaxe_08	item.g1008_pickaxe_08	g1008_pickaxe_08.mesh	#	ItemPickaxe	emerald				
2125	g1008_pickaxe_09	item.g1008_pickaxe_09	g1008_pickaxe_09.mesh	#	ItemPickaxe	emerald				
2126	g1008_pickaxe_10	item.g1008_pickaxe_10	g1008_pickaxe_10.mesh	#	ItemPickaxe	gold				
2127	g1008_pickaxe_11	item.g1008_pickaxe_11	g1008_pickaxe_11.mesh	#	ItemPickaxe	gold				
2128	g1008_pickaxe_12	item.g1008_pickaxe_12	g1008_pickaxe_12.mesh	#	ItemPickaxe	gold				
2129	g1008_pickaxe_13	item.g1008_pickaxe_13	g1008_pickaxe_13.mesh	#	ItemPickaxe	wood				
2130	g1008_pickaxe_14	item.g1008_pickaxe_14	g1008_pickaxe_14.mesh	#	ItemPickaxe	wood				
2131	g1008_pickaxe_15	item.g1008_pickaxe_15	g1008_pickaxe_15.mesh	#	ItemPickaxe	wood				
2132	g1008_pickaxe_16	item.g1008_pickaxe_16	g1008_pickaxe_16.mesh	#	ItemPickaxe	iron				
2133	g1008_pickaxe_17	item.g1008_pickaxe_17	g1008_pickaxe_17.mesh	#	ItemPickaxe	iron				
2134	g1008_pickaxe_18	item.g1008_pickaxe_18	g1008_pickaxe_18.mesh	#	ItemPickaxe	iron				
2135	g1008_pickaxe_19	item.g1008_pickaxe_19	g1008_pickaxe_19.mesh	#	ItemPickaxe	emerald				
2056	redhelmet	item.helmetCloth	#	#	ItemArmor	cloth&0&red				
2057	redchest	item.chestplateCloth	#	#	ItemArmor	cloth&1&red				
2058	redleg	item.leggingsCloth	#	#	ItemArmor	cloth&2&red				
2059	redshoe	item.bootsCloth	#	#	ItemArmor	cloth&3&red				
2060	bluehelmet	item.helmetCloth	#	#	ItemArmor	cloth&0&blue				
2061	bluechest	item.chestplateCloth	#	#	ItemArmor	cloth&1&blue				
2062	blueleg	item.leggingsCloth	#	#	ItemArmor	cloth&2&blue				
2063	blueshoe	item.bootsCloth	#	#	ItemArmor	cloth&3&blue				
2064	greenhelmet	item.helmetCloth	#	#	ItemArmor	cloth&0&green				
2065	greenchest	item.chestplateCloth	#	#	ItemArmor	cloth&1&green				
2066	greenleg	item.leggingsCloth	#	#	ItemArmor	cloth&2&green				
2067	greenshoe	item.bootsCloth	#	#	ItemArmor	cloth&3&green				
2068	yellowhelmet	item.helmetCloth	#	#	ItemArmor	cloth&0&yellow				
2069	yellowchest	item.chestplateCloth	#	#	ItemArmor	cloth&1&yellow				
2070	yellowleg	item.leggingsCloth	#	#	ItemArmor	cloth&2&yellow				
2071	yellowshoe	item.bootsCloth	#	#	ItemArmor	cloth&3&yellow				
2257	g1008_helmet_1_red	item.g1008_helmet_1_red	g1008_helmet_1_red.mesh	#	ItemArmor	cloth&0&g1008_helmet_1_red.mesh				
2258	g1008_helmet_1_blue	item.g1008_helmet_1_blue	g1008_helmet_1_blue.mesh	#	ItemArmor	cloth&0&g1008_helmet_1_blue.mesh				
2259	g1008_helmet_1_green	item.g1008_helmet_1_green	g1008_helmet_1_green.mesh	#	ItemArmor	cloth&0&g1008_helmet_1_green.mesh				
2260	g1008_helmet_1_yellow	item.g1008_helmet_1_yellow	g1008_helmet_1_yellow.mesh	#	ItemArmor	cloth&0&g1008_helmet_1_yellow.mesh				
2261	g1008_helmet_2_red	item.g1008_helmet_2_red	g1008_helmet_2_red.mesh	#	ItemArmor	cloth&0&g1008_helmet_2_red.mesh				
2262	g1008_helmet_2_blue	item.g1008_helmet_2_blue	g1008_helmet_2_blue.mesh	#	ItemArmor	cloth&0&g1008_helmet_2_blue.mesh				
2263	g1008_helmet_2_green	item.g1008_helmet_2_green	g1008_helmet_2_green.mesh	#	ItemArmor	cloth&0&g1008_helmet_2_green.mesh				
2264	g1008_helmet_2_yellow	item.g1008_helmet_2_yellow	g1008_helmet_2_yellow.mesh	#	ItemArmor	cloth&0&g1008_helmet_2_yellow.mesh				
2265	g1008_helmet_1_rainbow	item.g1008_helmet_1_rainbow	g1008_helmet_1_rainbow.mesh	#	ItemArmor	cloth&0&g1008_helmet_1_rainbow.mesh				
