ID	旧ItemId	新ItemId	装扮ItemId	Unnamed: 4	备注.1
Id	ItemId	NewItemId	DressItemId		
1	270	2117	2117		木镐
2	270	2118	2118		木镐
3	270	2119	2119		木镐
4	270	2129	2129		木镐
5	270	2130	2130		木镐
6	270	2131	2131		木镐
7	257	2120	2120		铁镐
8	257	2121	2121		铁镐
9	257	2122	2122		铁镐
10	257	2132	2132		铁镐
11	257	2133	2133		铁镐
12	257	2134	2134		铁镐
13	285	2126	2126		金镐
14	285	2127	2127		金镐
15	285	2128	2128		金镐
16	278	2123	2123		钻石镐
17	278	2124	2124		钻石镐
18	278	2125	2125		钻石镐
19	278	2135	2135		钻石镐
20	271	2097	2097		木斧
21	271	2098	2098		木斧
22	271	2099	2099		木斧
23	258	2100	2100		铁斧
24	258	2101	2101		铁斧
25	258	2102	2102		铁斧
26	258	2109	2109		铁斧
27	258	2110	2110		铁斧
28	258	2111	2111		铁斧
29	286	2106	2106		金斧
30	286	2107	2107		金斧
31	286	2108	2108		金斧
32	279	2103	2103		钻石斧
33	279	2104	2104		钻石斧
34	279	2105	2105		钻石斧
35	279	2112	2112		钻石斧
36	279	2113	2113		钻石斧
37	298	2056	2056		皮-帽子（红）
38	298	2060	2060		皮-帽子（蓝）
39	298	2064	2064		皮-帽子（绿）
40	298	2068	2068		皮-帽子（黄）
41	2056	2257	2265		皮-帽子（红）
42	2056	2261	2266		皮-帽子（红）
43	2056	2267	2271		皮-帽子（红）
44	2056	2272	2276		皮-帽子（红）
45	2056	2277	2281		皮-帽子（红）
46	2060	2258	2265		皮-帽子（蓝）
47	2060	2262	2266		皮-帽子（蓝）
48	2060	2268	2271		皮-帽子（蓝）
49	2060	2273	2276		皮-帽子（蓝）
50	2060	2278	2281		皮-帽子（蓝）
51	2064	2259	2265		皮-帽子（绿）
52	2064	2263	2266		皮-帽子（绿）
53	2064	2269	2271		皮-帽子（绿）
54	2064	2274	2276		皮-帽子（绿）
55	2064	2279	2281		皮-帽子（绿）
56	2068	2260	2265		皮-帽子（黄）
57	2068	2264	2266		皮-帽子（黄）
58	2068	2270	2271		皮-帽子（黄）
59	2068	2275	2276		皮-帽子（黄）
60	2068	2280	2281		皮-帽子（黄）
61	268	2077	2077		木剑
62	268	2078	2078		木剑
63	268	2079	2079		木剑
64	268	2089	2089		木剑
65	268	2090	2090		木剑
66	268	2091	2091		木剑
67	267	2080	2080		铁剑
68	267	2081	2081		铁剑
69	267	2082	2082		铁剑
70	267	2092	2092		铁剑
71	267	2093	2093		铁剑
72	267	2094	2094		铁剑
73	283	2083	2083		金剑
74	283	2084	2084		金剑
75	283	2085	2085		金剑
76	283	2095	2095		金剑
77	283	2096	2096		金剑
78	283	2076	2076		金剑
79	276	2086	2086		钻石剑
80	276	2087	2087		钻石剑
81	276	2088	2088		钻石剑
82	261	2137	2137		弓
83	261	2138	2138		弓
84	261	2139	2139		弓
85	262	601	601		特效箭1
86	262	602	602		特效箭2
87	262	603	603		特效箭3
88	262	604	604		特效箭4
89	262	605	605		特效箭5
90	262	606	606		特效箭6
91	262	607	607		特效箭7
92	262	608	608		特效箭8
93	262	609	609		特效箭9
94	262	610	610		特效箭10
95	262	611	611		特效箭11
96	262	612	612		特效箭12
97	262	613	613		特效箭13
98	262	614	614		特效箭14
99	298	701	701		皮-帽子（青）
100	298	705	705		皮-帽子（白）
101	298	709	709		皮-帽子（粉）
102	298	713	713		皮-帽子（黑）
103	701	717	2265		皮-帽子（青）
104	701	721	2266		皮-帽子（青）
105	701	725	2271		皮-帽子（青）
106	701	728	2276		皮-帽子（青）
107	701	732	2281		皮-帽子（青）
108	705	718	2265		皮-帽子（白）
109	705	722	2266		皮-帽子（白）
110	705	726	2271		皮-帽子（白）
111	705	730	2276		皮-帽子（白）
112	705	734	2281		皮-帽子（白）
113	709	719	2265		皮-帽子（粉）
114	709	723	2266		皮-帽子（粉）
115	709	727	2271		皮-帽子（粉）
116	709	731	2276		皮-帽子（粉）
117	709	735	2281		皮-帽子（粉）
118	713	720	2265		皮-帽子（黑）
119	713	724	2266		皮-帽子（黑）
120	713	728	2271		皮-帽子（黑）
121	713	732	2276		皮-帽子（黑）
122	713	736	2281		皮-帽子（黑）
123	2056	737	901		电视机头盔
124	2060	738	901		电视机头盔
125	2064	739	901		电视机头盔
126	2068	740	901		电视机头盔
127	701	741	901		电视机头盔
128	705	742	901		电视机头盔
129	709	743	901		电视机头盔
130	713	744	901		电视机头盔
131	2056	745	902		床霸头盔
132	2060	746	902		床霸头盔
133	2064	747	902		床霸头盔
134	2068	748	902		床霸头盔
135	701	749	902		床霸头盔
136	705	750	902		床霸头盔
137	709	751	902		床霸头盔
138	713	752	902		床霸头盔
139	2056	753	903		食人花头盔
140	2060	754	903		食人花头盔
141	2064	755	903		食人花头盔
142	2068	756	903		食人花头盔
143	701	757	903		食人花头盔
144	705	758	903		食人花头盔
145	709	759	903		食人花头盔
146	713	760	903		食人花头盔
147	35	1441	1441		羊毛装扮(红)
148	35	1442	1442		羊毛装扮(蓝)
149	35	1443	1443		羊毛装扮(绿)
150	35	1444	1444		羊毛装扮(黄)
151	35	1445	1445		羊毛装扮(青)
152	35	1446	1446		羊毛装扮(白)
153	35	1447	1447		羊毛装扮(粉)
154	35	1448	1448		羊毛装扮(黑)
155	1441	1801	1801		羊毛装扮(红)
156	1441	1802	1802		羊毛装扮(红)
157	1441	1803	1803		羊毛装扮(红)
158	1441	1804	1804		羊毛装扮(红)
159	1441	1805	1805		羊毛装扮(红)
160	1441	1807	1807		羊毛装扮(红)
161	1441	1808	1808		羊毛装扮(红)
162	1441	1809	1809		羊毛装扮(红)
163	1441	1810	1810		羊毛装扮(红)
164	1441	1811	1811		羊毛装扮(红)
165	1441	1812	1812		羊毛装扮(红)
166	1441	1813	1813		羊毛装扮(红)
167	1441	1814	1814		羊毛装扮(红)
168	1441	1815	1815		羊毛装扮(红)
169	1441	1816	1816		羊毛装扮(红)
170	1441	1817	1817		羊毛装扮(红)
171	1441	1818	1818		羊毛装扮(红)
