index	mapId	teamId	队伍名字（对应gametips上的队伍名字的编号）	玩家复活，游戏开始点X	家的范围	资源点Id	床位置	床的朝向	模板组id	不能放置方块区域	初始物品	羊毛方块Id	放setting表	Unnamed: 14
index	mapId	id	name	initPos	homeAreaPos	resourcePointId	bedPos	bedYaw	schemeticGroupId	cannotPlaceBlock	initItems	clothBlockId		
1	1	1	1008034	501.5,51,15.5	488,43,1#514,88,28	7	494,50,22#494,50,23	90	1	497,50,9#508,56,20	2056#2057#2058#2059#268	1441	红队	沙漠
2	1	2	1008035	415.5,51,101.5	403,44,88#428,84,116	8	422,50,93#422,50,94	90	1	409,50,97#420,56,108	2060#2061#2062#2063#268	1442	蓝队	沙漠
3	1	3	1008036	415.5,51,15.5	401.5,46.5,3.5#428.5,86.5,28.5	9	423,50,22#422,50,22	90	2	409,50,9#420,56,20	2064#2065#2066#2067#268	1443	绿队	沙漠
4	1	4	1008037	501.5,51,101.5	489.5,43.5,89.5#516.5,84.5,114.5	10	493,50,94#494,50,94	90	1	497,50,97#508,56,108	2068#2069#2070#2071#268	1444	黄队	沙漠
5	2	1	1008034	885.5,50,15.5	871,20,0#901,93,30	7	885,50,24#885,50,25	90	1	879,50,8#892,53,19	2056#2057#2058#2059#268	1441	红队	现代
6	2	2	1008035	885.5,50,155.5	870,40,141#902,89,172	8	885,50,146#885,50,145	90	1	879,50,152#892,53,163	2060#2061#2062#2063#268	1442	蓝队	现代
7	2	3	1008036	815.5,50,85.5	799,34,68#830,89,100	9	824,50,85#825,50,85	90	2	808,50,79#819,53,92	2064#2065#2066#2067#268	1443	绿队	现代
8	2	4	1008037	955.5,50,85.5	940,40,69#972,88,100	10	945,50,85#946,50,85	90	1	952,50,79#963,53,92	2068#2069#2070#2071#268	1444	黄队	现代
9	3	1	1008034	1367.5,50,87.5	1352,40,66#1382,75,109	7	1359,49,87#1359,49,88	90	1	1366,50,83#1375,56,92	2056#2057#2058#2059#268	1441	红队	小屋
10	3	2	1008035	1225.5,50,87.5	1211,43,73#1240,79,99	8	1233,49,87#1233,49,86	90	1	1218,50,83#1227,56,92	2060#2061#2062#2063#268	1442	蓝队	小屋
11	3	3	1008036	1296.5,50,16.5	1286,44,2#1310,77,33	9	1296,49,24#1297,49,24	90	2	1292,50,9#1301,56,18	2064#2065#2066#2067#268	1443	绿队	小屋
12	3	4	1008037	1296.5,50,158.5	1283,40,144#1308,78,174	10	1296,49,150#1295,49,150	90	1	1292,50,157#1301,56,167	2068#2069#2070#2071#268	1444	黄队	小屋
13	4	1	1008034	1713.5,100,114.5	1693,88,95#1727,129,130	7	1701,99,102#1701,99,103	90	1	1708,99,109#1719,103,120	2056#2057#2058#2059#268	1441	红队	中式
14	4	2	1008035	1614.5,100,15.5	1601,88,1#1633,129,35	8	1627,99,27#1627,99,28	90	1	1620,99,21#1609,103,10	2060#2061#2062#2063#268	1442	蓝队	中式
15	4	3	1008036	1713.5,100,15.5	1696,88,1#1729,129,35	9	1701,99,28#1702,99,28	90	2	1708,99,21#1719,103,10	2064#2065#2066#2067#268	1443	绿队	中式
16	4	4	1008037	1614.5,100,114.5	1600,99,97#1634,129,128	10	1627,99,102#1626,99,102	90	1	1620,99,109#1609,103,120	2068#2069#2070#2071#268	1444	黄队	中式
17	5	1	1008034	2224.5,79,49.5	2213,71,31#2234,109,72	7	2224,80,58#2224,80,59	90	1	2219,79,41#2230,82,53	2056#2057#2058#2059#268	1441	红队	海盗
18	5	2	1008035	2224.5,79,201.5	2213,71,174#2234,109,220	8	2224,80,191#2224,80,192	90	1	2219,79,198#2230,82,210	2060#2061#2062#2063#268	1442	蓝队	海盗
19	5	3	1008036	2300.5,79,125.5	2278,71,115#2319,109,136	9	2290,80,125#2291,80,125	90	2	2297,79,120#2309,82,131	2064#2065#2066#2067#268	1443	绿队	海盗
20	5	4	1008037	2148.5,79,125.5	2130,71,115#2171,109,136	10	2158,80,125#2157,80,125	90	1	2140,79,120#2152,82,131	2068#2069#2070#2071#268	1444	黄队	海盗
21	6	1	1008034	2823.5,76,92.5	2801,43,70#2846,145,114	7	2833,76,92#2834,76,92	90	1	2818,75,87#2828,78,98	2056#2057#2058#2059#268	1441	红队	太极
22	6	2	1008035	2963.5,76,92.5	2942,43,70#2985,145,114	8	2952,76,92#2953,76,92	90	1	2960,75,87#2970,78,98	2060#2061#2062#2063#268	1442	蓝队	太极
23	6	3	1008036	2893.5,76,22.5	2872,43,0#2915,145,44	9	2893,76,32#2893,76,33	90	2	2888,75,17#2899,78,27	2064#2065#2066#2067#268	1443	绿队	太极
24	6	4	1008037	2893.5,76,162.5	2872,43,141#2915,145,185	10	2893,76,151#2893,76,152	90	1	2888,75,159#2899,78,169	2068#2069#2070#2071#268	1444	黄队	太极
25	7	1	1008034	496.5,61,420.5	490,29,409#504,72,432	9	496,61,427#496,61,428	90	2	492,60,412#501,63,426	2056#2057#2058#2059#268	1441	红队	圣殿
26	7	2	1008035	542.5,61,467.5	532,29,460#555,72,475	10	535,61,467#536,61,467	90	2	539,60,463#552,63,472	2060#2061#2062#2063#268	1442	蓝队	圣殿
27	7	3	1008036	542.5,61,503.5	532,29,496#555,72,511	11	535,61,503#536,61,503	90	2	539,60,499#552,63,508	2064#2065#2066#2067#268	1443	绿队	圣殿
28	7	4	1008037	496.5,61,549.5	489,29,539#504,72,562	12	496,61,542#496,61,543	90	2	492,60,545#501,63,559	2068#2069#2070#2071#268	1444	黄队	圣殿
29	7	5	1008039	460.5,61,549.5	453,29,539#468,72,562	13	460,61,542#460,61,543	90	2	456,60,545#465,63,559	701#702#703#704#268	1445	青队	圣殿
30	7	6	1008040	414.5,61,503.5	402,29,496#425,72,511	14	420,61,503#421,61,503	90	2	405,60,499#418,63,508	705#706#707#708#268	1446	白队	圣殿
