商品ID	道具类型	标签ID	商品价格	打折价格	道具名称	道具图片	模块配置ID	是否默认给的（1是0否）	获得途径（1.购买 2.首充  3.秘宝挑战 4.起床号令）	CustomShopGoods排序（小的排前面）	中文备注	Unnamed: 12
Id	Type	TabId	Price	DiscountPrices	Name	Image	SettingId	Default	GetWay	Weight		
2001	2	4	788	#	CustomShopGoods_Name_2001	set:footprint_icon.json image:g1008_icon_footprint_1	2001	0	1	400	冰晶拖尾	788.0
2002	2	4	358	#	CustomShopGoods_Name_2002	set:footprint_icon.json image:g1008_icon_footprint_2	2002	0	1	200	雷电拖尾	358.0
2003	2	4	788	#	CustomShopGoods_Name_2003	set:footprint_icon.json image:g1008_icon_footprint_3	2003	0	1	800	樱花拖尾	788.0
2004	2	4	788	#	CustomShopGoods_Name_2004	set:footprint_icon.json image:g1008_icon_footprint_4	2004	0	1	500	腾云拖尾	788.0
2005	2	4	988	#	CustomShopGoods_Name_2005	set:footprint_icon.json image:g1008_icon_footprint_5	2005	0	1	100	彩虹拖尾	988.0
2006	2	4	588	#	CustomShopGoods_Name_2006	set:footprint_icon.json image:g1008_icon_footprint_6	2006	0	1	600	赛博拖尾	588.0
2007	2	4	358	#	CustomShopGoods_Name_2007	set:footprint_icon.json image:g1008_icon_footprint_7	2007	0	1	300	量子拖尾	358.0
2008	2	4	788	#	CustomShopGoods_Name_2008	set:footprint_icon.json image:g1008_icon_footprint_8	2008	0	1	700	幽灵鬼脸拖尾	788.0
2009	2	4	988	#	CustomShopGoods_Name_2009	set:footprint_icon.json image:g1008_icon_footprint_9	2009	0	4	900	水泡	988.0
2010	2	4	588	#	CustomShopGoods_Name_2010	set:footprint_icon.json image:g1008_icon_footprint_10	2010	0	1	30	音符拖尾	588.0
2011	2	4	988	#	CustomShopGoods_Name_2011	set:bedwar_license_reward.json image:g1008_icon_footprint_11	2011	0	1	10	火焰拖尾	988.0
2012	2	4	988	#	CustomShopGoods_Name_2012	set:bedwar_license_reward.json image:g1008_icon_footprint_12	2012	0	1	20	冰冻拖尾	988.0
3001	3	1	1288	#	CustomShopGoods_Name_3001	set:bedwar_item.json image:g1008_icon_pet_1	3001	0	2	1400	羊咩咩	1288.0
3002	3	1	1088	#	CustomShopGoods_Name_3002	set:bedwar_item.json image:g1008_icon_pet_2	3002	0	1	1000	木头人	1088.0
3003	3	1	1088	#	CustomShopGoods_Name_3003	set:bedwar_item.json image:g1008_icon_pet_3	3003	0	1	900	石头人	1088.0
3004	3	1	1988	#	CustomShopGoods_Name_3004	set:bedwar_item.json image:g1008_icon_pet_4	3004	0	1	1100	曜守卫	1988.0
3005	3	1	2988	#	CustomShopGoods_Name_3005	set:bedwar_item.json image:g1008_icon_pet_5	3005	0	1	600	宝石守卫	2988.0
3006	3	1	1988	#	CustomShopGoods_Name_3006	set:bedwar_item.json image:g1008_icon_pet_6	3006	0	1	200	烈焰人	1988.0
3007	3	1	2988	#	CustomShopGoods_Name_3007	set:bedwar_item.json image:g1008_icon_pet_7	3007	0	1	400	影子人	2988.0
3008	3	1	5888	#	CustomShopGoods_Name_3008	set:bedwar_item.json image:g1008_icon_pet_8	3008	0	1	700	宝宝龙	5888.0
3009	3	1	2888	1088	CustomShopGoods_Name_3009	set:bedwar_item.json image:g1008_icon_pet_9	3009	0	1	300	宝石游侠	2888.0
3010	3	1	1588	588	CustomShopGoods_Name_3010	set:bedwar_item.json image:g1008_icon_pet_10	3010	0	1	800	魔法猫咪	1588.0
3011	3	1	988	288	CustomShopGoods_Name_3011	set:bedwar_item.json image:g1008_icon_pet_11	3011	0	1	500	柯基	988.0
3012	3	1	2988	#	CustomShopGoods_Name_3012	set:bedwar_item.json image:g1008_icon_pet_12	3012	0	4	100	皇牌飞行猪	2988.0
3013	3	1	1588	588	CustomShopGoods_Name_3013	set:bedwar_item.json image:g1008_icon_pet_13	3013	0	1	1200	恐龙猫	1588.0
3014	3	1	588	128	CustomShopGoods_Name_3014	set:bedwar_item.json image:g1008_icon_pet_14	3014	0	1	100	炸弹人	588.0
3015	3	1	988	288	CustomShopGoods_Name_3015	set:bedwar_item.json image:g1008_icon_pet_15	3015	0	1	1300	拳击手	988.0
3016	3	1	2988	#	CustomShopGoods_Name_3016	set:bedwar_item.json image:g1008_icon_pet_16	3016	0	1	120	床霸	2988.0
3017	3	1	2988	#	CustomShopGoods_Name_3017	set:bedwar_license_reward.json image:g1008_icon_pet_17	3017	0	4	110	小恶魔	2988.0
5001	5	6	388	#	CustomShopGoods_Name_5001	set:bedwar_taunt.json image:g1008_boy_taunt_01	5001	0	2	1000	拥抱钱雨	388.0
5002	5	6	588	#	CustomShopGoods_Name_5002	set:bedwar_taunt.json image:g1008_boy_taunt_02	5002	0	3	1100	墨镜大金链子	588.0
5003	5	6	188	#	CustomShopGoods_Name_5003	set:bedwar_taunt.json image:g1008_boy_taunt_03	5003	0	1	300	闪耀登场	188.0
5004	5	6	188	#	CustomShopGoods_Name_5004	set:bedwar_taunt.json image:g1008_boy_taunt_04	5004	0	1	900	秀肌肉	188.0
5005	5	6	358	#	CustomShopGoods_Name_5005	set:bedwar_taunt.json image:g1008_boy_taunt_05	5005	0	1	200	托马斯回旋	358.0
5006	5	6	188	#	CustomShopGoods_Name_5006	set:bedwar_taunt.json image:g1008_boy_taunt_06	5006	0	1	500	棒球手	188.0
5007	5	6	188	#	CustomShopGoods_Name_5007	set:bedwar_taunt.json image:g1008_boy_taunt_07	5007	0	1	600	抹杀	188.0
5008	5	6	588	#	CustomShopGoods_Name_5008	set:bedwar_taunt.json image:g1008_boy_taunt_08	5008	0	1	100	摇起来	588.0
5009	5	6	68	#	CustomShopGoods_Name_5009	set:bedwar_taunt.json image:g1008_boy_taunt_09	5009	0	1	400	热身运动	68.0
