index	mapId	公共资源点Id	资源点ID	actor头顶信息	资源点模型	资源点body	资源点body索引	actor位置	Unnamed: 9	备注	放setting
index	mapId	id	resourcePointId	headInfo	actor	actorBody	actorBodyId	actorPos			
1	1	1	1	dmm_actor_gift	g1008_diamond.actor	body	1	459.5,51,11.5		钻石1	沙漠
2	1	2	1	dmm_actor_gift	g1008_diamond.actor	body	1	505.5,51,59.5		钻石2	沙漠
3	1	3	1	dmm_actor_gift	g1008_diamond.actor	body	1	457.5,51,105.5		钻石3	沙漠
4	1	4	1	dmm_actor_gift	g1008_diamond.actor	body	1	411.5,51,57.5		钻石4	沙漠
5	1	5	2	dmm_actor_desk	g1008_diamond.actor	body	2	447.5,51,58.5		绿宝石1	沙漠
6	1	6	2	dmm_actor_desk	g1008_diamond.actor	body	2	469.5,51,58.5		绿宝石2	沙漠
7	2	1	1	dmm_actor_gift	g1008_diamond.actor	body	1	914.5,51,114.5		钻石1	现代
8	2	2	1	dmm_actor_gift	g1008_diamond.actor	body	1	856.5,51,114.5		钻石2	现代
9	2	3	1	dmm_actor_gift	g1008_diamond.actor	body	1	856.5,51,56.5		钻石3	现代
10	2	4	1	dmm_actor_gift	g1008_diamond.actor	body	1	914.5,51,56.5		钻石4	现代
11	2	5	2	dmm_actor_desk	g1008_diamond.actor	body	2	886.5,55,85.5		绿宝石1	现代
12	2	6	2	dmm_actor_desk	g1008_diamond.actor	body	2	886.5,49,85.5		绿宝石2	现代
13	3	1	1	dmm_actor_gift	g1008_diamond.actor	body	1	1260.5,50.5,123.5		钻石1	小屋
14	3	2	1	dmm_actor_gift	g1008_diamond.actor	body	1	1260.5,50.5,51.5		钻石2	小屋
15	3	3	1	dmm_actor_gift	g1008_diamond.actor	body	1	1332.5,50.5,51.5		钻石3	小屋
16	3	4	1	dmm_actor_gift	g1008_diamond.actor	body	1	1332.5,50.5,123.5		钻石4	小屋
17	3	5	2	dmm_actor_desk	g1008_diamond.actor	body	2	1303.5,46.5,94.5		绿宝石1	小屋
18	3	6	2	dmm_actor_desk	g1008_diamond.actor	body	2	1287.5,43.5,80.5		绿宝石2	小屋
19	4	1	1	dmm_actor_gift	g1008_diamond.actor	body	1	1664.5,99,116.5		钻石1	中式
20	4	2	1	dmm_actor_gift	g1008_diamond.actor	body	1	1613.5,99,65.5		钻石2	中式
21	4	3	1	dmm_actor_gift	g1008_diamond.actor	body	1	1664.5,99,14.5		钻石3	中式
22	4	4	1	dmm_actor_gift	g1008_diamond.actor	body	1	1715.5,99,65.5		钻石4	中式
23	4	5	2	dmm_actor_desk	g1008_diamond.actor	body	2	1670.5,100,61.5		绿宝石1	中式
24	4	6	2	dmm_actor_desk	g1008_diamond.actor	body	2	1663.5,104,62.5		绿宝石2	中式
25	5	1	1	dmm_actor_gift	g1008_diamond.actor	body	1	2175.5,81,176.5		钻石1	海盗
26	5	2	1	dmm_actor_gift	g1008_diamond.actor	body	1	2275.5,81,174.5		钻石2	海盗
27	5	3	1	dmm_actor_gift	g1008_diamond.actor	body	1	2273.5,81,74.5		钻石3	海盗
28	5	4	1	dmm_actor_gift	g1008_diamond.actor	body	1	2173.5,81,76.5		钻石4	海盗
29	5	5	2	dmm_actor_desk	g1008_diamond.actor	body	2	2215.5,84,134.5		绿宝石1	海盗
30	5	6	2	dmm_actor_desk	g1008_diamond.actor	body	2	2230.5,82,119.5		绿宝石2	海盗
31	6	1	1	dmm_actor_gift	g1008_diamond.actor	body	1	2935.5,76,49.5		钻石1	太极
32	6	2	1	dmm_actor_gift	g1008_diamond.actor	body	1	2850.5,76,50.5		钻石2	太极
33	6	3	1	dmm_actor_gift	g1008_diamond.actor	body	1	2851.5,76,135.5		钻石3	太极
34	6	4	1	dmm_actor_gift	g1008_diamond.actor	body	1	2936.5,76,134.5		钻石4	太极
35	6	5	2	dmm_actor_desk	g1008_diamond.actor	body	2	2898.5,76,87.5		绿宝石1	太极
36	6	6	2	dmm_actor_desk	g1008_diamond.actor	body	2	2888.5,76,97.5		绿宝石2	太极
37	7	1	1	dmm_actor_gift	g1008_diamond.actor	body	1	519.5,61,526.5		钻石1	圣殿
38	7	2	1	dmm_actor_gift	g1008_diamond.actor	body	1	437.5,61,526.5		钻石2	圣殿
39	7	3	1	dmm_actor_gift	g1008_diamond.actor	body	1	437.5,61,444.5		钻石3	圣殿
40	7	4	1	dmm_actor_gift	g1008_diamond.actor	body	1	519.5,61,444.5		钻石4	圣殿
41	7	5	2	dmm_actor_desk	g1008_diamond.actor	body	2	497.5,57,466.5		绿宝石1	圣殿
42	7	6	2	dmm_actor_desk	g1008_diamond.actor	body	2	459.5,57,466.5		绿宝石2	圣殿
