商品ID	标签ID	道具类型	道具ItemId	道具等级	等级组标识	是否跳级购买	限购数量	获得数量	数量多语言	货币Id	商品价格	道具名称	道具描述	道具图片	附魔ID	道具类型说明	备注.1	备注.2
Id	TabId	Type	ItemId	Level	LevelGroup	SkipLevel	LimitCount	Count	CountText	CurrencyId	Price	Name	Desc	Image	EnchantIds			
1	1	0	270	1	pickaxe	0	-1	1	#	1	10	CommodityMechant_name_1_1	CommodityMechant_desc_1_1	set:bedwar_item.json image:g1008_props_pickaxe_1	#	0：普通道具	工具	木镐
2	1	0	257	2	pickaxe	0	-1	1	#	1	15	CommodityMechant_name_1_2	CommodityMechant_desc_1_2	set:bedwar_item.json image:g1008_props_pickaxe_2	#	1：装备	工具	铁镐
3	1	0	285	3	pickaxe	0	-1	1	#	2	3	CommodityMechant_name_1_3	CommodityMechant_desc_1_3	set:bedwar_item.json image:g1008_props_pickaxe_3	#	2：功能升级	工具	金镐
4	1	0	278	4	pickaxe	0	-1	1	#	2	6	CommodityMechant_name_1_4	CommodityMechant_desc_1_4	set:bedwar_item.json image:g1008_props_pickaxe_4	#	3：特权	工具	钻石镐
5	1	0	278	5	pickaxe	0	-1	1	#	2	-1	CommodityMechant_name_1_4	CommodityMechant_desc_1_4	set:bedwar_item.json image:g1008_props_pickaxe_4	#	4：钥匙	工具	钻石镐(MAX)
6	1	0	271	1	axe	0	-1	1	#	1	10	CommodityMechant_name_1_5	CommodityMechant_desc_1_5	set:bedwar_item.json image:g1008_props_ax_1	#		工具	木斧
7	1	0	258	2	axe	0	-1	1	#	1	15	CommodityMechant_name_1_6	CommodityMechant_desc_1_6	set:bedwar_item.json image:g1008_props_ax_2	#		工具	铁斧
8	1	0	286	3	axe	0	-1	1	#	2	3	CommodityMechant_name_1_7	CommodityMechant_desc_1_7	set:bedwar_item.json image:g1008_props_ax_3	#		工具	金斧
9	1	0	279	4	axe	0	-1	1	#	2	6	CommodityMechant_name_1_8	CommodityMechant_desc_1_8	set:bedwar_item.json image:g1008_props_ax_4	#		工具	钻石斧
10	1	0	279	5	axe	0	-1	1	#	2	-1	CommodityMechant_name_1_8	CommodityMechant_desc_1_8	set:bedwar_item.json image:g1008_props_ax_4	#		工具	钻石斧(MAX)
