Id	Type	PosStart	PosEnd	Remark	Unnamed: 5	Unnamed: 6	Unnamed: 7	Unnamed: 8	Unnamed: 9	Unnamed: 10	Unnamed: 11	Unnamed: 12	Unnamed: 13	Unnamed: 14
条件Id	类型	起点坐标	终点坐标	参数						类型	说明	起点坐标	终点坐标	参数
Id	Type	PosStart	PosEnd	Remark										
1101	3	#	#	#		进入游戏触发				1	玩家到达指定区域	区域起点（x#y#z）	区域终点（x#y#z）	#
2101	2	0.2297#0	#	72		点击签到入口	294	0	72	2	玩家点击屏幕指定位置(不能作为触发条件)	所需点击区域起点的相对位置：|x0/X|#|y0/Y|	#	区域大小(现在只支持正方形)L
1102	4	#	#	101		完成上级引导						主界面左上角为原点，其坐标记为（0,0），主界面的尺寸为X和Y，所需的点击区域的原点在区域（圆形为其外接正方形的左上角，这个具体要看美术给的图）的左上角，其坐标为(x0,y0)，矩形区域(现在只支持正方形)的长宽为L		
2102	2	0.1891#0.2972	#	226		领取签到	242	214	226	3	进入游戏	#	#	#
1103	4	#	#	102		完成上级引导				4	完成某引导	#	#	《GuideSetting》中的“引导ID”
2103	2	0.7523#0.0958	#	97		关闭界面	963	69	97	5	监听UI触发	#	#	UI文件名（打开UI编辑器”blockmango-client\res\client\tools\UIEditor.exe”,找到对应的UI文件名，在blockmango-client\res\client\Media\GUI\UI中）
1201	4	#	#	103		完成上级引导								
2201	2	0.2914#0.7903	#	150		点击宝箱入口	373	569	150					
1202	4	#	#	201		完成上级引导					BedWarDailySignIn.json			
2202	2	0.2813#0.6361	#	230		开启宝箱	536	472	203		BedWarTiroSignIn.json			
1203	4	#	#	202		完成上级引导								
2203	2	0.8648#0.0694	#	97		关闭宝箱界面	1107	50	97					
1301	4	#	#	203		完成上级引导								
2301	2	0.0672#0.7903	#	150		点击装扮背包按钮	86	569	150					
1302	4	#	#	301		完成上级引导								
2302	2	0.1438#0.1389	#	232		点击木剑	184	100	232					
1303	4	#	#	302		完成上级引导								
2303	2	0.4414#0.6986	#	144		装备	565	503	144					
1304	4	#	#	303		完成上级引导								
2304	2	0.8711#0.0736	#	97		关闭背包UI1	1115	53	97					
1305	4	#	#	304		完成上级引导								
2305	2	0.8711#0.0736	#	97		关闭背包UI2	1115	53	97					
1401	4	#	#	305		完成上级引导								
2401	2	0.1422#0.7903	#	150		点击符文背包按钮	182	569	150					
1402	4	#	#	401		完成上级引导								
2402	2	0.3047#0.2611	#	130		点击符文槽	390	188	130					
1403	4	#	#	402		完成上级引导								
2403	2	0.6625#0.0986	#	223		装备符文	848	71	223					
1404	4	#	#	403		完成上级引导								
2404	2	0.6016#0.4694	#	118		点击切换符文页	770	338	118					
1405	4	#	#	404		完成上级引导								
2405	2	0.5039#0.7722	#	148		点击一键装配	645	556	148					
1406	4	#	#	405		完成上级引导								
2406	2	0.8688#0.0653	#	97		关闭符文背包	1112	47	97					
1501	4	#	#	406		完成上级引导								
2501	2	0.2813#0	#	72		点击活动UI	360	0	72					
1502	4	#	#	501		完成上级引导								
2502	2	0.0664#0.2458	#	156		点击新手签到分页	85	177	156					
1503	4	#	#	502		完成上级引导								
2503	2	0.2578#0.2639	#	207		领取签到奖励	330	190	207					
1504	4	#	#	503		完成上级引导								
2504	2	0.8984#0.0681	#	97		关闭活动界面	1150	49	97					
1601	4	#	#	504		完成上级引导								
2601	2	0.7039#0.2361	#	400		开始游戏	901	170	379					
1701	3	#	#	#		进入游戏触发								
2701	2	0.0039#0.1875	#	129		点击号角入口	5	135	129					
1702	4	#	#	701		完成上级引导								
2702	2	0.7141#0.8417	#	114		点击一键领取	914	606	114					
19101	3	#	#	#		进入游戏触发								
29101	2	0.05#0.08611	#	70		点击签到入口	1	172	136			64	62	70
19102	4	#	#	9101		完成上级引导								
29102	2	0.1891#0.2972	#	226		领取签到	242	214	226					
19201	4	#	#	9102		完成上级引导								
29201	1	103.5#94#848.5	107.5#96#852.5	#		去找装扮NPC	103.5#94#848.5	107.5#94#852.5	#		105.5#94#850.5			
19202	4	#	#	9201		完成上级引导			DressStore.json					
29202	2	0.1438#0.1389	#	232		点击木剑	184	100	232					
19203	4	#	#	9202		完成上级引导								
29203	2	0.4414#0.6986	#	144		装备	565	503	144					
19204	4	#	#	9203		完成上级引导								
29204	2	0.8711#0.0736	#	97		关闭背包UI1	1115	53	97					
19205	4	#	#	9204		完成上级引导								
29205	2	0.8711#0.0736	#	97		关闭背包UI2	1115	53	97					
19301	4	#	#	9205		完成上级引导								
29301	1	107.5#94#851.5	111.5#96#855.5	#		去找宝箱NPC	107.5#94#851.5	107.5#94#851.5	#		42.5#15#46.5			
19302	5	#	#	BoxLottery.json		监听宝箱UI触发			BoxLottery.json					
29302	2	0.2813#0.6361	#	230		开启宝箱	360	458	230					
19303	4	#	#	9302		完成上级引导								
29303	2	0.8648#0.0694	#	97		关闭宝箱界面	1107	50	97					
19401	4	#	#	9303		完成上级引导								
29401	1	87.5#94#848.5	91.5#96#852.5	#		去找符文NPC	87.5#94#848.5	87.5#94#848.5	#		30.5#15#37.5			
19402	5	#	#	BedWarRune.json		监听符文UI触发			BedWarRune.json					
29402	2	0.3047#0.2611	#	130		点击符文槽	390	188	130					
19403	4	#	#	9402		完成上级引导								
29403	2	0.6625#0.0986	#	223		装备符文	848	71	223					
19404	4	#	#	9403		完成上级引导								
29404	2	0.6016#0.4694	#	118		点击切换符文页	770	338	118					
19405	4	#	#	9404		完成上级引导								
29405	2	0.5039#0.7722	#	148		点击一键装配	645	556	148					
19406	4	#	#	9405		完成上级引导								
29406	2	0.8688#0.0653	#	97		关闭符文背包	1112	47	97					
19501	4	#	#	9406		完成上级引导								
29501	2	0.096875#0.086111	#	70		点击活动UI	1	292	136			124	62	
19502	4	#	#	9501		完成上级引导								
29502	2	0.0664#0.2458	#	156		点击新手签到分页	85	177	156					
19503	4	#	#	9502		完成上级引导								
29503	2	0.2578#0.2639	#	207		领取签到奖励	330	190	207					
19601	4	#	#	9503		完成上级引导								
29601	1	95.5#94#845.5	99.5#96#849.5	#		去找开始游戏NPC	95.5#94#845.5	95.5#94#845.5	#		37.5#16#32.5			
19701	1	60.5#92#800.5	90.5#99#900.5	#		到达大厅触发								
29701	1	83.5#94#851.5	87.5#96#855.5	#		去找排行榜NPC	83.5#94#851.5	83.5#94#851.5	#		31.5#15#46.5			
19702	5	#	#	BedWarSeasonRank.json		监听排行榜UI触发			BedWarSeasonRank.json					
29702	2	0.0867#0.2042	#	136		点击排位规则介绍	111	147	136					
