商品ID	动作Id	预览挂点名	预览Mash	预览动作	Unnamed: 5	Unnamed: 6	Unnamed: 7	Unnamed: 8	Unnamed: 9
Id	ActionId	PartName	MeshName	Action					
5001	1	gun	g1008_sword_104.mesh	taunt_01		拥抱钱雨			个性动作表
5002	2	gun	g1008_sword_104.mesh	taunt_02		墨镜大金链子	第一赛季秘宝挑战		需联表生效动作替换
5003	3	gun	g1008_sword_104.mesh	taunt_03		闪耀登场	第三赛季通行证兑换		ActionEmoji
5004	4	gun	g1008_sword_104.mesh	taunt_04		秀肌肉	第一赛季通行证免费		
5005	5	gun	g1008_sword_104.mesh	taunt_05		托马斯回旋			
5006	6	gun	g1008_sword_104.mesh	taunt_06		棒球手	第一赛季通行证兑换		
5007	7	gun	g1008_sword_104.mesh	taunt_07		抹杀	第二赛季通行证免费		
5008	8	gun	g1008_sword_104.mesh	taunt_08		摇起来			
5009	9	gun	g1008_sword_104.mesh	taunt_09		热身运动			
5010	10	gun	g1008_sword_104.mesh	taunt_10		得意洋洋			
5011	11	gun	g1008_sword_104.mesh	taunt_11		你过来啊	第二赛季通行证兑换		
5012	12	gun	g1008_sword_104.mesh	taunt_12		倒立			
5013	13	gun	g1008_sword_104.mesh	taunt_13		蹬腿舞	第三赛季通行证付费		
