Id	IsCompel	ResetId	SkipId	TriggerId	EventId	CompleteId	Lv	IndieType	Unnamed: 9	Unnamed: 10	Unnamed: 11
引导ID	是否强制	中断引导（如果在该引导处中断，之前会回到什么引导处，填引导ID）	跳过引导（不跳过：-1；跳过不指定：0；跳过指定：引导id）	触发条件	事件	完成条件	等级（默认0)	游戏类型（0：通用；1：分包；2：像素）			
Id	IsCompel	ResetId	SkipId	TriggerId	EventId	CompleteId	Lv	IndieType			
101	1	101	-1	1101	101	2101	1	1		点击签到入口	领取连续签到
102	1	101	-1	1102	102	2102	1	1		领取签到	
103	1	101	-1	1103	103	2103	1	1		关闭界面	
201	1	201	-1	1201	201	2201	1	1		点击宝箱入口	打开宝箱，抽奖1次
202	1	201	-1	1202	202	2202	1	1		开启宝箱	
203	1	201	-1	1203	203	2203	1	1		关闭宝箱界面	
301	1	301	-1	1301	301	2301	1	1		点击装扮背包按钮	打开装扮背包，装备木剑装扮
302	1	301	-1	1302	302	2302	1	1		点击木剑	
303	1	301	-1	1303	303	2303	1	1		装备	
304	1	301	-1	1304	304	2304	1	1		关闭装扮背包1	
305	1	301	-1	1305	305	2305	1	1		关闭装扮背包2	
401	1	401	-1	1401	401	2401	1	1		点击符文背包按钮	打开符文页面，装配1个符文
402	1	401	-1	1402	402	2402	1	1		点击符文槽	
403	1	401	-1	1403	403	2403	1	1		点击符文	
404	1	401	-1	1404	404	2404	1	1		点击切换符文页	
405	1	401	-1	1405	405	2405	1	1		点击一键装配	
406	1	401	-1	1406	406	2406	1	1		关闭符文背包	
501	1	501	-1	1501	501	2501	1	1		点击活动UI	打开活动，领取新手签到
502	1	501	-1	1502	502	2502	1	1		点击新手签到分页	
503	1	501	-1	1503	503	2503	1	1		领取签到奖励	
504	1	501	-1	1504	504	2504	1	1		关闭活动界面	
601	1	601	-1	1601	601	2601	1	1		开始游戏	开始游戏
701	1	701	-1	1701	701	2701	2	1		点击号角入口	2级查看号角
702	1	701	-1	1702	702	2702	2	1		点击一键领取	
9101	1	9101	-1	19101	9101	29101	1	2		点击签到入口	领取连续签到
9102	1	9101	-1	19102	9102	29102	1	2		领取签到	
9201	1	9201	-1	19201	9201	29201	1	2		点击装扮背包按钮	打开装扮背包，装备木剑装扮
9202	1	9201	-1	19202	9202	29202	1	2		点击木剑	
9203	1	9201	-1	19203	9203	29203	1	2		装备	
9204	1	9201	-1	19204	9204	29204	1	2		关闭装扮背包1	
9205	1	9201	-1	19205	9205	29205	1	2		关闭装扮背包2	
9301	1	9301	-1	19301	9301	29301	1	2		点击宝箱入口	打开宝箱，抽奖1次
9302	1	9301	-1	19302	9302	29302	1	2		开启宝箱	
9303	1	9301	-1	19303	9303	29303	1	2		关闭宝箱界面	
9401	1	9401	-1	19401	9401	29401	1	2		点击符文背包按钮	打开符文页面，装配1个符文
9402	1	9401	-1	19402	9402	29402	1	2		点击符文槽	
9403	1	9401	-1	19403	9403	29403	1	2		点击符文	
9404	1	9401	-1	19404	9404	29404	1	2		点击切换符文页	
9405	1	9401	-1	19405	9405	29405	1	2		点击一键装配	
9406	1	9401	-1	19406	9406	29406	1	2		关闭符文背包	
9501	1	9501	-1	19501	9501	29501	1	2		点击活动UI	打开活动，领取新手签到
9502	1	9501	-1	19502	9502	29502	1	2		点击新手签到分页	
9503	1	9501	-1	19503	9503	29503	1	2		领取签到奖励	
9601	1	9601	-1	19601	9601	29601	1	2		去找开始游戏NPC	开始游戏
9701	1	9701	-1	19701	9701	29701	2	2		点击排行榜UI	2级查看排行榜
9702	1	9701	-1	19702	9702	29702	2	2		点击查看排位规则	
