Index	GameType	Rank	RewardEXP	Unnamed: 4	Unnamed: 5	Unnamed: 6	Unnamed: 7
序号	游戏模式（1单人，2双人，4四人）	排名	经验值				
Index	GameType	Rank	RewardEXP				
1	1	1	100				
2	1	2	90				
3	1	3	80				
4	1	4	70				
5	1	5	60				
6	1	6	50				
7	1	7	40				
8	1	8	30				
9	2	1	180				游戏通行证经验
10	2	2	170				
11	2	3	160				
12	2	4	150				
13	2	5	140				
14	2	6	130				
15	2	7	120				
16	2	8	110				
17	2	9	100				
18	2	10	90				
19	2	11	80				
20	2	12	70				
21	2	13	60				
22	2	14	50				
23	2	15	40				
24	2	16	30				
25	4	1	180				
26	4	2	170				
27	4	3	160				
28	4	4	150				
29	4	5	140				
30	4	6	130				
31	4	7	120				
32	4	8	110				
33	4	9	100				
34	4	10	90				
35	4	11	80				
36	4	12	70				
37	4	13	60				
38	4	14	50				
39	4	15	40				
40	4	16	30				
