TipType	TipTemplateId	Notice	zh_CN	en_US	pt_BR	ru_RU	ko_KR	de_DE	fr_FR	es_ES	it_IT	in_ID	th_TH	tr_TR	vi_VN	ja_JP
枚举类型	模板说明	备注	中文	英文	葡萄牙语	俄语	韩语	德语	法语	西语	意大利语	印尼语	泰语	土耳其	越南语	日语
1046001	GameName	游戏名称	起床战争	Bed War	Bed War	Bed War	Bed War	Bed War	Bed War	Bed War	Bed War	Bed War	Bed War	Bed War	Bed War	Bed War
1046002	GameName	游戏名称	超过特权最大时间	Exceeding the maximum time of privilege	Exceeding the maximum time of privilege	Exceeding the maximum time of privilege	Exceeding the maximum time of privilege	Exceeding the maximum time of privilege	Exceeding the maximum time of privilege	Exceeding the maximum time of privilege	Exceeding the maximum time of privilege	Exceeding the maximum time of privilege	Exceeding the maximum time of privilege	Exceeding the maximum time of privilege	Exceeding the maximum time of privilege	Exceeding the maximum time of privilege
1046003	GameName	秘宝挑战结束提示	本轮秘宝挑战将在%1s天后结束	The challenge will end in %1s day	The challenge will end in %1s day	The challenge will end in %1s day	The challenge will end in %1s day	The challenge will end in %1s day	The challenge will end in %1s day	The challenge will end in %1s day	The challenge will end in %1s day	The challenge will end in %1s day	The challenge will end in %1s day	The challenge will end in %1s day	The challenge will end in %1s day	The challenge will end in %1s day
1046004	GameName	秘宝挑战结束提示	挑战将在%1s天后结束，最快完成需要%2s天。	The challenge will end in %1s day, with %2s days as soon as possible.	The challenge will end in %1s day, with %2s days as soon as possible.	The challenge will end in %1s day, with %2s days as soon as possible.	The challenge will end in %1s day, with %2s days as soon as possible.	The challenge will end in %1s day, with %2s days as soon as possible.	The challenge will end in %1s day, with %2s days as soon as possible.	The challenge will end in %1s day, with %2s days as soon as possible.	The challenge will end in %1s day, with %2s days as soon as possible.	The challenge will end in %1s day, with %2s days as soon as possible.	The challenge will end in %1s day, with %2s days as soon as possible.	The challenge will end in %1s day, with %2s days as soon as possible.	The challenge will end in %1s day, with %2s days as soon as possible.	The challenge will end in %1s day, with %2s days as soon as possible.
1046005	GameName	秘宝挑战日拆床任务	每天拆掉敌人%1s张床	Remove %1s enemy bed every day												
1046006	GameName	秘宝挑战日搭方块任务	每天在游戏内搭建%1s个方块	Build %1s block in the game every day												
1046007	GameName	秘宝挑战日伤害任务	每天对敌人造成%1s点伤害	Deal %1s point of damage to the enemy every day												
1046008	GameName	秘宝挑战日击败任务	每天在游戏内击败%1s个敌人	Defeat %1s enemy in the game every day												
1046009	GameName	秘宝挑战日收集钻石任务	每天在游戏内收集%1s个钻石	Collect %1s diamond in the game every day												
1046010	GameName	秘宝挑战日收集宝石任务	每天在游戏内收集%1s个绿宝石	Collect %1s emerald in the game every day												
1046011	GameName	秘宝挑战日对战任务	每天进行%1s局任意模式的对战	Play %1s game in any mode every day												
1046012	GameName	秘宝挑战日登录任务	每天登录%1s次游戏	Log in to the game once a day												
1046013	GameName	秘宝挑战日前10任务	每天获得%1s次前10名的战绩	Get %1s top 10 records every day												
1046014	GameName	秘宝挑战日宝箱任务	每天开启%1s个宝箱	Open %1s treasure chest every day												
1046015	GameName	秘宝挑战日钥匙任务	每天消耗%1s个钥匙	Spend %1s key per day												
1046016	GameName	秘宝挑战周拆床任务	每周拆掉敌人%1s张床	Remove %1s enemy bed every week												
1046017	GameName	秘宝挑战周搭方块任务	每周在游戏内搭建%1s个方块	Build %1s block in the game every week												
1046018	GameName	秘宝挑战周伤害任务	每周对敌人造成%1s点伤害	Deal %1s point of damage to the enemy every week												
1046019	GameName	秘宝挑战周击败任务	每周在游戏内击败%1s个敌人	Defeat %1s enemy in the game every week												
1046020	GameName	秘宝挑战周收集钻石任务	每周在游戏内收集%1s个钻石	Collect %1s diamond in the game every week												
1046021	GameName	秘宝挑战周收集宝石任务	每周在游戏内收集%1s个绿宝石	Collect %1s emerald in the game every week												
1046022	GameName	秘宝挑战周对战任务	每周进行%1s局任意模式的对战	Play %1s game in any mode every week												
1046023	GameName	秘宝挑战周登录任务	每周登录%1s次游戏	Log in to the game %1s times a week												
1046024	GameName	秘宝挑战周前10任务	每周获得%1s次前10名的战绩	Achieve %1s top 10 records every week												
1046025	GameName	秘宝挑战周宝箱任务	每周开启%1s个宝箱	Open %1s treasure chest every week												
1046026	GameName	秘宝挑战周钥匙任务	每周消耗个钥匙	Spend %1s keys per week												
1046051	GameName	秘宝放弃倒计时	%1s天%2s小时后才可以放弃挑战	You can give up the challenge after %1s days and %2s hours												
