Id	Type	Pos	Remark	Unnamed: 4	Unnamed: 5	Unnamed: 6	Unnamed: 7	Unnamed: 8	Unnamed: 9
事件Id	类型	坐标	控件特效				备注 	坐标	控件特效
Id	Type	Pos	Remark						
101	3	0.2297#0	halo.effect			1.0	弹出某UI	#	UI文件名（打开UI编辑器”blockmango-client\res\client\tools\UIEditor.exe”,找到对应的UI文件名，在blockmango-client\res\client\Media\GUI\UI中）
102	3	0.1891#0.2972	halo.effect			2.0	传送	传送到该坐标点x#y#z	#
103	3	0.7523#0.0958	halo.effect			3.0	屏幕特效	特效区域起点的相对位置：|x0/X|#|y0/Y|	特效文件名
201	3	0.2914#0.7903	halo.effect			4.0	连线	指向坐标点x#y#z	#
202	3	0.2813#0.6361	halo.effect			5.0	世界层特效	特效出现位置x#y#z	特效文件名
203	3	0.8648#0.0694	halo.effect						
301	3	0.0672#0.7903	halo.effect						
302	3	0.1438#0.1389	halo.effect						
303	3	0.4414#0.6986	halo.effect						
304	3	0.8711#0.0736	halo.effect						
305	3	0.8711#0.0736	halo.effect						
401	3	0.1422#0.7903	halo.effect						
402	3	0.3047#0.2611	halo.effect						
403	3	0.6625#0.0986	halo.effect						
404	3	0.6016#0.4694	halo.effect						
405	3	0.5039#0.7722	halo.effect						
406	3	0.8688#0.0653	halo.effect						
501	3	0.2813#0	halo.effect						
502	3	0.0664#0.2458	halo.effect						
503	3	0.2578#0.2639	halo.effect						
504	3	0.8984#0.0681	halo.effect						
601	3	0.7039#0.2361	halo.effect						
701	3	0.0039#0.1875	halo.effect						
702	3	0.7141#0.8417	halo.effect						
9101	3	0.0008#0.2389	halo.effect						
9102	3	0.1891#0.2972	halo.effect						
9103	3	0.7523#0.0958	halo.effect						
9201	4	105.5#94#850.5	#		去找装扮NPC				
9202	3	0.1438#0.1389	halo.effect						
9203	3	0.4414#0.6986	halo.effect						
9204	3	0.8711#0.0736	halo.effect						
9205	3	0.8711#0.0736	halo.effect						
9301	4	109.5#94#853.5	#		去找宝箱NPC				
9302	3	0.2813#0.6361	halo.effect						
9303	3	0.8648#0.0694	halo.effect						
9401	4	89.5#94#850.5	#		去找符文NPC				
9402	3	0.3047#0.2611	halo.effect						
9403	3	0.6625#0.0986	halo.effect						
9404	3	0.6016#0.4694	halo.effect						
9405	3	0.5039#0.7722	halo.effect						
9406	3	0.8688#0.0653	halo.effect						
9501	3	0.0008#0.4056	halo.effect						
9502	3	0.0664#0.2458	halo.effect						
9503	3	0.2578#0.2639	halo.effect						
9504	3	0.8984#0.0681	halo.effect						
9601	4	97.5#94#847.5	#		去找开始游戏NPC				
9701	4	85.5#94#853.5	#		去找排行榜NPC				
9702	3	0.0867#0.2042	halo.effect						
