Id	RewardId	Background	Title	Size
唯一Id	奖励Id	背景框	标题	格子数
Id	RewardId	Background	Title	Size
1	900001	set:bed_war_tiro_sign_in.json image:bg_item_nor	tiro.sign.in.title.1	1
2	900002	set:bed_war_tiro_sign_in.json image:bg_item_nor	tiro.sign.in.title.2	1
3	900003	set:bed_war_tiro_sign_in.json image:bg_item_nor	tiro.sign.in.title.3	1
4	900004	set:bed_war_tiro_sign_in.json image:bg_item_nor	tiro.sign.in.title.4	1
5	900005	set:bed_war_tiro_sign_in.json image:bg_item_nor	tiro.sign.in.title.5	1
6	900006	set:bed_war_tiro_sign_in.json image:bg_item_nor	tiro.sign.in.title.6	1
7	900007	set:bed_war_tiro_sign_in.json image:bg_item_7	tiro.sign.in.title.7	2
