id不知道干嘛用	岛屿等级	最小分数	最大分数	Unnamed: 4	辅助计算
id	level	min_exp	max_exp		
1	1	0	50		
2	2	50.1	110		
3	3	110.1	210		
4	4	210.1	410		
5	5	410.1	843		
6	6	843.1	1325		
7	7	1325.1	2156		
8	8	2156.1	2991		
9	9	2991.1	4066		
10	10	4066.1	4891		
11	11	4891.1	6269		
12	12	6269.1	7932		
13	13	7932.1	9602		
14	14	9602.1	11741		
15	15	11741.1	14865		
16	16	14865.1	18538		
17	17	18538.1	22758		
18	18	22758.1	26991		
19	19	26991.1	31787		
20	20	31787.1	37150		
21	21	37150.1	43265		
22	22	43265.1	50253		
23	23	50253.1	59562		
24	24	59562.1	70018		
25	25	70018.1	81658		
26	26	81658.1	94479		
27	27	94479.1	108616		
28	28	108616.1	124062		
29	29	124062.1	140615		
30	30	140615.1	158681		
31	31	158681.1	178137		
32	32	178137.1	203842		
33	33	203842.1	247307		
34	34	247307.1	308683		
35	35	308683.1	387639		
36	36	387639.1	485078		
37	37	485078.1	596032		
38	38	596032.1	731854		
39	39	731854.1	869622		
40	40	869622.1	1009343		
41	41	1009343.1	1150840		
42	42	1150840.1	1318584		
43	43	1318584.1	1465031		
44	44	1465031.1	1613150		
45	45	1613150.1	1762728		
46	46	1762728.1	1938940		
47	47	1938940.1	2091669		
48	48	2091669.1	2245309		
49	49	2245309.1	2425037		
50	50	2425037.1	2605414		
51	51	2605414.1	2760363		
52	52	2760363.1	2940745		
53	53	2940745.1	3121126		
54	54	3121126.1	3276075		
55	55	3276075.1	3456457		
56	56	3456457.1	3636839		
57	57	3636839.1	3791787		
58	58	3791787.1	3972169		
59	59	3972169.1	4152551		
60	60	4152551.1	4307499		
61	61	4307499.1	4487881		
62	62	4487881.1	4668263		
63	63	4668263.1	4823211		
64	64	4823211.1	5003593		
65	65	5003593.1	5183975		
66	66	5183975.1	5338923		
67	67	5338923.1	5519305		
68	68	5519305.1	5699687		
69	69	5699687.1	5854635		
70	70	5854635.1	6035017		
71	71	6035017.1	6215399		
72	72	6215399.1	6370347		
73	73	6370347.1	6550729		
74	74	6550729.1	6731111		
75	75	6731111.1	6886060		
76	76	6886060.1	7066441		
77	77	7066441.1	7246823		
78	78	7246823.1	7401772		
79	79	7401772.1	7582154		
80	80	7582154.1	7762535		
81	81	7762535.1	7917484		
82	82	7917484.1	8097866		
83	83	8097866.1	8278248		
84	84	8278248.1	8433196		
85	85	8433196.1	8613578		
86	86	8613578.1	8793960		
87	87	8793960.1	8948908		
88	88	8948908.1	9129290		
89	89	9129290.1	9309672		
90	90	9309672.1	9464620		
91	91	9464620.1	9645002		
92	92	9645002.1	9825384		
93	93	9825384.1	9980332		
94	94	9980332.1	10160714		
95	95	10160714.1	10341096		
