seq	chestId	chestGroupId	times	normalImage	canOpenImage	openImage	timesImage	rewardGroupId
序列	箱子id	箱子组id	抽奖次数	箱子默认图片	箱子可开启图片	箱子打开图片	次数背景图	奖励组id
seq	chestId	chestGroupId	times	normalImage	canOpenImage	openImage	timesImage	rewardGroupId
1	1	1	1	set:common_activity.json image:img_0_chest_blue_normal	set:common_activity.json image:img_0_chest_blue_normal	set:common_activity.json image:img_0_chest_blue_open	set:common_activity.json image:img_9_timesboard2	101
2	2	1	3	set:common_activity.json image:img_0_chest_blue_normal	set:common_activity.json image:img_0_chest_blue_normal	set:common_activity.json image:img_0_chest_blue_open	set:common_activity.json image:img_9_timesboard2	102
3	3	1	5	set:common_activity.json image:img_0_chest_blue_normal	set:common_activity.json image:img_0_chest_blue_normal	set:common_activity.json image:img_0_chest_blue_open	set:common_activity.json image:img_9_timesboard2	103
4	4	1	7	set:common_activity.json image:img_0_chest_blue_normal	set:common_activity.json image:img_0_chest_blue_normal	set:common_activity.json image:img_0_chest_blue_open	set:common_activity.json image:img_9_timesboard2	104
5	5	2	1	set:common_activity.json image:img_0_chest_purple_normal	set:common_activity.json image:img_0_chest_purple_normal	set:common_activity.json image:img_0_chest_purple_open	set:common_activity.json image:img_9_timesboard	101
6	6	2	10	set:common_activity.json image:img_0_chest_purple_normal	set:common_activity.json image:img_0_chest_purple_normal	set:common_activity.json image:img_0_chest_purple_open	set:common_activity.json image:img_9_timesboard	102
7	7	2	20	set:common_activity.json image:img_0_chest_purple_normal	set:common_activity.json image:img_0_chest_purple_normal	set:common_activity.json image:img_0_chest_purple_open	set:common_activity.json image:img_9_timesboard	103
8	8	2	30	set:common_activity.json image:img_0_chest_purple_normal	set:common_activity.json image:img_0_chest_purple_normal	set:common_activity.json image:img_0_chest_purple_open	set:common_activity.json image:img_9_timesboard	104
