Id	Day	Title	Side	Background	Image	RewardType	RewardId	Meta	Num	Unnamed: 10	RewardName	Desc
id	天数	标题	框大小	背景图片	奖品图片	奖品类型(1物品，2钱)	奖品id(1000+方块要加1k)	奖品Meta	奖品数量	备注	奖品名字	奖品描述
Id	Day	Title	Side	Background	Image	RewardType	RewardId	Meta	Num		RewardName	Desc
1	1	skyB_titleDay1	1	set:skyblock_sign_in.json image:yellow_bg	#	1	2803	0	1	普通礼盒	item.box1.name	Item_Desc280300
2	2	skyB_titleDay2	1	set:skyblock_sign_in.json image:purple_bg	#	1	2802	0	1	精美礼盒	item.box2.name	Item_Desc280200
3	3	skyB_titleDay3	1	set:skyblock_sign_in.json image:purple_bg	#	1	2441	0	20	白色主题方块	Item_Name144100.name	Item_Desc144100
4	4	skyB_titleDay4	1	set:skyblock_sign_in.json image:purple_bg	#	1	2441	1	20	橙色主题方块	Item_Name144101.name	Item_Desc144101
5	5	skyB_titleDay5	1	set:skyblock_sign_in.json image:purple_bg	#	1	2441	2	20	品红色主题方块	Item_Name144102.name	Item_Desc144102
6	6	skyB_titleDay6	1	set:skyblock_sign_in.json image:purple_bg	#	1	2441	3	20	浅蓝色主题方块	Item_Name144103.name	Item_Desc144103
7	7	skyB_titleDay7	2	set:skyblock_sign_in.json image:purple_bg	#	1	2801	0	1	圣诞树	Item_Name280100	Item_Desc280100
