UniqueId	ItemId	Attack	Defence	Hp	Unnamed: 5
唯一Id	物品id	攻击力	防御力	血量	备注
UniqueId	ItemId	Attack	Defence	Hp	
1	268	3	0	0	木剑
2	272	4	0	0	石剑
3	267	5	0	0	铁剑
4	283	6	0	0	金剑
5	276	7	0	0	钻石剑
6	298	0	1	0	皮革头盔
7	306	0	2	0	铁头盔
8	314	0	3	0	金头盔
9	310	0	4	0	钻石头盔
10	299	0	3	0	皮革胸甲
11	307	0	4	0	铁胸甲
12	315	0	5	0	金胸甲
13	311	0	7	0	钻石胸甲
14	301	0	1	0	皮革靴子
15	309	0	2	0	铁靴子
16	317	0	3	0	金靴子
17	313	0	4	0	钻石靴子
18	300	0	2	0	皮革护腿
19	308	0	3	0	铁护腿
20	316	0	4	0	金护腿
21	312	0	5	0	钻石护腿
22	2246	8	0	0	紫晶剑
23	2075	0	4	2	紫晶鞋
24	2074	0	5	2	紫晶护腿
25	2072	0	4	2	紫晶头盔
26	2073	0	7	2	紫晶甲
27	3568	9	0	0	扎克的剔骨刀
28	3556	0	4	2	盾卫头盔
29	3557	0	5	2	盾卫甲
30	3558	0	4	2	盾卫护腿
31	3559	0	7	2	盾卫鞋
32	3570	12	0	0	帝国的泯灭
33	3560	0	4	5	君王头盔
34	3561	0	5	5	君王甲
35	3562	0	4	5	君王护腿
36	3563	0	7	5	君王鞋
37	3569	16	0	0	诛神黄昏
38	3564	0	4	8	诛神头盔
39	3565	0	5	8	诛神甲
40	3566	0	4	8	诛神护腿
41	3567	0	7	8	诛神鞋
42	3571	3	1	0	圣诞树武器
43	3572	0	1	0	圣诞头饰
44	3573	0	1	0	圣诞上衣
45	3574	0	1	0	圣诞长裤
46	3575	0	1	0	圣诞靴子
47	2831	18	0	0	苍鬼·雷电
48	2832	18	0	0	苍鬼
