Type	Switch	Name	GroupId	StartIn	EndIn	StartOut	EndOut	Mode	RotateAngle	AxisX	AxisY	AxisZ	isTwinkle	twinkleBrightMax	twinkleDarkMax	twinkleAlphaMin
类型	开关	资源名称	天空分组Id	淡入开始时间点	淡入结束时间点	淡出开始时间点	淡出结束时间点	混合模式	旋转角度	旋转X轴	旋转Y轴	旋转Z轴	是否闪烁	闪烁明亮时间(1.0~100.0)	闪烁黑暗时间(1.0~100.0)	闪烁幅度(0.0~1.0)
Sky	2	cloud2	1	20	20.5	21	21.5	1	-0.005	0	1	0	0	1	1	1
Sky	2	sky2	2	20.5	21	6	8	1	-0.006	1	1	0	0	1	1	1
Sky	2	cloud1	3	6	8	20	20.5	2	-0.008	0	1	0	0	1	1	1
Sky	2	starfield01	4	21	21.5	6	8	1	0.003	0	1	0	0	1	1	1
Sky	2	starfield02	5	21	21.5	6	7	1	-0.007	0	1	0	0	1	1	1
Sky	2	starfield03	6	20	21.5	20	21.5	1	0.009	0	1	0	0	1	1	1
Sky	2	starfield04	7	20	21	6	6.5	1	-0.01	0	1	0	0	1	1	1
Sky	2	starfield05	8	20	21	6	6.5	1	0.002	0	1	0	0	1	1	1
Sky	2	cloud3	9	6	8	20	21	2	-0.004	0	1	0	0	1	1	1
Sun	1	sun_1.png														
Moon	1	moon_phases_1.png														
Meteor	0	meteor.png		21.5		6										
Star	1	star.png	2000	20.5	21.5	5.5	6									
Cloud	2	cloud_2D.png														
