唯一ID	特权	Unnamed: 2	Unnamed: 3	Unnamed: 4
Id	Privilege			
3001	111#112#113	111.0	112#113	
3002	121#122	121.0	122	
3003	131#132	131.0	132	
3011	211#212#213	211.0	212#213	
3012	221#222	221.0	222	
3013	231#232	231.0	232	
3014	242#243	242.0	243	
3050	501			
3015	261#262#263#264#265	261.0	262#263#264#265	
3016	251#252#253#254#255	251.0	252#253#254#255	
3101	131#113	131.0	113	
3102	112#132#232#242#111	112.0	132#232#242#111	
3103	217#214#215	217.0	214#215	
3111	122#121#243	122.0	121#243	
3112	213			
3113	261#262#263#264	261.0	262#263#264	
3114	216#265	216.0	265	
3150	502			
3201	131			解锁飞行
3202	112			扩大岛屿花费减半
3203	132			方块打5折
3204	232			矿机升级半价
3205	242			矿机产量加倍
3206	111			魔方方块转金币购买
3207	122			解锁流星
3208	121			解锁星空方块
