Serial	ItemId	ItemMeta	DropDown	DropUp	DropProbability	Unnamed: 6	Unnamed: 7	Unnamed: 8
序列号(唯一ID)	物品Id(游戏币ID:10000 )	物品Meta	掉落数量下限	掉落数量上限	掉落概率(0-100)	名字同个物品配多个，必须meta，或数量至少一样不同	定价	掉落期望
Serial	ItemId	ItemMeta	DropDown	DropUp	DropProbability			
1	10000	0	200	0	100	游戏币	1	200
2	265	0	1	3	100	铁锭	80	160
3	266	0	1	3	30	金锭	480	288
4	41	0	1	1	10	金块	4320	432
5	264	0	1	3	30	钻石	1000	600
6	388	0	1	3	30	绿宝石	1400	840
7	57	0	1	3	100	钻石块	9000	18000
8	133	0	1	3	100	绿宝石块	12600	25200
9	44	0	1	3	80	石板	2	3.2
10	44	3	1	3	80	圆石板	2	3.2
11	1	0	1	3	80	石头	4	6.4
12	4	0	1	3	80	圆石	4	6.4
13	43	0	1	3	80	双层石板	4	6.4
14	43	3	1	3	80	双层圆石板	4	6.4
15	139	0	1	3	80	圆石墙	4	6.4
16	67	0	1	3	80	圆石楼梯	6	9.600000000000001
17	44	5	1	3	80	石砖板	8	12.8
18	43	5	1	3	80	双层石砖板	16	25.6
19	98	0	1	3	80	石砖	16	25.6
20	98	1	1	3	80	苔石砖	16	25.6
21	98	2	1	3	80	破损石砖	16	25.6
22	98	3	1	3	80	錾制石砖	16	25.6
23	109	0	1	3	80	石砖楼梯	24	38.400000000000006
24	126	0	1	3	40	单层橡木板	1.5	1.2000000000000002
25	126	1	1	3	40	单层云杉木板	1.5	1.2000000000000002
26	126	2	1	3	40	单层桦树木板	1.5	1.2000000000000002
27	126	3	1	3	40	单层丛林木板	1.5	1.2000000000000002
28	5	0	1	3	40	橡木板	3	2.4000000000000004
29	5	1	1	3	40	云杉木板	3	2.4000000000000004
30	5	2	1	3	40	白桦木板	3	2.4000000000000004
31	5	3	1	3	40	丛林木板	3	2.4000000000000004
32	65	0	1	3	40	梯子	3	2.4000000000000004
33	125	0	1	3	40	双层橡木板	3	2.4000000000000004
34	125	1	1	3	40	双层云杉木板	3	2.4000000000000004
35	125	2	1	3	40	双层白桦木板	3	2.4000000000000004
36	125	3	1	3	40	双层丛林木板	3	2.4000000000000004
37	53	0	1	3	40	橡木楼梯	4.5	3.6
38	135	0	1	3	40	白桦木楼梯	4.5	3.6
39	85	0	1	3	40	橡木栅栏	5	4
40	189	0	1	3	40	白桦木栅栏	5	4
41	324	0	1	3	40	橡木门	6	4.800000000000001
42	72	0	1	3	40	木质压力板	6	4.800000000000001
43	510	0	1	3	40	白桦木门	6	4.800000000000001
44	107	0	1	3	40	橡木栅栏门	9	7.2
45	184	0	1	3	40	白桦木栅栏门	9	7.2
46	12	0	1	3	60	沙子	14	16.8
47	44	1	1	3	60	砂石板	28	33.6
48	24	0	1	3	60	砂石	56	67.2
49	24	1	1	3	60	雕刻砂石	56	67.2
50	24	2	1	3	60	光滑砂石	56	67.2
51	43	1	1	3	60	双层砂石板	56	67.2
52	128	0	1	3	60	砂石楼梯	84	100.8
53	13	0	1	3	60	沙砾	200	240
54	44	7	1	3	60	石英板	100	120
55	43	7	1	3	60	双层石英板	200	240
56	155	0	1	3	60	石英块	200	240
57	155	1	1	3	60	錾制石英块	200	240
58	155	2	1	3	60	竖纹石英块	200	240
59	156	0	1	3	50	石英楼梯	300	300
60	44	4	1	3	40	砖板	480	384
61	140	0	1	3	40	花盆	720	576
62	43	4	1	3	40	双层砖板	960	768
63	45	0	1	3	40	砖块	960	768
64	108	0	1	3	30	砖块楼梯	1440	864
65	87	0	3	15	100	地狱岩	320	2880
66	44	6	1	3	20	地狱砖板	640	256
67	113	0	1	3	20	地狱砖栅栏	960	384
68	139	2	1	3	20	地狱砖墙	1280	512
69	139	3	1	3	20	红色地狱砖墙	1600	640
70	43	6	1	3	20	双层地狱砖板	1280	512
71	112	0	1	6	100	地狱砖块	1280	4480
72	114	0	1	3	20	地狱砖楼梯	1920	768
73	89	0	1	3	5	萤石	4000	400
74	215	0	1	3	40	红色地狱砖	1600	1280
75	1428	3	1	3	20	红色地狱砖板	800	320
76	1426	0	1	3	20	红色地狱砖楼梯	2400	960
77	1427	3	1	3	20	红色地狱砖双层板	1600	640
78	1419	0	1	4	100	海晶石	2400	6000
79	139	4	1	3	10	海晶石墙	2400	480
80	1420	0	1	2	100	海晶石砖	5400	8100
81	1421	0	1	3	10	暗色海晶石	6800	1360
82	1424	0	1	3	10	海晶石砖楼梯	8100	1620
83	1425	0	1	3	10	暗海晶石楼梯	10200	2040
84	1428	1	1	3	10	海晶石砖板	2700	540
85	1428	2	1	3	10	暗海晶石板	3400	680
86	1427	1	1	3	10	海晶石砖双层板	5400	1080
87	1427	2	1	3	10	暗海晶石双层板	6800	1360
88	270	0	1	3	1	木镐	12	0.24
89	274	0	1	3	2	石镐	16	0.64
90	257	0	1	3	3	铁镐	240	14.399999999999999
91	285	0	1	3	4	金镐	1440	115.2
92	278	0	1	3	5	钻石镐	3000	300
93	351	0	1	3	10	墨囊	2000	400
94	351	1	1	3	10	红色染料	2000	400
95	351	2	1	3	10	绿色染料	2000	400
96	351	3	1	3	10	可可豆	2000	400
97	351	4	1	3	10	青金石	2000	400
98	351	5	1	3	10	紫色染料	2000	400
99	351	6	1	3	10	青色染料	2000	400
100	351	7	1	3	10	淡灰色染料	2000	400
101	351	8	1	3	10	灰色染料	2000	400
102	351	9	1	3	10	粉红色染料	2000	400
103	351	10	1	3	10	黄绿色染料	2000	400
104	351	11	1	3	10	黄色染料	2000	400
105	351	12	1	3	10	淡蓝色染料	2000	400
106	351	13	1	3	10	品红色染料	2000	400
