Id	BlockId	Meta	Hardness	DropItemId	DropItemMeta	DropProbability	DropCount	DefaultHurt	DefaultDrop	HoldItemId	HoldItemHurt	DropItem	Integral	Unnamed: 14	Unnamed: 15	Unnamed: 16
唯一Id	方块BlockId	方块Meta不能直接拉（配-1为不管什么meta均掉落后面的物品）	方块硬度值	掉落物.不能直接拉.ItemId，格式:2#35#...	掉落物品的Meta.不能直接拉.， 格式：2#35#...	掉落概率 2#35#...	掉落次数 2#35#...	默认破坏伤害，引擎公式(破坏时间=硬度/伤害 *1.5)	默认是否掉落	手持物品ItemId	手持物品伤害	破坏是否掉落物品	方块分数	名字		分数校验
Id	BlockId	Meta	Hardness	DropItemId	DropItemMeta	DropProbability	DropCount	DefaultHurt	DefaultDrop	HoldItemId	HoldItemHurt	DropItem	Integral			
100	1	0	135	1	0	100	1	48	1	270#274#257#285#278#2249#2831#2832	55#95#170#350#400#800#800#800	1#1#1#1#1	1	石头	1.0	√
200	2	0	90	2	0	100	1	48	1	270#274#257#285#278#2249#269#273#256#284#277#2248#2831#2832	55#70#85#105#120#330#60#85#150#300#400#800#800#800	1#1#1#1#1	4	草方块	4.0	√
300	3	0	90	3	0	100	1	48	1	270#274#257#285#278#2249#269#273#256#284#277#2248#2831#2832	55#70#85#105#120#330#60#85#150#300#400#800#800#800	1#1#1#1#1	4	泥土	4.0	√
400	4	0	135	4	0	100	1	48	1	270#274#257#285#278#2249#2831#2832	55#95#170#350#400#800#800#800	1#1#1#1#1	1	圆石	1.0	√
500	5	0	100	5	0	100	1	48	1	270#274#257#285#278#2249#2831#2832	55#70#85#105#120#330#800#800	1#1#1#1#1	1	橡木板	1.0	√
501	5	1	100	5	1	100	1	48	1	270#274#257#285#278#2249#2831#2832	55#70#85#105#120#330#800#800	1#1#1#1#1	1	云杉木板	1.0	√
502	5	2	100	5	2	100	1	48	1	270#274#257#285#278#2249#2831#2832	55#70#85#105#120#330#800#800	1#1#1#1#1	1	白桦木板	1.0	√
503	5	3	100	5	3	100	1	48	1	270#274#257#285#278#2249#2831#2832	55#70#85#105#120#330#800#800	1#1#1#1#1	1	丛林木板	1.0	√
600	6	0	40	6	0	100	1	48	1	270#274#257#285#278#2249#2831#2832	55#70#85#105#120#330#800#800	1#1#1#1#1	3	橡树苗	3.0	√
601	6	1	40	6	1	100	1	48	1	270#274#257#285#278#2249#2831#2832	55#70#85#105#120#330#800#800	1#1#1#1#1	3	云杉树苗	3.0	√
602	6	2	40	6	2	100	1	48	1	270#274#257#285#278#2249#2831#2832	55#70#85#105#120#330#800#800	1#1#1#1#1	3	白桦树苗	3.0	√
603	6	3	40	6	3	100	1	48	1	270#274#257#285#278#2249#2831#2832	55#70#85#105#120#330#800#800	1#1#1#1#1	3	丛林树苗	3.0	√
700	7	0	99999999	7	0	100	1	0	1	270#274#2831#2832	0#0#800#800	1#1#1#1#1	1	基岩	1.0	√
800	8	0	500	8	0	100	0	48	0	270#274#257#285#278#2249#2831#2832	55#70#85#105#120#330#800#800	1#1#1#1#1	5	流动的水	5.0	√
900	9	0	500	9	0	100	0	48	0	270#274#257#285#278#2249#2831#2832	55#70#85#105#120#330#800#800	1#1#1#1#1	5	静态水	5.0	√
1100	11	0	500	11	0	100	0	48	0	270#274#257#285#278#2249#2831#2832	55#70#85#105#120#330#800#800	1#1#1#1#1	5	静态岩浆		
1200	12	0	100	12	0	100	1	48	1	270#274#257#285#278#2249#269#273#256#284#277#2248#2831#2832	55#95#170#350#400#800#60#85#150#300#400#800#800#800	1#1#1#1#1	4	沙子	4.0	√
1300	13	0	100	13	0	100	1	48	1	270#274#257#285#278#2249#269#273#256#284#277#2248#2831#2832	55#70#85#105#120#330#60#85#150#300#400#800#800#800	1#1#1#1#1	50	沙砾	50.0	√
1400	14	0	300	14	0	100	1	48	1	270#274#257#285#278#2249#2831#2832	55#95#170#350#400#560#800#800	1#1#1#1#1	125	金矿石	125.0	√
1500	15	0	240	15	0	100	1	48	1	270#274#257#285#278#2249#2831#2832	55#95#170#350#400#800#800#800	1#1#1#1#1	25	铁矿石	25.0	√
1600	16	0	200	263	0	100	1	48	1	270#274#257#285#278#2249#2831#2832	55#95#170#350#400#800#800#800	1#1#1#1#1	10	煤矿石	10.0	√
1700	17	0	120	17	0	100	1	48	1	271#275#258#286#279#2247#2831#2832	55#85#150#300#300#450#800#800	1#1#1#1#1	3	橡树原木	3.0	√
1701	17	1	120	17	1	100	1	48	1	271#275#258#286#279#2247#2831#2832	55#85#150#300#300#450#800#800	1#1#1#1#1	3	云杉原木	3.0	√
1702	17	2	120	17	2	100	1	48	1	271#275#258#286#279#2247#2831#2832	55#85#150#300#300#450#800#800	1#1#1#1#1	3	桦树原木	3.0	√
