Id	TaskSort	Level	Quality	Unnamed: 4	Title	Icon	TaskTypeId	Remarks	RemarksMeta	GoalNum	RewardIds	RewardWeigth	Weight	SortValue	GameType	StageId	Stage	Unnamed: 18	Unnamed: 19	Unnamed: 20	Unnamed: 21	Unnamed: 22	Unnamed: 23	Unnamed: 24
唯一id	任务种类	主线任务等级	品质	辅助ID	标题（多语言）	任务图标	任务类型ID 	任务物品Id,杀怪任务填怪物ID	任务物品Idmeta(-1表示所有meta)	数量(扩岛配目标岛屿等级)	奖励ID	随机奖励权重100#100	权重，控制任务出现概率	排序值(权重？)	游戏模式(填某个表示只能在哪个图完成,#表示全都能完成,地图名格式:g1048	阶段Id	阶段范围	备注	任务目标物品	任务图标索引	任务描述	挑战任务奖励ID索引	挑战任务奖励权重索引	多语言表
Id	TaskSort	Level	Quality		Title	Icon	TaskTypeId	Remarks	RemarksMeta	GoalNum	RewardIds	RewardWeigth	Weight	SortValue	GameType	StageId	Stage							
1001	1	0	#		gui_pixel_task_1001	set:task_and_shop.json image:collect_block	101	17	0	3	10011	100	0	100	#	#	#	收集	橡树原木	收集方块	从身边的橡树收集3个原木			gui_pixel_task_1001=从身边的橡树收集3个原木
1002	1	0	#		gui_pixel_task_1002	set:task_and_shop.json image:crafting	102	58	0	1	10021	100	0	95	#	#	#	合成	工作台	合成	在背包合成界面，制造1个工作台			gui_pixel_task_1002=在背包合成界面，制造1个工作台
1003	1	0	#		gui_pixel_task_1003	set:task_and_shop.json image:crafting	102	280	0	4	10031	100	0	94	#	#	#	合成	木棍	合成	在背包合成界面，制造4个木棍			gui_pixel_task_1003=在背包合成界面，制造4个木棍
1004	1	0	#		gui_pixel_task_1004	set:task_and_shop.json image:unlimite_water	104	0	0	1	10041	100	0	75	#	#	#	无限水		无限水	挖一个2*2的坑，在对角放入冰块并破坏			gui_pixel_task_1004=挖一个2*2的坑，在对角放入冰块并破坏
1005	1	0	#		gui_pixel_task_1005	set:task_and_shop.json image:crafting	102	274	0	1	10051	100	0	90	#	#	#	合成	石镐	合成	用圆石和木棍在工作台制造1个石镐			gui_pixel_task_1005=用圆石和木棍在工作台制造1个石镐
1006	1	0	#		gui_pixel_task_1006	set:task_and_shop.json image:plante_tree	105	6	0	2	10061	100	0	80	#	#	#	种树	橡树苗	种树	在草地上种植2棵树，并等待他们长大			gui_pixel_task_1006=在草地上种植2棵树，并等待他们长大
1007	1	0	#		gui_pixel_task_1007	set:task_and_shop.json image:collect_block	101	4	0	20	10071	100	0	85	#	#	#	收集	圆石	收集方块	带上镐，去矿区收集20个圆石吧!			gui_pixel_task_1007=带上镐，去矿区收集20个圆石吧!
1008	1	0	#		gui_pixel_task_1008	set:task_and_shop.json image:crafting	102	54	0	1	10081	100	0	70	#	#	#	合成	箱子	合成	在工作台制造1个箱子			gui_pixel_task_1008=在工作台制造1个箱子
1009	1	0	#		gui_pixel_task_1009	set:task_and_shop.json image:expand_island	106	0	0	2	10091	100	0	65	#	#	#	扩岛		扩岛	赚取金币，从屏幕左上方按钮扩大岛屿吧！			gui_pixel_task_1009=赚取金币，从屏幕左上方按钮扩大岛屿吧！
2001	1	1	#		gui_pixel_task_2001	set:task_and_shop.json image:crafting	102	257	0	1	20011	100	0	100	#	#	#	合成	铁镐	合成	在工作台合成一个铁镐			gui_pixel_task_2001=在工作台合成一个铁镐
2002	1	1	#		gui_pixel_task_2002	set:task_and_shop.json image:crafting	102	292	0	1	20021	100	0	95	#	#	#	合成	铁锄	合成	在工作台合成一个铁锄			gui_pixel_task_2002=在工作台合成一个铁锄
2003	1	1	#		gui_pixel_task_2003	set:task_and_shop.json image:crafting	102	258	0	1	20031	100	0	90	#	#	#	合成	铁斧	合成	在工作台合成一个铁斧			gui_pixel_task_2003=在工作台合成一个铁斧
2004	1	1	#		gui_pixel_task_2004	set:task_and_shop.json image:collect_food	101	957	0	20	20041	100	0	85	#	#	#	收集	小麦种子	收集农作物	在商店购买20个小麦种子			gui_pixel_task_2004=在商店购买20个小麦种子
2005	1	1	#		gui_pixel_task_2005	set:task_and_shop.json image:collect_food	101	2298	0	20	20051	100	0	80	#	#	#	收集	小麦	收集农作物	用小麦种子进行种植，收货20个成熟小麦			gui_pixel_task_2005=用小麦种子进行种植，收货20个成熟小麦
2006	1	1	#		gui_pixel_task_2006	set:task_and_shop.json image:collect_tool	101	285	0	1	20061	100	0	75	#	#	#	收集	金镐	收集工具	获取一个金镐			gui_pixel_task_2006=获取一个金镐
2007	1	1	#		gui_pixel_task_2007	set:task_and_shop.json image:crafting	102	61	-1	1	20071	100	0	70	#	#	#	合成	熔炉	合成	合成1个熔炉			gui_pixel_task_2007=合成1个熔炉
2008	1	1	#		gui_pixel_task_2008	set:task_and_shop.json image:collect_food	101	648	0	30	20081	100	0	65	#	#	#	收集	马铃薯	收集农作物	收集30个成熟马铃薯			gui_pixel_task_2008=收集30个成熟马铃薯
2009	1	1	#		gui_pixel_task_2009	set:task_and_shop.json image:have_product	109	4002	0	1	20091	100	0	60	#	#	#	拥有矿机	中级矿机	拥有矿机	在商店购买中级矿机			gui_pixel_task_2009=在商店购买中级矿机
2010	1	1	#		gui_pixel_task_2010	set:task_and_shop.json image:product_level	111	0	0	24	20101	100	0	55	#	#	#	矿机总等级		矿机总等级	矿机总等级达到24级			gui_pixel_task_2010=矿机总等级达到24级
2011	1	1	#		gui_pixel_task_2011	set:task_and_shop.json image:collect_food	101	2295	0	40	20111	100	0	50	#	#	#	收集	玉米	收集农作物	收集40个成熟玉米			gui_pixel_task_2011=收集40个成熟玉米
2012	1	1	#		collect_task_title	set:task_and_shop.json image:collect_tool	101	278	0	1	20121	100	0	45	#	#	#	收集	钻石镐	收集工具	收集钻石镐			
2013	1	1	#		collect_task_title	set:task_and_shop.json image:collect_tool	101	279	0	1	20131	100	0	40	#	#	#	收集	钻石斧	收集工具	收集钻石斧			
2014	1	1	#		expand_islands_task_title	set:task_and_shop.json image:expand_island	106	0	0	3	20141	100	0	35	#	#	#	扩岛		扩岛	扩岛			
3001	1	2	#		have_npc_task_title3	set:task_and_shop.json image:have_product	109	4003	0	1	30011	100	0	100	#	#	#	拥有矿机	高级矿机	拥有矿机	在商店购买高级矿机			
3002	1	2	#		collect_task_title	set:task_and_shop.json image:collect_armor	101	276	0	1	30021	100	0	95	#	#	#	收集	钻石剑	收集装备	收集钻石剑			
3003	1	2	#		collect_task_title	set:task_and_shop.json image:collect_armor	101	311	0	1	30031	100	0	90	#	#	#	收集	钻石胸甲	收集装备	收集钻石胸甲			
3004	1	2	#		collect_task_title	set:task_and_shop.json image:collect_armor	101	312	0	1	30041	100	0	85	#	#	#	收集	钻石护腿	收集装备	钻石护腿			
3005	1	2	#		collect_task_title	set:task_and_shop.json image:collect_armor	101	313	0	1	30051	100	0	80	#	#	#	收集	钻石靴子	收集装备	钻石靴子			
3006	1	2	#		collect_task_title	set:task_and_shop.json image:collect_block	101	87	0	10	30061	100	0	75	#	#	#	收集	地狱岩	收集方块	收集10个地狱岩			
3007	1	2	#		collect_task_title	set:task_and_shop.json image:collect_block	101	112	0	10	30071	100	0	70	#	#	#	收集	地狱砖块	收集方块	收集10个地狱砖块			
3008	1	2	#		collect_task_title	set:task_and_shop.json image:collect_block	101	2419	0	6	30081	100	0	65	#	#	#	收集	海晶石	收集方块	收集6个海晶石			
3009	1	2	#		collect_task_title	set:task_and_shop.json image:collect_block	101	57	0	6	30091	100	0	60	#	#	#	收集	钻石块	收集方块	收集6个钻石块			
3010	1	2	#		kill_player_task_title	set:task_and_shop.json image:kill_player	112	0	0	10	30101	100	0	55	#	#	#	PVP		PVP	在矿区击败10个对手			
3011	1	2	#		kill_monster_task_title1	set:task_and_shop.json image:kill_monster	108	4002	0	15	30111	100	0	50	#	#	#	杀怪	骷髅	杀怪	击杀15个骷髅			
3012	1	2	#		kill_monster_task_title2	set:task_and_shop.json image:kill_monster	108	4003	0	15	30121	100	0	45	#	#	#	杀怪	僵尸	杀怪	击杀15个大僵尸			
3013	1	2	#		kill_monster_task_title3	set:task_and_shop.json image:kill_monster	108	4004	0	1	30131	100	0	40	#	#	#	杀怪	凋零	杀怪	击杀1个凋零			
3014	1	2	#		kill_monster_task_title4	set:task_and_shop.json image:kill_monster	108	4005	0	1	30141	100	0	35	#	#	#	杀怪	冰霜巨龙	杀怪	击杀1个骨龙			
3015	1	2	#		expand_islands_task_title	set:task_and_shop.json image:expand_island	106	0	0	4	30151	100	0	30	#	#	#	扩岛		扩岛	扩岛			
4001	1	3	#		collect_task_title	set:task_and_shop.json image:collect_food	101	2500	0	10	40011	100	0	100	#	#	#	收集	骨粉	收集农作物	在商店购买10个骨粉			
4002	1	3	#		collect_task_title	set:task_and_shop.json image:collect_food	101	37	0	10	40021	100	0	95	#	#	#	收集	蒲公英	收集农作物	收集10朵蒲公英			
4003	1	3	#		collect_task_title	set:task_and_shop.json image:collect_food	101	351	11	20	40031	100	0	90	#	#	#	收集	黄色染料	收集农作物	获取蒲公英，然后在合成台制作20个黄色染料			
4004	1	3	#		collect_task_title	set:task_and_shop.json image:collect_food	101	351	1	20	40041	100	0	85	#	#	#	收集	红色染料	收集农作物	收集20个红色染料			
4005	1	3	#		collect_task_title	set:task_and_shop.json image:collect_food	101	351	10	20	40051	100	0	80	#	#	#	收集	黄绿色染料	收集农作物	收集20个黄绿色染料			
4006	1	3	#		collect_task_title	set:task_and_shop.json image:collect_block	101	2419	0	40	40061	100	0	75	#	#	#	收集	海晶石	收集方块	收集40海晶石			
4007	1	3	#		collect_task_title	set:task_and_shop.json image:collect_block	101	2420	0	40	40071	100	0	70	#	#	#	收集	海晶石砖	收集方块	收集40海晶石砖			
4008	1	3	#		collect_task_title	set:task_and_shop.json image:collect_block	101	57	0	40	40081	100	0	65	#	#	#	收集	钻石块	收集方块	收集40钻石块			
4009	1	3	#		collect_task_title	set:task_and_shop.json image:collect_block	101	133	0	40	40091	100	0	60	#	#	#	收集	绿宝石块	收集方块	收集40绿宝石块			
4010	1	3	#		product_total_level_task_title	set:task_and_shop.json image:product_level	111	0	0	80	40101	100	0	55	#	#	#	矿机总等级		矿机总等级	矿机总等级达到80级			
4011	1	3	#		expand_islands_task_title	set:task_and_shop.json image:expand_island	106	0	0	5	40111	100	0	50	#	#	#	扩岛		扩岛	扩岛			
10101	2	#	1	1	collect_task_title	set:task_and_shop.json image:collect_block	101	20	0	2	200004#2400006#15500002#26500008#26600001#17100003	1#1#1#1#1#1	57	116	#	1	2#5	收集	玻璃	收集方块	收集2个玻璃	200004#2400006#15500002#26500008#26600001#17100003	1#1#1#1#1#1	
