索引	机器人ID	默认行为ID	待机时间（s）	长时间待机后切换行为	无床行为	行为持续时间（s）	近战/远程	强度	默认行为	长时间待机后切换行为.1	无床行为.1	Unnamed: 12	行为ID	类型	近战/远程.1	强度.1	行为ID.1
Id	aiPlayerId	defaultTree	idleTime	idleTree	noBedTree	actionTime											
1	101	201020	30	201020	201020	600	近战	2.0	拆家	拆家	拆家		101010.0	进攻	近战	1.0	101010.0
2	102	102030	30	102030	102030	600	远程	3.0	进攻	进攻	进攻		101020.0	进攻	近战	2.0	101020.0
3	103	301010	30	301010	301010	600	近战	1.0	采集	采集	采集		101030.0	进攻	近战	3.0	101030.0
4	104	401010	90	101010	101010	600	近战	1.0	防守	进攻	进攻		101040.0	进攻	近战	4.0	101040.0
5	105	201020	30	201020	201020	600	近战	2.0	拆家	拆家	拆家		102010.0	进攻	远程	1.0	102010.0
6	106	102030	30	102030	102030	600	远程	3.0	进攻	进攻	进攻		102020.0	进攻	远程	2.0	102020.0
7	107	101020	30	101020	101020	600	近战	2.0	进攻	进攻	进攻		102030.0	进攻	远程	3.0	102030.0
8	108	401020	90	201020	201020	600	近战	2.0	防守	拆家	拆家		102040.0	进攻	远程	4.0	102040.0
9	109	201010	30	201010	201010	600	近战	1.0	拆家	拆家	拆家		201010.0	拆家	近战	1.0	201010.0
10	110	102030	30	102030	102030	600	远程	3.0	进攻	进攻	进攻		201020.0	拆家	近战	2.0	201020.0
11	111	301010	30	301010	301010	600	近战	1.0	采集	采集	采集		201030.0	拆家	近战	3.0	201030.0
12	112	301010	30	301010	301010	600	近战	1.0	采集	采集	采集		201040.0	拆家	近战	4.0	201040.0
13	113	201010	30	201010	201010	600	近战	1.0	拆家	拆家	拆家		202010.0	拆家	远程	1.0	202010.0
14	114	102030	30	102030	102030	600	远程	3.0	进攻	进攻	进攻		202020.0	拆家	远程	2.0	202020.0
15	115	301010	30	301010	301010	600	近战	1.0	采集	采集	采集		202030.0	拆家	远程	3.0	202030.0
16	116	301010	30	301010	301010	600	近战	1.0	采集	采集	采集		202040.0	拆家	远程	4.0	202040.0
17	101	201030	30	201030	201030	480	近战	3.0	拆家	拆家	拆家		301010.0	采集	近战	1.0	301010.0
18	102	102040	30	102040	102040	480	远程	4.0	进攻	进攻	进攻		301020.0	采集	近战	2.0	301020.0
19	103	301020	30	301020	301020	480	近战	2.0	采集	采集	采集		301030.0	采集	近战	3.0	301030.0
20	104	401020	90	101020	101020	480	近战	2.0	防守	进攻	进攻		301040.0	采集	近战	4.0	301040.0
21	105	201030	30	201030	201030	480	近战	3.0	拆家	拆家	拆家		302010.0	采集	远程	1.0	302010.0
22	106	102040	30	102040	102040	480	远程	4.0	进攻	进攻	进攻		302020.0	采集	远程	2.0	302020.0
23	107	101030	30	101030	101030	480	近战	3.0	进攻	进攻	进攻		302030.0	采集	远程	3.0	302030.0
24	108	401030	90	201030	201030	480	近战	3.0	防守	拆家	拆家		302040.0	采集	远程	4.0	302040.0
25	109	201010	30	201010	201010	480	近战	1.0	拆家	拆家	拆家		401010.0	防守	近战	1.0	401010.0
26	110	102030	30	102030	102030	480	远程	3.0	进攻	进攻	进攻		401020.0	防守	近战	2.0	401020.0
27	111	301010	30	301010	301010	480	近战	1.0	采集	采集	采集		401030.0	防守	近战	3.0	401030.0
28	112	301010	30	301010	301010	480	近战	1.0	采集	采集	采集		401040.0	防守	近战	4.0	401040.0
29	113	201010	30	201010	201010	480	近战	1.0	拆家	拆家	拆家		402010.0	防守	远程	1.0	402010.0
30	114	102030	30	102030	102030	480	远程	3.0	进攻	进攻	进攻		402020.0	防守	远程	2.0	402020.0
31	115	301010	30	301010	301010	480	近战	1.0	采集	采集	采集		402030.0	防守	远程	3.0	402030.0
32	116	301010	30	301010	301010	480	近战	1.0	采集	采集	采集		402040.0	防守	远程	4.0	402040.0
