seq	groupId	groupSeq	rewardId	weights	isGrandPrize	Unnamed: 6	Unnamed: 7
序号	奖品组id	组内排序	奖品id	权重	是否为大奖		
seq	groupId	groupSeq	rewardId	weights	isGrandPrize		
10101	1	1	10101	0	1	10101.0	机械龙
10102	1	2	10102	0	0	10102.0	精灵龙
10103	1	3	10103	0	0	10103.0	水墨刀光
10104	1	4	10104	0	0	10104.0	星辰拖尾
10105	1	5	10105	100	0	10105.0	UFO头盔
10106	1	6	10106	100	0	10106.0	钥匙
10107	1	7	10107	4000	0	10107.0	地狱烈焰弓
10108	1	8	10108	5000	0	10108.0	水晶组合剑
10109	1	9	10109	6000	0	10109.0	小恶魔之斧
10110	1	10	10110	7000	0	10110.0	道具特权6h
10111	1	11	10111	7000	0	10111.0	生命值强化6h
10112	1	12	10112	7000	0	10112.0	快速复活6h
10113	1	13	10113	500	0	10113.0	吸血Ⅲ
10114	1	14	10114	500	0	10114.0	暴击Ⅲ
10115	1	15	10115	1000	0	10115.0	恢复Ⅲ
10116	1	16	10116	2000	0	10116.0	弓箭Ⅱ
10117	1	17	10117	2000	0	10117.0	击退Ⅱ
10118	1	18	10118	2000	0	10118.0	强壮Ⅱ
10119	1	19	10119	2000	0	10119.0	铁锭Ⅱ
10120	1	20	10120	2000	0	10120.0	幸运Ⅱ
10121	1	21	10121	2000	0	10121.0	复活Ⅱ
10122	1	22	10122	10000	0	10122.0	号角
10123	1	23	10123	10000	0	10123.0	钥匙
10124	1	24	10124	10000	0	10124.0	观影券
10125	1	25	10125	10000	0	10125.0	黄金宝箱
10201	2	26	10201	1	1	10201.0	火焰拖尾
10202	2	27	10202	1000	0	10202.0	幽魂刀光
10203	2	28	10203	10000	0	10203.0	蔷薇箭
10204	2	29	10204	100000	0	10204.0	铁镰刀
10205	2	30	10205	100000	0	10205.0	逐月
10206	2	31	10206	100000	0	10206.0	流浪者之锄
10207	2	32	10207	100000	0	10207.0	流浪者之斧
10208	2	33	10208	100000	0	10208.0	流浪者之剑
10209	2	34	10209	9999999	0	10209.0	钥匙
10210	2	35	10210	9999999	0	10210.0	号角
10301	101	36	10301	9999999	0	10301.0	钥匙
10302	101	37	10302	9999999	0	10302.0	号角
10303	102	38	10303	9999999	0	10303.0	钥匙
10304	102	39	10304	9999999	0	10304.0	号角
10305	103	40	10305	9999999	0	10305.0	钥匙
10306	103	41	10306	9999999	0	10306.0	号角
10307	104	42	10307	9999999	0	10307.0	钥匙
10308	104	43	10308	9999999	0	10308.0	号角
11101	1001	44	11101	0	0	11101.0	螺旋箭
11102	1001	45	11102	0	0	11102.0	蹬腿舞
11103	1001	46	11103	0	0	11103.0	墨镜大金链子
11104	1001	47	11104	0	0	11104.0	托马斯回旋
11105	1001	48	11105	1000	0	11105.0	得意洋洋
11106	1002	49	11106	1000	0	11106.0	钥匙
11107	1002	50	11107	1000	0	11107.0	观影券
