Index	Season	Week	EXPLimit	TaskGroup
索引	赛季	周	周经验上线	任务组
Index	Season	Week	EXPLimit	TaskGroup
1	1	1	25000	1011
2	1	2	30000	1012
3	1	3	50000	1013
4	1	4	80000	1014
5	1	5	80000	1015
6	1	6	80000	1016
7	1	7	80000	1017
8	1	8	80000	1018
9	2	1	25000	1011
10	2	2	30000	1012
11	2	3	50000	1013
12	2	4	80000	1014
13	2	5	80000	1015
14	2	6	80000	1016
15	2	7	80000	1017
16	2	8	80000	1018
17	3	1	25000	1011
18	3	2	30000	1012
19	3	3	50000	1013
20	3	4	80000	1014
21	3	5	80000	1015
22	3	6	80000	1016
23	3	7	80000	1017
24	3	8	80000	1018
25	4	1	25000	1011
26	4	2	30000	1012
27	4	3	50000	1013
28	4	4	80000	1014
29	4	5	80000	1015
30	4	6	80000	1016
31	4	7	80000	1017
32	4	8	80000	1018
33	5	1	25000	1011
34	5	2	30000	1012
35	5	3	50000	1013
36	5	4	80000	1014
37	5	5	80000	1015
38	5	6	80000	1016
39	5	7	80000	1017
40	5	8	80000	1018
41	6	1	25000	1011
42	6	2	30000	1012
43	6	3	50000	1013
44	6	4	80000	1014
45	6	5	80000	1015
46	6	6	80000	1016
47	6	7	80000	1017
48	6	8	80000	1018
49	7	1	25000	1011
50	7	2	30000	1012
51	7	3	50000	1013
52	7	4	80000	1014
53	7	5	80000	1015
54	7	6	80000	1016
55	7	7	80000	1017
56	7	8	80000	1018
57	8	1	25000	1011
58	8	2	30000	1012
59	8	3	50000	1013
60	8	4	80000	1014
61	8	5	80000	1015
62	8	6	80000	1016
63	8	7	80000	1017
64	8	8	80000	1018
65	9	1	25000	1011
66	9	2	30000	1012
67	9	3	50000	1013
68	9	4	80000	1014
69	9	5	80000	1015
70	9	6	80000	1016
71	9	7	80000	1017
72	9	8	80000	1018
73	10	1	25000	1011
74	10	2	30000	1012
75	10	3	50000	1013
76	10	4	80000	1014
77	10	5	80000	1015
78	10	6	80000	1016
79	10	7	80000	1017
80	10	8	80000	1018
81	11	1	25000	1011
82	11	2	30000	1012
83	11	3	50000	1013
84	11	4	80000	1014
85	11	5	80000	1015
86	11	6	80000	1016
87	11	7	80000	1017
88	11	8	80000	1018
89	12	1	25000	1011
90	12	2	30000	1012
91	12	3	50000	1013
92	12	4	80000	1014
93	12	5	80000	1015
94	12	6	80000	1016
95	12	7	80000	1017
96	12	8	80000	1018
97	13	1	25000	1011
98	13	2	30000	1012
99	13	3	50000	1013
100	13	4	80000	1014
101	13	5	80000	1015
102	13	6	80000	1016
103	13	7	80000	1017
104	13	8	80000	1018
105	14	1	25000	1011
106	14	2	30000	1012
107	14	3	50000	1013
108	14	4	80000	1014
109	14	5	80000	1015
110	14	6	80000	1016
111	14	7	80000	1017
112	14	8	80000	1018
113	15	1	25000	1011
114	15	2	30000	1012
115	15	3	50000	1013
116	15	4	80000	1014
117	15	5	80000	1015
118	15	6	80000	1016
119	15	7	80000	1017
120	15	8	80000	1018
121	16	1	25000	1011
122	16	2	30000	1012
123	16	3	50000	1013
124	16	4	80000	1014
125	16	5	80000	1015
126	16	6	80000	1016
127	16	7	80000	1017
128	16	8	80000	1018
129	17	1	25000	1011
130	17	2	30000	1012
131	17	3	50000	1013
132	17	4	80000	1014
133	17	5	80000	1015
134	17	6	80000	1016
135	17	7	80000	1017
136	17	8	80000	1018
137	18	1	25000	1011
138	18	2	30000	1012
139	18	3	50000	1013
140	18	4	80000	1014
141	18	5	80000	1015
142	18	6	80000	1016
143	18	7	80000	1017
144	18	8	80000	1018
145	19	1	25000	1011
146	19	2	30000	1012
147	19	3	50000	1013
148	19	4	80000	1014
149	19	5	80000	1015
150	19	6	80000	1016
151	19	7	80000	1017
152	19	8	80000	1018
153	20	1	25000	1011
154	20	2	30000	1012
155	20	3	50000	1013
156	20	4	80000	1014
157	20	5	80000	1015
158	20	6	80000	1016
159	20	7	80000	1017
160	20	8	80000	1018
