索引id	资源类型	等级	资源	等级默认产量（每间隔几秒产出多少）	间隔时间（秒）	资源存在时间上限	升级时间	Unnamed: 8	Unnamed: 9	Unnamed: 10	Unnamed: 11	Unnamed: 12	Unnamed: 13	Unnamed: 14
index	type	level	itemId	output	interval	life	levelUp							
1	1	1	264	1	30	90	1		钻石1级					
2	1	2	264	1	20	90	360		钻石2级					
3	1	3	264	1	12	90	1080		钻石3级				铁炉产出	
4	2	1	388	1	30	90	1		绿宝石1级				铁锭	265.0
5	2	2	388	1	20	90	720		绿宝石2级				金锭	266.0
6	2	3	388	1	12	90	1440		绿宝石3级				钻石	264.0
7	3	1	265	1	1	50	1		铁锭1级		放setting		绿宝石	388.0
8	3	2	265	1	0.67	50	99999		铁锭2级					
9	3	3	265	1	0.5	50	99999		铁锭3级					
10	3	4	265	1	0.5	30	99999		铁锭4级					
11	3	5	265	1	0.25	30	99999		铁锭5级					
12	4	1	266	1	8	50	1		金锭1级					
13	4	2	266	1	5.33	50	99999		金锭2级					
14	4	3	266	1	4	50	99999		金锭3级					
15	4	4	266	1	4	30	99999		金锭4级					
16	4	5	266	1	2	30	99999		金锭5级					
17	5	1	388	0	9999	0	1		锻炉绿宝石1级					
18	5	2	388	0	9999	0	99999		锻炉绿宝石2级					
19	5	3	388	0	9999	0	99999		锻炉绿宝石3级					
20	5	4	388	1	16	30	99999		锻炉绿宝石4级					
21	5	5	388	1	8	30	99999		锻炉绿宝石5级					
