技能ID	技能Type	技能对应物品ID	自定义参数	参数描述	备注	释放方式 0:长按 1:按钮 2:点方块	技能弹道图片所属文件名	技能弹道图片名字	技能弹道特效	技能命中特效	技能命中特效时间	是否抛物线	水平速度	下落速度	技能距离	技能释放CD	技能长度（TNT爆炸范围倍数）	技能宽度（没用，读K列）	技能高度（没用，读K列）	技能作用时间（秒）	技能作用数值	脚底有方块不能使用	脚底有方块不能使用提示	技能作用对象（1：自己，2：队友，3：敌人）（1#2#3代表所有都选）	技能作用人数	是否消耗道具	是否为一次性作用（0：否，1：是）	技能作用CD（几秒作用一次）	是否使用模型
ID	Type	ItemId	param		Remark	UseType	AtlasName	IconName	EffectName	HitEffectName	HitEffectTime	IsParabola	MoveSpeed	DropSpeed	Distance	FreeCd	Length	Width	Height	Duration	Damage	CanFallNoUse	CanFallNoUseTip	targets	effectNum	isConsume	isMoment	effectCd	IsActor
1	12	368	#	无	末影珍珠	1	items.json	ender_pearl	0	ender_pearl.effect	1000	1	1	3	50	1	0	0	0	0	0	0	0	0	0	1	1	0	0
2	11	506	#	爆炸范围系数#击退系数	火焰弹(作用时间是爆炸伤害因子)	1	throwable.json	napalm	effect_gun_mortar_bullet.effect	0	0	0	0.38	0	100	1	0.8	0.8	0.8	0.2	3	0	0	0	0	1	1	0	0
3	17	507	#	无	救援平台	1	throwable.json	napalm	0	0	0	1	0	0	0	25	0	0	0	16	0	1	1008017	0	0	1	1	0	0
5	18	599	#	无	巫毒药水	1	throwable.json	napalm	g1008_zisepingzi_01.effect	g1008_zisepingzi.effect	1000	1	1	3	50	1	3	3	3	0	0	0	0	1#2#3	30	1	1	0	0
6	19	598	#	无	回城卷轴	1	items.json	ender_pearl	g1008_huichengjuanzhou_1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	1	1	0	0
7	20	597	#	无	铁傀儡	1	items.json	ender_pearl	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0
8	21	596	#	无	囊虫	1	items.json	ender_pearl	0	0	0	1	1	3	0	1	0.5	3	0.5	0	1	0	0	3	1	1	0	0	0
9	1	595	1#500	击退强度#水源持续时间(ms)	水球	0	items.json	g1054_shuiqiu	0	0	0	1	1	0.5	150	0	0.5	3	0.5	0	1	0	0	3	1	1	1	0	0
10	6	594	#	无	搭桥蛋（新）	1	items.json	egg_small	effect_gun_mortar_bullet.effect	0	0	1	0.3	0.09	150	3	0	0	0	0	0	0	0	0	0	1	1	0	0
11	8	593	#	无	骑乘龙	1	0	0	0	0	0	0	0	0	0	70	100	100	100	60	0	0	0	1	1	1	1	0	0
12	9	592	#	无	骑乘凋零	1	0	0	0	0	0	0	0	0	0	60	100	100	100	60	0	0	0	1	1	1	1	0	0
13	10	591	6000	回溯时间(ms)	回溯珍珠	1	items.json	g1054_shuijingqiu	0	0	0	1	1	1.8	70	12	100	100	100	3	0	0	0	1	1	1	1	0	0
14	22	583	#	无	报警器	2	0	0	0	0	0	0	0	0	0	0	100	100	100	60	0	0	0	1	1	0	0	0	0
15	26	586	1000	传送时间(ms)	傀儡传送按钮	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0
16	24	585	#	无	钻石地雷	2	0	0	0	0	0	0	0	0	0	0	100	100	100	60	0	0	0	1	1	0	0	0	0
17	25	584	#	无	冰冻夹子	2	0	0	0	0	0	0	0	0	0	3	100	100	100	60	0.1	0	0	1	1	0	0	0	0
18	23	581	#	无	替身傀儡1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0
19	23	580	#	无	替身傀儡2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0
20	23	579	#	无	替身傀儡3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0
21	23	578	#	无	替身傀儡4	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0
22	23	577	#	无	替身傀儡5	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0
23	23	576	#	无	替身傀儡6	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0
24	23	575	#	无	替身傀儡7	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0
25	23	574	#	无	替身傀儡8	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0
26	11	570	0.75#0.15	爆炸范围系数#击退系数	龙的火焰弹	1	throwable.json	napalm	effect_gun_mortar_bullet.effect	0	0	0	1	0	100	1	3	3	3	0.2	4.5	0	0	3	30	1	1	0	0
27	15	569	#	无	凋零TNT掉落	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0.2	0	0	0	3	30	1	1	0	0
