商品ID	脚印Id	预览挂点名	预览Mash	预览动作	Unnamed: 5	Unnamed: 6	Unnamed: 7	Unnamed: 8
Id	FootprintId	PartName	MeshName	Action				
2001	1	effect_footprint	1	jump_special		冰晶拖尾	第二赛季通行证免费	
2002	2	effect_footprint	2	jump_special		雷电拖尾	第三赛季通行证免费	
2003	3	effect_footprint	3	jump_special		樱花拖尾	第一赛季通行证紫色宝箱	第七赛季通行证免费
2004	4	effect_footprint	4	jump_special		腾云拖尾	第五赛季通行证免费	
2005	5	effect_footprint	5	jump_special		彩虹拖尾	第三赛季通行证付费	
2006	6	effect_footprint	6	jump_special		赛博拖尾	第一赛季通行证免费	
2007	7	effect_footprint	7	jump_special		量子拖尾	第四赛季通行证免费	
2008	8	effect_footprint	8	jump_special		幽灵鬼脸拖尾	第六赛季通行证免费	
2009	9	effect_footprint	9	jump_special		水泡足迹	第一赛季通行证付费	第九赛季通行证免费
2010	10	effect_footprint	10	jump_special		音符拖尾	第四赛季通行证付费	
2011	11	effect_footprint	11	jump_special		火焰拖尾	第二赛季通行证付费	
2012	12	effect_footprint	12	jump_special		冰冻拖尾	第六赛季通行证付费	
2013	13	effect_footprint	13	jump_special		八卦阵拖尾		
2014	14	effect_footprint	14	jump_special		筋斗云拖尾	第七赛季通行证付费	
2015	15	effect_footprint	15	jump_special		蝙蝠拖尾	第八赛季通行证免费	
2016	16	effect_footprint	16	jump_special		圣诞老人拖尾	第五赛季通行证付费	
2017	17	effect_footprint	17	jump_special		飞羽拖尾	第八赛季通行证付费	
2018	18	effect_footprint	18	jump_special		生机拖尾	第九赛季通行证付费	
2019	19	effect_footprint	19	jump_special		星辰拖尾		
2020	20	effect_footprint	20	jump_special		浪花拖尾		
2022	22	effect_footprint	22	jump_special		晴雪拖尾		
2023	23	effect_footprint	23	jump_special		羽翼拖尾		
2024	24	effect_footprint	24	jump_special		波痕拖尾		
