ID	旧ItemId	新ItemId	装扮ItemId	Unnamed: 4	备注.1
Id	ItemId	NewItemId	DressItemId		
1	270	2117	2117		木镐
2	270	2118	2118		木镐
3	270	2119	2119		木镐
4	270	2129	2129		木镐
5	270	2130	2130		木镐
6	270	2131	2131		木镐
7	257	2120	2120		铁镐
8	257	2121	2121		铁镐
9	257	2122	2122		铁镐
10	257	2132	2132		铁镐
11	257	2133	2133		铁镐
12	257	2134	2134		铁镐
13	285	2126	2126		金镐
14	285	2127	2127		金镐
15	285	2128	2128		金镐
16	278	2123	2123		钻石镐
17	278	2124	2124		钻石镐
18	278	2125	2125		钻石镐
19	278	2135	2135		钻石镐
20	271	2097	2097		木斧
21	271	2098	2098		木斧
22	271	2099	2099		木斧
23	258	2100	2100		铁斧
24	258	2101	2101		铁斧
25	258	2102	2102		铁斧
26	258	2109	2109		铁斧
27	258	2110	2110		铁斧
28	258	2111	2111		铁斧
29	286	2106	2106		金斧
30	286	2107	2107		金斧
31	286	2108	2108		金斧
32	279	2103	2103		钻石斧
33	279	2104	2104		钻石斧
34	279	2105	2105		钻石斧
35	279	2112	2112		钻石斧
36	279	2113	2113		钻石斧
37	298	2056	2056		皮-帽子（红）
38	298	2060	2060		皮-帽子（蓝）
39	298	2064	2064		皮-帽子（绿）
40	298	2068	2068		皮-帽子（黄）
41	2056	2257	2265		皮-帽子（红）
42	2056	2261	2266		皮-帽子（红）
43	2056	2267	2271		皮-帽子（红）
44	2056	2272	2276		皮-帽子（红）
45	2056	2277	2281		皮-帽子（红）
46	2060	2258	2265		皮-帽子（蓝）
47	2060	2262	2266		皮-帽子（蓝）
48	2060	2268	2271		皮-帽子（蓝）
49	2060	2273	2276		皮-帽子（蓝）
50	2060	2278	2281		皮-帽子（蓝）
51	2064	2259	2265		皮-帽子（绿）
52	2064	2263	2266		皮-帽子（绿）
53	2064	2269	2271		皮-帽子（绿）
54	2064	2274	2276		皮-帽子（绿）
55	2064	2279	2281		皮-帽子（绿）
56	2068	2260	2265		皮-帽子（黄）
57	2068	2264	2266		皮-帽子（黄）
58	2068	2270	2271		皮-帽子（黄）
59	2068	2275	2276		皮-帽子（黄）
60	2068	2280	2281		皮-帽子（黄）
61	268	2077	2077		木剑
62	268	2078	2078		木剑
63	268	2079	2079		木剑
64	268	2089	2089		木剑
65	268	2090	2090		木剑
66	268	2091	2091		木剑
67	267	2080	2080		铁剑
68	267	2081	2081		铁剑
69	267	2082	2082		铁剑
70	267	2092	2092		铁剑
71	267	2093	2093		铁剑
72	267	2094	2094		铁剑
73	283	2083	2083		金剑
74	283	2084	2084		金剑
75	283	2085	2085		金剑
76	283	2095	2095		金剑
77	283	2096	2096		金剑
78	283	2076	2076		金剑
79	276	2086	2086		钻石剑
80	276	2087	2087		钻石剑
81	276	2088	2088		钻石剑
82	261	2137	2137		弓
83	261	2138	2138		弓
84	261	2139	2139		弓
85	262	601	601		特效箭1
86	262	602	602		特效箭2
87	262	603	603		特效箭3
88	262	604	604		特效箭4
89	262	605	605		特效箭5
90	262	606	606		特效箭6
91	262	607	607		特效箭7
92	262	608	608		特效箭8
93	262	609	609		特效箭9
94	262	610	610		特效箭10
95	262	611	611		特效箭11
96	262	612	612		特效箭12
97	262	613	613		特效箭13
98	262	614	614		特效箭14
99	262	615	615		特效箭15
100	262	616	616		特效箭16
101	262	617	617		特效箭17
102	262	618	618		特效箭18
103	262	619	619		导弹
104	262	620	620		风眼
105	262	621	621		烟花箭
106	298	701	701		皮-帽子（青）
107	298	705	705		皮-帽子（白）
108	298	709	709		皮-帽子（粉）
109	298	713	713		皮-帽子（黑）
110	701	717	2265		皮-帽子（青）
111	701	721	2266		皮-帽子（青）
112	701	725	2271		皮-帽子（青）
113	701	728	2276		皮-帽子（青）
114	701	732	2281		皮-帽子（青）
115	705	718	2265		皮-帽子（白）
116	705	722	2266		皮-帽子（白）
117	705	726	2271		皮-帽子（白）
118	705	730	2276		皮-帽子（白）
119	705	734	2281		皮-帽子（白）
120	709	719	2265		皮-帽子（粉）
121	709	723	2266		皮-帽子（粉）
122	709	727	2271		皮-帽子（粉）
123	709	731	2276		皮-帽子（粉）
124	709	735	2281		皮-帽子（粉）
125	713	720	2265		皮-帽子（黑）
126	713	724	2266		皮-帽子（黑）
127	713	728	2271		皮-帽子（黑）
128	713	732	2276		皮-帽子（黑）
129	713	736	2281		皮-帽子（黑）
130	2056	737	901		电视机头盔
131	2060	738	901		电视机头盔
132	2064	739	901		电视机头盔
133	2068	740	901		电视机头盔
134	701	741	901		电视机头盔
135	705	742	901		电视机头盔
136	709	743	901		电视机头盔
137	713	744	901		电视机头盔
138	2056	745	902		床霸头盔
139	2060	746	902		床霸头盔
140	2064	747	902		床霸头盔
141	2068	748	902		床霸头盔
142	701	749	902		床霸头盔
143	705	750	902		床霸头盔
144	709	751	902		床霸头盔
145	713	752	902		床霸头盔
146	2056	753	903		食人花头盔
147	2060	754	903		食人花头盔
148	2064	755	903		食人花头盔
149	2068	756	903		食人花头盔
150	701	757	903		食人花头盔
151	705	758	903		食人花头盔
152	709	759	903		食人花头盔
153	713	760	903		食人花头盔
154	2056	761	904		圣诞头盔
155	2060	762	904		圣诞头盔
156	2064	763	904		圣诞头盔
157	2068	764	904		圣诞头盔
158	701	765	904		圣诞头盔
159	705	766	904		圣诞头盔
160	709	767	904		圣诞头盔
161	713	768	904		圣诞头盔
162	2056	769	905		鲨鱼头盔
163	2060	770	905		鲨鱼头盔
164	2064	771	905		鲨鱼头盔
165	2068	772	905		鲨鱼头盔
166	701	773	905		鲨鱼头盔
167	705	774	905		鲨鱼头盔
168	709	775	905		鲨鱼头盔
169	713	776	905		鲨鱼头盔
170	2056	777	906		法老头盔
171	2060	778	906		法老头盔
172	2064	779	906		法老头盔
173	2068	780	906		法老头盔
174	701	781	906		法老头盔
175	705	782	906		法老头盔
176	709	783	906		法老头盔
177	713	784	906		法老头盔
178	2056	785	907		气泡头盔
179	2060	786	907		气泡头盔
180	2064	787	907		气泡头盔
181	2068	788	907		气泡头盔
