序号	物品id	最大堆叠数	Unnamed: 3
id	itemId	maxStackSize	
1	1441	9999	
2	1442	9999	
3	1443	9999	
4	1444	9999	
5	1445	9999	
6	1446	9999	
7	1447	9999	
8	1448	9999	
9	1801	9999	
10	1802	9999	
11	1803	9999	
12	1804	9999	
13	1805	9999	
14	1807	9999	
15	1808	9999	
16	1809	9999	
17	1810	9999	
18	1811	9999	
19	1812	9999	
20	1813	9999	
21	1814	9999	
22	1815	9999	
23	1816	9999	
24	1817	9999	
25	1818	9999	
26	1819	9999	
27	1820	9999	
28	1821	9999	
29	1822	9999	
30	1823	9999	
31	1824	9999	
32	1825	9999	
33	1801	9999	
34	1802	9999	
35	1803	9999	
36	1804	9999	
37	1805	9999	
38	1807	9999	
39	1808	9999	
40	1809	9999	
41	1810	9999	
42	1811	9999	
43	1812	9999	
44	1813	9999	
45	1814	9999	
46	1815	9999	
47	1816	9999	
48	1817	9999	
49	1818	9999	
50	1819	9999	
51	1820	9999	
52	1821	9999	
53	1822	9999	
54	1823	9999	
55	1824	9999	
56	1825	9999	
57	1801	9999	
58	1802	9999	
59	1803	9999	
60	1804	9999	
61	1805	9999	
62	1807	9999	
63	1808	9999	
64	1809	9999	
65	1810	9999	
66	1811	9999	
67	1812	9999	
68	1813	9999	
69	1814	9999	
70	1815	9999	
71	1816	9999	
72	1817	9999	
73	1818	9999	
74	1819	9999	
75	1820	9999	
76	1821	9999	
77	1822	9999	
78	1823	9999	
79	1824	9999	
80	1825	9999	
81	1801	9999	
82	1802	9999	
83	1803	9999	
84	1804	9999	
85	1805	9999	
86	1807	9999	
87	1808	9999	
88	1809	9999	
89	1810	9999	
90	1811	9999	
91	1812	9999	
92	1813	9999	
93	1814	9999	
94	1815	9999	
95	1816	9999	
96	1817	9999	
97	1818	9999	
98	1819	9999	
99	1820	9999	
100	1821	9999	
101	1822	9999	
102	1823	9999	
103	1824	9999	
104	1825	9999	
105	1801	9999	
106	1802	9999	
107	1803	9999	
108	1804	9999	
109	1805	9999	
110	1807	9999	
111	1808	9999	
112	1809	9999	
113	1810	9999	
114	1811	9999	
115	1812	9999	
116	1813	9999	
117	1814	9999	
118	1815	9999	
119	1816	9999	
120	1817	9999	
121	1818	9999	
122	1819	9999	
123	1820	9999	
124	1821	9999	
125	1822	9999	
126	1823	9999	
127	1824	9999	
128	1825	9999	
129	1801	9999	
130	1802	9999	
131	1803	9999	
132	1804	9999	
133	1805	9999	
134	1807	9999	
135	1808	9999	
136	1809	9999	
137	1810	9999	
138	1811	9999	
139	1812	9999	
140	1813	9999	
141	1814	9999	
142	1815	9999	
143	1816	9999	
144	1817	9999	
145	1818	9999	
146	1819	9999	
147	1820	9999	
148	1821	9999	
149	1822	9999	
150	1823	9999	
151	1824	9999	
152	1825	9999	
153	1801	9999	
154	1802	9999	
155	1803	9999	
156	1804	9999	
157	1805	9999	
158	1807	9999	
159	1808	9999	
160	1809	9999	
161	1810	9999	
162	1811	9999	
163	1812	9999	
164	1813	9999	
165	1814	9999	
166	1815	9999	
167	1816	9999	
168	1817	9999	
169	1818	9999	
170	1819	9999	
171	1820	9999	
172	1821	9999	
173	1822	9999	
174	1823	9999	
175	1824	9999	
176	1825	9999	
177	1801	9999	
178	1802	9999	
179	1803	9999	
180	1804	9999	
181	1805	9999	
182	1807	9999	
183	1808	9999	
184	1809	9999	
185	1810	9999	
186	1811	9999	
187	1812	9999	
188	1813	9999	
189	1814	9999	
190	1815	9999	
191	1816	9999	
192	1817	9999	
193	1818	9999	
194	1819	9999	
195	1820	9999	
196	1821	9999	
197	1822	9999	
198	1823	9999	
199	1824	9999	
200	1825	9999	
201	1826	9999	
202	1827	9999	
203	1828	9999	
204	1829	9999	
205	1830	9999	
206	1831	9999	
207	1832	9999	
208	1833	9999	
209	1834	9999	
210	1835	9999	
211	1836	9999	
212	1837	9999	
213	1838	9999	
214	1839	9999	
215	1840	9999	
216	1841	9999	
217	1842	9999	
218	1843	9999	
219	1844	9999	
220	1845	9999	
221	1846	9999	
222	1847	9999	
223	1848	9999	
224	1849	9999	
225	1850	9999	
226	1851	9999	
227	1852	9999	
228	1853	9999	
229	1854	9999	
230	1855	9999	
231	1856	9999	
232	1857	9999	
233	1858	9999	
234	1859	9999	
235	1860	9999	
236	1861	9999	
237	1862	9999	
238	1863	9999	
239	1864	9999	
240	1865	9999	
241	1866	9999	
242	1867	9999	
243	1868	9999	
244	1869	9999	
245	1870	9999	
246	1871	9999	
247	1872	9999	
248	1873	9999	
249	1874	9999	
250	1875	9999	
251	1876	9999	
252	1877	9999	
253	1878	9999	
254	1879	9999	
255	1880	9999	
256	1881	9999	
257	1882	9999	
258	1883	9999	
259	1884	9999	
260	1885	9999	
261	1886	9999	
262	1887	9999	
263	1888	9999	
264	1889	9999	
265	1890	9999	
266	1891	9999	
267	1892	9999	
268	1893	9999	
269	1894	9999	
270	1895	9999	
271	1896	9999	
272	1897	9999	
273	1898	9999	
274	1899	9999	
275	1900	9999	
276	3001	9999	
277	3002	9999	
278	3003	9999	
279	3004	9999	
280	3005	9999	
281	3006	9999	
282	3007	9999	
283	3008	9999	
284	35	9999	羊毛
285	121	9999	末地石
