Index	Season	ItemID	ActorName	uiSkillName	Num	Price	CurrencyType	BuyLimit	LVLimit	Weight	Unnamed: 11	Unnamed: 12
序号	赛季	道具ID	道具模型名字	UI上播的动作	数量	价格	货币类型（1魔方，5钥匙，6通行证货币）	限购次数	等级限制	权重		
Index	Season	ItemId	ActorName	uiSkillName	Num	Price	CurrencyType	BuyLimit	LVLimit	Weight		
1	1	60106	#	#	1	10	6	100	1	1		紫色宝箱
2	1	60105	#	#	20	10	6	3	1	2		钥匙
3	1	60337	#	#	1	50	6	2	10	3		铁锭Ⅱ
4	1	60325	#	#	1	50	6	2	10	4		暴击Ⅱ
5	1	60339	#	#	1	50	6	2	10	5		羊毛Ⅱ
6	1	6012	#	#	1	150	6	1	30	6		心箭
7	1	6003	#	#	1	150	6	1	30	7		光箭
8	1	5006	#	#	1	100	6	1	30	8		棒球手
9	2	60107	#	#	1	10	6	999	1	1		武器宝箱
10	2	60108	#	#	1	10	6	999	1	2		工具宝箱
11	2	60109	#	#	1	20	6	999	1	3		头盔宝箱
12	2	60110	#	#	1	10	6	999	1	4		特权宝箱
13	2	60111	#	#	1	20	6	999	1	5		符文宝箱
14	2	60105	#	#	20	10	6	3	1	6		钥匙
15	2	6007	#	#	1	150	6	1	30	7		魔法箭
16	2	5011	#	#	1	100	6	1	30	8		你过来啊
17	3	60107	#	#	1	10	6	999	1	1		武器宝箱
18	3	60108	#	#	1	10	6	999	1	2		工具宝箱
19	3	60109	#	#	1	20	6	999	1	3		头盔宝箱
20	3	60110	#	#	1	10	6	999	1	4		特权宝箱
21	3	60111	#	#	1	20	6	999	1	5		符文宝箱
22	3	60105	#	#	20	10	6	3	1	6		钥匙
23	3	6014	#	#	1	150	6	1	30	7		闪电箭
24	3	5003	#	#	1	100	6	1	30	8		闪耀登场
25	4	60107	#	#	1	10	6	999	1	1		武器宝箱
26	4	60108	#	#	1	10	6	999	1	2		工具宝箱
27	4	60109	#	#	1	20	6	999	1	3		头盔宝箱
28	4	60110	#	#	1	10	6	999	1	4		特权宝箱
29	4	60111	#	#	1	20	6	999	1	5		符文宝箱
30	4	60105	#	#	20	10	6	3	1	6		钥匙
31	4	6008	#	#	1	150	6	1	30	7		雷电箭
32	4	5005	#	#	1	200	6	1	30	8		托马斯回旋
33	5	60107	#	#	1	10	6	999	1	1		武器宝箱
34	5	60108	#	#	1	10	6	999	1	2		工具宝箱
35	5	60109	#	#	1	20	6	999	1	3		头盔宝箱
36	5	60110	#	#	1	10	6	999	1	4		特权宝箱
37	5	60111	#	#	1	20	6	999	1	5		符文宝箱
38	5	60105	#	#	20	10	6	3	1	6		钥匙
39	5	6013	#	#	1	180	6	1	30	7		螺旋箭
40	5	5016	#	#	1	220	6	1	30	8		摇摆
41	6	60107	#	#	1	10	6	999	1	1		武器宝箱
42	6	60108	#	#	1	10	6	999	1	2		工具宝箱
43	6	60109	#	#	1	20	6	999	1	3		头盔宝箱
44	6	60110	#	#	1	10	6	999	1	4		特权宝箱
45	6	60111	#	#	1	20	6	999	1	5		符文宝箱
46	6	60105	#	#	20	10	6	3	1	6		钥匙
47	6	6004	#	#	1	180	6	1	30	7		火箭
48	6	5012	#	#	1	220	6	1	30	8		倒立
49	7	60107	#	#	1	10	6	999	1	1		武器宝箱
50	7	60108	#	#	1	10	6	999	1	2		工具宝箱
51	7	60109	#	#	1	20	6	999	1	3		头盔宝箱
52	7	60110	#	#	1	10	6	999	1	4		特权宝箱
53	7	60111	#	#	1	20	6	999	1	5		符文宝箱
54	7	60105	#	#	20	10	6	3	1	6		钥匙
55	7	6007	#	#	1	180	6	1	30	7		魔法箭
56	7	5013	#	#	1	220	6	1	30	8		蹬腿舞
57	8	60107	#	#	1	10	6	999	1	1		武器宝箱
58	8	60108	#	#	1	10	6	999	1	2		工具宝箱
59	8	60109	#	#	1	20	6	999	1	3		头盔宝箱
60	8	60110	#	#	1	10	6	999	1	4		特权宝箱
61	8	60111	#	#	1	20	6	999	1	5		符文宝箱
62	8	60105	#	#	20	10	6	3	1	6		钥匙
63	8	6005	#	#	1	100	6	1	30	7		幽火箭
64	8	5017	#	#	1	220	6	1	30	8		骑马
68	9	60110	#	#	1	10	6	999	1	4		特权宝箱
69	9	60111	#	#	1	20	6	999	1	5		符文宝箱
70	9	60105	#	#	20	10	6	3	1	6		钥匙
71	9	6018	#	#	1	180	6	1	30	7		等离子
72	9	5015	#	#	1	220	6	1	30	8		甩手舞
73	10	60115	#	#	1	10	6	999	1	4		道具宝箱
74	10	60110	#	#	1	10	6	999	1	4		特权宝箱
75	10	60111	#	#	1	20	6	999	1	5		符文宝箱
76	10	60105	#	#	20	10	6	3	1	6		钥匙
77	10	6008	#	#	1	180	6	1	30	7		雷电箭
78	10	5004	#	#	1	220	6	1	30	8		秀肌肉
79	11	60115	#	#	1	10	6	999	1	4		道具宝箱
80	11	60110	#	#	1	10	6	999	1	4		特权宝箱
81	11	60111	#	#	1	20	6	999	1	5		符文宝箱
82	11	60105	#	#	20	10	6	3	1	6		钥匙
83	11	6001	#	#	1	180	6	1	30	7		冰晶箭
84	11	5011	#	#	1	220	6	1	30	8		你过来啊
