行为ID	策略类型	AI类型	近战/远程	强度	激活范围	追击范围	远程攻击范围	近战攻击范围	能否近战	能否远程	跳跃时间间隔	近战伤害时间间隔	远程攻击时间间隔	远程命中率	射箭伤害	火焰弹cd	追击速度	切换远程的范围	检测追逐的范围	追逐时间	切换目标参数	拆家时有效方块范围	拆家前破坏方块数量	在家待机时间	游戏开局待机时间	收集资源激活范围
id	tacticsType				activityRange	followRange	archeryRange	meleeRange	canDoMelee	canDoRangedAttack	jumpCd	attackCd	archeryCd	archeryHitRate	archeryDamage	boomCd	followSpeed	archeryRangeLow	checkFollowRange	followTime	dangerDistance	BreakBlockRange	needBreakBlockNum	idleTime	initIdleTime	resourceActiveRange
101010	BedWar_ActiveAttack	进攻	近战	1.0	35	30	25	3	1	0	10#15	1#3	3#6	0.3	3#5	10	-40	12	8	8	1	3	6	17	58	30
101020	BedWar_ActiveAttack	进攻	近战	2.0	35	30	25	3	1	0	10#15	1#3	3#6	0.3	3#5	10	-30	12	8	8	1	3	5	14	46	30
101030	BedWar_ActiveAttack	进攻	近战	3.0	35	30	25	3	1	0	10#15	1#3	3#6	0.3	3#5	10	-20	12	8	8	1	3	4	11	34	30
101040	BedWar_ActiveAttack	进攻	近战	4.0	35	30	25	3	1	0	10#15	1#3	3#6	0.3	3#5	10	-10	12	8	8	1	3	3	8	22	30
102010	BedWar_ActiveAttack	进攻	远程	1.0	35	30	25	3	0	1	10#15	1#3	3#6	0.3	3#5	10	-40	12	8	8	1	3	6	17	58	30
102020	BedWar_ActiveAttack	进攻	远程	2.0	35	30	25	3	0	1	10#15	1#3	3#6	0.3	3#5	10	-30	12	8	8	1	3	5	14	46	30
102030	BedWar_ActiveAttack	进攻	远程	3.0	35	30	25	3	0	1	10#15	1#3	3#6	0.3	3#5	10	-20	12	8	8	1	3	4	11	34	30
102040	BedWar_ActiveAttack	进攻	远程	4.0	35	30	25	3	0	1	10#15	1#3	3#6	0.3	3#5	10	-10	12	8	8	1	3	3	8	22	30
201010	BedWar_Rush	拆家	近战	1.0	35	30	25	3	1	0	10#15	1#3	3#6	0.3	3#5	10	-40	12	8	8	1	3	6	17	63	30
201020	BedWar_Rush	拆家	近战	2.0	35	30	25	3	1	0	10#15	1#3	3#6	0.3	3#5	10	-30	12	8	8	1	3	5	14	56	30
201030	BedWar_Rush	拆家	近战	3.0	35	30	25	3	1	0	10#15	1#3	3#6	0.3	3#5	10	-20	12	8	8	1	3	4	11	49	30
201040	BedWar_Rush	拆家	近战	4.0	35	30	25	3	1	0	10#15	1#3	3#6	0.3	3#5	10	-10	12	8	8	1	3	3	8	42	30
202010	BedWar_Rush	拆家	远程	1.0	35	30	25	3	0	1	10#15	1#3	3#6	0.3	3#5	10	-40	12	8	8	1	3	6	17	63	30
202020	BedWar_Rush	拆家	远程	2.0	35	30	25	3	0	1	10#15	1#3	3#6	0.3	3#5	10	-30	12	8	8	1	3	5	14	56	30
202030	BedWar_Rush	拆家	远程	3.0	35	30	25	3	0	1	10#15	1#3	3#6	0.3	3#5	10	-20	12	8	8	1	3	4	11	49	30
202040	BedWar_Rush	拆家	远程	4.0	35	30	25	3	0	1	10#15	1#3	3#6	0.3	3#5	10	-10	12	8	8	1	3	3	8	42	30
301010	BedWar_Collect	采集	近战	1.0	35	30	25	3	1	0	10#15	1#3	3#6	0.3	3#5	10	-40	12	8	8	1	3	6	17	58	30
301020	BedWar_Collect	采集	近战	2.0	35	30	25	3	1	0	10#15	1#3	3#6	0.3	3#5	10	-30	12	8	8	1	3	5	14	46	30
301030	BedWar_Collect	采集	近战	3.0	35	30	25	3	1	0	10#15	1#3	3#6	0.3	3#5	10	-20	12	8	8	1	3	4	11	34	30
301040	BedWar_Collect	采集	近战	4.0	35	30	25	3	1	0	10#15	1#3	3#6	0.3	3#5	10	-10	12	8	8	1	3	3	8	22	30
302010	BedWar_Collect	采集	远程	1.0	35	30	25	3	0	1	10#15	1#3	3#6	0.3	3#5	10	-40	12	8	8	1	3	6	17	58	30
302020	BedWar_Collect	采集	远程	2.0	35	30	25	3	0	1	10#15	1#3	3#6	0.3	3#5	10	-30	12	8	8	1	3	5	14	46	30
302030	BedWar_Collect	采集	远程	3.0	35	30	25	3	0	1	10#15	1#3	3#6	0.3	3#5	10	-20	12	8	8	1	3	4	11	34	30
302040	BedWar_Collect	采集	远程	4.0	35	30	25	3	0	1	10#15	1#3	3#6	0.3	3#5	10	-10	12	8	8	1	3	3	8	22	30
401010	BedWar_DF	防守	近战	1.0	35	30	25	3	1	0	10#15	1#3	3#6	0.3	3#5	10	-40	12	8	8	1	3	6	17	58	30
401020	BedWar_DF	防守	近战	2.0	35	30	25	3	1	0	10#15	1#3	3#6	0.3	3#5	10	-30	12	8	8	1	3	5	14	46	30
401030	BedWar_DF	防守	近战	3.0	35	30	25	3	1	0	10#15	1#3	3#6	0.3	3#5	10	-20	12	8	8	1	3	4	11	34	30
401040	BedWar_DF	防守	近战	4.0	35	30	25	3	1	0	10#15	1#3	3#6	0.3	3#5	10	-10	12	8	8	1	3	3	8	22	30
