索引	物品组ID	物品ID	数量	是否核心物品	物品名称	类型	近战/远程	AI强度	Unnamed: 9	Unnamed: 10	Unnamed: 11	Unnamed: 12	Unnamed: 13	Unnamed: 14	Unnamed: 15	Unnamed: 16	Unnamed: 17	Unnamed: 18	Unnamed: 19	Unnamed: 20	Unnamed: 21	Unnamed: 22
Id	groupId	itemId	num	isCore																		
1	101010	267	0	0	铁剑	进攻	近战	1.0			行为ID	类型	近战/远程	强度				强度	1.0	2.0	3.0	4.0
2	101010	283	0	0	金剑	进攻	近战	1.0			101010	进攻	近战	1			进攻	铁剑	0.0	1.0	0.0	0.0
3	101010	276	0	0	钻石剑	进攻	近战	1.0			101020	进攻	近战	2			进攻	金剑	0.0	0.0	1.0	0.0
4	101010	35	8	0	白色羊毛	进攻	近战	1.0			101030	进攻	近战	3			进攻	钻石剑	0.0	0.0	0.0	1.0
5	101010	506	1	0	火焰弹	进攻	近战	1.0			101040	进攻	近战	4			进攻	白色羊毛	8.0	16.0	24.0	32.0
6	101010	507	1	0	救援平台	进攻	近战	1.0			102010	进攻	远程	1			进攻	火焰弹	1.0	2.0	3.0	4.0
7	101010	508	1	0	金苹果	进攻	近战	1.0			102020	进攻	远程	2			进攻	救援平台	1.0	1.0	1.0	1.0
8	101010	265	8	0	铁锭	进攻	近战	1.0			102030	进攻	远程	3			进攻	金苹果	1.0	1.0	1.0	1.0
9	101010	266	2	0	金锭	进攻	近战	1.0			102040	进攻	远程	4			进攻	铁锭	8.0	12.0	16.0	20.0
10	101010	261	0	0	弓	进攻	近战	1.0			201010	拆家	近战	1			进攻	金锭	2.0	4.0	6.0	8.0
11	101010	262	0	0	箭	进攻	近战	1.0			201020	拆家	近战	2			进攻	弓	0.0	0.0	1.0	1.0
12	101020	267	1	0	铁剑	进攻	近战	2.0			201030	拆家	近战	3			进攻	箭	0.0	0.0	8.0	16.0
13	101020	283	0	0	金剑	进攻	近战	2.0			201040	拆家	近战	4			拆家	铁剑	0.0	1.0	0.0	0.0
14	101020	276	0	0	钻石剑	进攻	近战	2.0			202010	拆家	远程	1			拆家	金剑	0.0	0.0	1.0	0.0
15	101020	35	16	0	白色羊毛	进攻	近战	2.0			202020	拆家	远程	2			拆家	钻石剑	0.0	0.0	0.0	1.0
16	101020	506	2	0	火焰弹	进攻	近战	2.0			202030	拆家	远程	3			拆家	白色羊毛	8.0	16.0	24.0	32.0
17	101020	507	1	0	救援平台	进攻	近战	2.0			202040	拆家	远程	4			拆家	火焰弹	1.0	2.0	3.0	4.0
18	101020	508	1	0	金苹果	进攻	近战	2.0			301010	采集	近战	1			拆家	救援平台	1.0	1.0	1.0	1.0
19	101020	265	12	0	铁锭	进攻	近战	2.0			301020	采集	近战	2			拆家	金苹果	1.0	1.0	1.0	1.0
20	101020	266	4	0	金锭	进攻	近战	2.0			301030	采集	近战	3			拆家	铁锭	8.0	12.0	16.0	20.0
21	101020	261	0	0	弓	进攻	近战	2.0			301040	采集	近战	4			拆家	金锭	2.0	4.0	6.0	8.0
22	101020	262	0	0	箭	进攻	近战	2.0			302010	采集	远程	1			拆家	弓	0.0	0.0	1.0	1.0
23	101030	267	0	0	铁剑	进攻	近战	3.0			302020	采集	远程	2			拆家	箭	0.0	0.0	8.0	16.0
24	101030	283	1	0	金剑	进攻	近战	3.0			302030	采集	远程	3			采集	铁剑	0.0	1.0	0.0	0.0
25	101030	276	0	0	钻石剑	进攻	近战	3.0			302040	采集	远程	4			采集	金剑	0.0	0.0	1.0	0.0
26	101030	35	24	0	白色羊毛	进攻	近战	3.0			401010	防守	近战	1			采集	钻石剑	0.0	0.0	0.0	1.0
27	101030	506	3	0	火焰弹	进攻	近战	3.0			401020	防守	近战	2			采集	白色羊毛	8.0	16.0	24.0	32.0
28	101030	507	1	0	救援平台	进攻	近战	3.0			401030	防守	近战	3			采集	火焰弹	1.0	2.0	3.0	4.0
29	101030	508	1	0	金苹果	进攻	近战	3.0			401040	防守	近战	4			采集	救援平台	1.0	1.0	1.0	1.0
30	101030	265	16	0	铁锭	进攻	近战	3.0			402010	防守	远程	1			采集	金苹果	1.0	1.0	1.0	1.0
31	101030	266	6	0	金锭	进攻	近战	3.0			402020	防守	远程	2			采集	铁锭	8.0	12.0	16.0	20.0
32	101030	261	1	0	弓	进攻	近战	3.0			402030	防守	远程	3			采集	金锭	2.0	4.0	6.0	8.0
33	101030	262	8	0	箭	进攻	近战	3.0			402040	防守	远程	4			采集	钻石	3.0	4.0	5.0	6.0
34	101040	267	0	0	铁剑	进攻	近战	4.0									采集	绿宝石	2.0	3.0	3.0	4.0
35	101040	283	0	0	金剑	进攻	近战	4.0									防守	铁剑	0.0	1.0	0.0	0.0
36	101040	276	1	0	钻石剑	进攻	近战	4.0									防守	金剑	0.0	0.0	1.0	0.0
37	101040	35	32	0	白色羊毛	进攻	近战	4.0									防守	钻石剑	0.0	0.0	0.0	1.0
38	101040	506	4	0	火焰弹	进攻	近战	4.0									防守	白色羊毛	8.0	16.0	24.0	32.0
39	101040	507	1	0	救援平台	进攻	近战	4.0									防守	火焰弹	0.0	0.0	0.0	0.0
40	101040	508	1	0	金苹果	进攻	近战	4.0									防守	救援平台	0.0	0.0	0.0	0.0
41	101040	265	20	0	铁锭	进攻	近战	4.0									防守	金苹果	0.0	0.0	0.0	0.0
42	101040	266	8	0	金锭	进攻	近战	4.0									防守	铁锭	8.0	12.0	16.0	20.0
43	101040	261	1	0	弓	进攻	近战	4.0									防守	金锭	2.0	4.0	6.0	8.0
44	101040	262	16	0	箭	进攻	近战	4.0									防守	弓	0.0	0.0	1.0	1.0
45	102010	267	0	0	铁剑	进攻	远程	1.0									防守	箭	0.0	0.0	8.0	16.0
46	102010	283	0	0	金剑	进攻	远程	1.0														
47	102010	276	0	0	钻石剑	进攻	远程	1.0														
48	102010	35	8	0	白色羊毛	进攻	远程	1.0														
49	102010	506	1	0	火焰弹	进攻	远程	1.0														
50	102010	507	1	0	救援平台	进攻	远程	1.0														
51	102010	508	1	0	金苹果	进攻	远程	1.0														
52	102010	265	8	0	铁锭	进攻	远程	1.0														
53	102010	266	2	0	金锭	进攻	远程	1.0														
54	102010	261	0	0	弓	进攻	远程	1.0														
55	102010	262	0	0	箭	进攻	远程	1.0														
56	102020	267	1	0	铁剑	进攻	远程	2.0														
57	102020	283	0	0	金剑	进攻	远程	2.0														
58	102020	276	0	0	钻石剑	进攻	远程	2.0														
59	102020	35	16	0	白色羊毛	进攻	远程	2.0														
60	102020	506	2	0	火焰弹	进攻	远程	2.0														
