ID	道具类型（1：道具；2：药水Buff ，3 ：自定义道具）	死亡复活是否重复作用	道具ID	道具meta	道具数量	道具附魔属性（ID1=LV1#ID2=LV2）	药水Buff（ID1=LV1=Time1#ID2=LV2=Time1）	增加的最大生命
id	type	isRepeat	itemId	itemMeta	itemNum	enchants	effects	extraHp
game.props.19	1	0	265	0	20	#	#	#
game.props.20	1	0	266	0	10	#	#	#
game.props.21	3	1	#	0	#	#	#	10
game.props.22	1	0	368	0	3	#	#	0
Advertisement_g1008_gold.ingot_16	1	0	35	0	16	#	#	#
Advertisement_g1008_golden.apple_1	1	0	508	0	1	#	#	#
Advertisement_g1008_tnt_1	1	0	46	0	1	#	#	#
Advertisement_g1008_gold.ingot_7	1	0	266	0	7	#	#	#
Advertisement_g1008_iron.ingot_20	1	0	265	0	20	#	#	#
Advertisement_g1008_flash.pearl_3	1	0	368	0	3	#	#	#
