id	blindBoxId	groupId	hint	rewardCount	Unnamed: 5	Unnamed: 6
索引id	盲盒Id	奖励组Id	提示语多语言	抽出奖励个数		
id	blindBoxId	groupId	hint	lotteryCount		
1	4	1001	BlindBoxRewardList_g1008_1001	1		大奖：从以下列表中随机抽取（不重复）
6	4	1002	BlindBoxRewardList_g1008_1002	1		礼物2：从以下列表中随机抽取
11	5	2001	BlindBoxRewardList_g1008_2001	1		大奖：从以下列表中随机抽取（不重复）
16	5	2002	BlindBoxRewardList_g1008_2002	1		礼物2：从以下列表中随机抽取
22	5	2003	BlindBoxRewardList_g1008_2003	1		礼物3：从以下列表中随机抽取
48	6	3001	BlindBoxRewardList_g1008_3001	1		大奖：从以下列表中随机抽取（不重复）
53	6	3002	BlindBoxRewardList_g1008_3002	1		礼物2：从以下列表中随机抽取
58	6	3003	BlindBoxRewardList_g1008_3003	1		礼物3：从以下列表中随机抽取
63	6	3004	BlindBoxRewardList_g1008_3004	1		礼物4：从以下列表中随机抽取
68	6	3005	BlindBoxRewardList_g1008_3005	1		礼物5：从以下列表中随机抽取
