序号	奖品组id	真实奖励id	数量	图片	品质	图片缩放（填#为原始大小）	奖励类型	奖品名多语言	奖品描述多语言	Unnamed: 10	Unnamed: 11	Unnamed: 12	Unnamed: 13	Unnamed: 14	Unnamed: 15	Unnamed: 16	Unnamed: 17	Unnamed: 18
seq	groupId	realId	num	image	quality	imageScale	type	name	desc									
10001	300003	30007	20	set:bedwaritem.json image:TNT	yellow	1	RewardSetting	ShopConfig_name_5	DressSetting_des_30007	TNT								
10002	300003	30004	3	set:bedwar_xindaoju.json image:g1008_dragon_knight	yellow	1	RewardSetting	CommodityMechant_name_5_66	CommodityMechant_desc_5_66	末影龙卷轴				奖励类型				
10003	300003	30010	50	set:bedwar_item.json image:g1008_props_flameBomb	yellow	1	RewardSetting	CommodityMechant_name_5_49	CommodityMechant_desc_5_49	火焰弹				所有的武器	Gun			yellow
10004	300003	60101	200	set:icon_haojiao.json image:yaoshi	yellow	1	RewardSetting	LicenseReward_Name_60101	LicenseReward_desc_60101	钥匙				武器碎片	GunChip			purple
10005	300004	30003	30	set:bedwar_xindaoju.json image:g1008_paragliders	yellow	1	RewardSetting	CommodityMechant_name_5_69	CommodityMechant_desc_5_69	滑翔伞				道具	Prop			blue
10006	300004	30011	100	set:bedwar_item.json image:g1008_props_goldenApple	yellow	1	RewardSetting	CommodityMechant_name_5_55	CommodityMechant_desc_5_55	金苹果				道具碎片	PropChip			
10007	300004	30006	20	set:bedwaritem.json image:heiyaoshi	yellow	1	RewardSetting	ShopConfig_name_4	DressSetting_des_30006	黑曜石				金币	Currency			
10008	300004	60101	200	set:icon_haojiao.json image:yaoshi	yellow	1	RewardSetting	LicenseReward_Name_60101	LicenseReward_desc_60101	钥匙				钥匙	YaoShi			
10009	300005	30004	3	set:bedwar_xindaoju.json image:g1008_dragon_knight	yellow	1	RewardSetting	CommodityMechant_name_5_66	CommodityMechant_desc_5_66	末影龙卷轴				武器强化券	Ticket 			
10010	300005	30002	2000	set:bedwar_item.json image:g1008_props_iron	yellow	1	RewardSetting	ShopConfig_name_2	ShopConfig_name_2	铁锭				特权	Privilege			
10011	300005	30001	400	set:bedwar_item.json image:g1008_props_gold	yellow	1	RewardSetting	ShopConfig_name_1	ShopConfig_name_1	金锭				reward表	RewardSetting			
10012	300005	60101	200	set:icon_haojiao.json image:yaoshi	yellow	1	RewardSetting	LicenseReward_Name_60101	LicenseReward_desc_60101	钥匙								
10013	300006	30007	20	set:bedwaritem.json image:TNT	yellow	1	RewardSetting	ShopConfig_name_5	DressSetting_des_30007	TNT								
10014	300006	30005	12	set:bedwar_item.json image:g1008_props_stick	yellow	1	RewardSetting	ShopConfig_name_3	ShopConfig_desc_3	击退棒								
10015	300006	30016	100	set:bedwar_xindaoju.json image:g1008_diamond_mines	yellow	1	RewardSetting	CommodityMechant_name_5_70	CommodityMechant_desc_5_70	伪装地雷								
