ActorName	Width	Length	Height	Scale	Remark	Unnamed: 6	Unnamed: 7
Actor文件名	宽度（>0）	长度（>0）	高度（>0）	缩放	备注信息		信息显示高度
g1008_diamond.actor	1	1	2.4				钻石资源点
g1008_radar.actor	1	1	0.7				雷达
585.item	1	1	1.1				伪装地雷
g1008_traps.actor	1	1	0.7				冰冻夹子
g1008_camouflage_double_red.actor	1	1	2				替身傀儡1
g1008_camouflage_double_blue.actor	1	1	2				替身傀儡2
g1008_camouflage_double_green.actor	1	1	2				替身傀儡3
g1008_camouflage_double_yellow.actor	1	1	2				替身傀儡4
g1008_camouflage_double_cyan.actor	1	1	2				替身傀儡5
g1008_camouflage_double_white.actor	1	1	2				替身傀儡6
g1008_camouflage_double_pink.actor	1	1	2				替身傀儡7
g1008_camouflage_double_gray.actor	1	1	2				替身傀儡8
