索引ID	方块ID	可破坏的工具Id	Unnamed: 3	Unnamed: 4	备注.1	备注.2
Id	BlockId	BreakToolId				
1	19	-1			海绵	不能破坏
2	107	-1			栅栏门	不能破坏
3	49	278			黑曜石	钻石镐
4	49	2123			黑曜石	钻石镐(皮肤)
5	49	2124			黑曜石	钻石镐(皮肤)
6	49	2125			黑曜石	钻石镐(皮肤)
7	49	2135			黑曜石	钻石镐(皮肤)
8	1876	278				
9	1877	278				
10	1878	278				
11	1879	278				
12	1880	278				
13	1881	278				
14	1882	278				
15	1883	278				
16	1884	278				
17	1885	278				
18	1886	278				
19	1887	278				
20	1888	278				
21	1889	278				
22	1890	278				
23	1891	278				
24	1892	278				
25	1893	278				
26	1894	278				
27	1895	278				
28	1896	278				
29	1897	278				
30	1898	278				
31	1899	278				
32	1900	278				
33	1876	2123				
34	1877	2123				
35	1878	2123				
36	1879	2123				
37	1880	2123				
38	1881	2123				
39	1882	2123				
40	1883	2123				
41	1884	2123				
42	1885	2123				
43	1886	2123				
44	1887	2123				
45	1888	2123				
46	1889	2123				
47	1890	2123				
48	1891	2123				
49	1892	2123				
50	1893	2123				
51	1894	2123				
52	1895	2123				
53	1896	2123				
54	1897	2123				
55	1898	2123				
56	1899	2123				
57	1900	2123				
58	1876	2124				
59	1877	2124				
60	1878	2124				
61	1879	2124				
62	1880	2124				
63	1881	2124				
64	1882	2124				
65	1883	2124				
66	1884	2124				
67	1885	2124				
68	1886	2124				
69	1887	2124				
70	1888	2124				
71	1889	2124				
72	1890	2124				
73	1891	2124				
74	1892	2124				
75	1893	2124				
76	1894	2124				
77	1895	2124				
78	1896	2124				
79	1897	2124				
80	1898	2124				
81	1899	2124				
82	1900	2124				
83	1876	2125				
84	1877	2125				
85	1878	2125				
86	1879	2125				
87	1880	2125				
88	1881	2125				
89	1882	2125				
90	1883	2125				
91	1884	2125				
92	1885	2125				
93	1886	2125				
94	1887	2125				
95	1888	2125				
96	1889	2125				
97	1890	2125				
98	1891	2125				
99	1892	2125				
100	1893	2125				
101	1894	2125				
102	1895	2125				
103	1896	2125				
104	1897	2125				
105	1898	2125				
106	1899	2125				
107	1900	2125				
108	1876	2135				
109	1877	2135				
110	1878	2135				
111	1879	2135				
112	1880	2135				
113	1881	2135				
114	1882	2135				
115	1883	2135				
116	1884	2135				
117	1885	2135				
118	1886	2135				
119	1887	2135				
120	1888	2135				
121	1889	2135				
122	1890	2135				
123	1891	2135				
124	1892	2135				
125	1893	2135				
126	1894	2135				
127	1895	2135				
128	1896	2135				
129	1897	2135				
130	1898	2135				
131	1899	2135				
132	1900	2135				
