特效id	头顶特效	头顶特效比例	头顶特效持续时间	信号弹特效	信号弹特效比例	信号弹特飞行速度 每秒飞行距离	信号弹爆炸高度,相对	爆炸特效	爆炸持续时间	Unnamed: 10	Unnamed: 11	Unnamed: 12
id	headEffect	headScale	headDuration	flaresEffect	flaresScale	flaresSpeed	boomHeight	boomEffect	boomDuration			
1	signal_attack_4.effect	1	1.5	signal_attack_1a.effect	1	8	10	signal_attack_1b.effect	2			
2	signal_attack_4.effect	1	1.5	signal_attack_2a.effect	1	8	10	signal_attack_2b.effect	2			快捷指令-信号弹特效表
3	signal_attack_4.effect	1	1.5	signal_attack_3a.effect	1	8	10	signal_attack_3b.effect	2			需联表使用
4	signal_retreat_4.effect	1	1.5	signal_retreat_1a.effect	1	8	10	signal_retreat_1b.effect	2			CommandSetting
5	signal_retreat_4.effect	1	1.5	signal_retreat_2a.effect	1	8	10	signal_retreat_2b.effect	2			
6	signal_retreat_4.effect	1	1.5	signal_retreat_3a.effect	1	8	10	signal_retreat_3b.effect	2			
7	signal_muster_4.effect	1	1.5	signal_muster_1a.effect	1	8	10	signal_muster_1b.effect	2			
8	signal_muster_4.effect	1	1.5	signal_muster_2a.effect	1	8	10	signal_muster_2b.effect	2			
9	signal_muster_4.effect	1	1.5	signal_muster_3a.effect	1	8	10	signal_muster_3b.effect	2			
10	signal_sos_4.effect	1	1.5	signal_sos_1a.effect	1	8	10	signal_sos_1b.effect	2			
11	signal_sos_4.effect	1	1.5	signal_sos_2a.effect	1	8	10	signal_sos_2b.effect	2			
12	signal_sos_4.effect	1	1.5	signal_sos_3a.effect	1	8	10	signal_sos_3b.effect	2			
