序号	怪物类型	模型	逻辑帧间隔（100ms）	最大存在数量	生命值	回血属性 /s	存活时间(s)  无限:-1	自定义参数	参数描述	巡逻速度	巡逻间隔时间	巡逻半径	追击速度	追击半径	攻击力	攻击半径	攻击间隔	击退距离	击飞高度	死亡后模型消失延迟(ms)	字体显示目标 1：自己，2：队友，3：敌人	模型显示的目标	禁止点击	禁止碰撞检测	Unnamed: 17	怪物名
id	Type	Actor	FrameTime	MaxNum	Hp	recoveryHp	LifeTime	param		PatrolSpeed	PatrolInterval	PatrolRadius	FollowSpeed	FollowRadius	Attack	AttackRadius	AttackInterval	Repel	Knock	dieDelay	textShowTarget	actorShowTarget	banClicked	banAABBCheck		
1	1	g1008_tiekuilei.actor	100	5	100	0	1000	#	无	2	5	4	5	15	5	2	1	1	3	2000	1#2#3	1#2#3	0	0		铁傀儡
2	2	g1008_nangchong.actor	100	10	10	0	20	#	无	5	5	5	10	20	2	2	1	1	1	2000	1#2#3	1#2#3	0	0		囊虫
3	3	g1008_radar.actor	100	999	20	-0.1666	120	15#2	检测范围#警报屏幕持续时间	0	0	0	0	0	0	0	0	0	0	800	1#2#3	1#2#3	0	0		报警器
4	5	585.item	100	999	-1	0	90	1#5#1	触发范围#爆炸伤害#爆炸范围	0	0	0	0	0	0	0	0	0	0	0	1#2	1#2	1	1		钻石地雷
5	6	g1008_traps.actor	100	999	-1	0	90	0.6#0.1#0.8	触发范围#伤害#冰冻时间	0	0	0	0	0	0	0	0	0	0	0	1#2	1#2	1	1		冰冻陷阱
6	4	g1008_camouflage_double_red.actor	100	1	20	-0.2222	90	1#1#1#1	队伍#检查范围x#y#z	0	0	0	0	0	0	0	0	0	0	1500	1#2#3	1#2#3	0	0		傀儡(红)
7	4	g1008_camouflage_double_blue.actor	100	1	20	-0.2222	90	2#1#1#1	队伍#检查范围x#y#z	0	0	0	0	0	0	0	0	0	0	1500	1#2#3	1#2#3	0	0		傀儡(蓝)
8	4	g1008_camouflage_double_green.actor	100	1	20	-0.2222	90	3#1#1#1	队伍#检查范围x#y#z	0	0	0	0	0	0	0	0	0	0	1500	1#2#3	1#2#3	0	0		傀儡(绿)
9	4	g1008_camouflage_double_yellow.actor	100	1	20	-0.2222	90	4#1#1#1	队伍#检查范围x#y#z	0	0	0	0	0	0	0	0	0	0	1500	1#2#3	1#2#3	0	0		傀儡(黄)
10	4	g1008_camouflage_double_cyan.actor	100	1	20	-0.2222	90	5#1#1#1	队伍#检查范围x#y#z	0	0	0	0	0	0	0	0	0	0	1500	1#2#3	1#2#3	0	0		傀儡(青)
11	4	g1008_camouflage_double_white.actor	100	1	20	-0.2222	90	6#1#1#1	队伍#检查范围x#y#z	0	0	0	0	0	0	0	0	0	0	1500	1#2#3	1#2#3	0	0		傀儡(白)
12	4	g1008_camouflage_double_pink.actor	100	1	20	-0.2222	90	7#1#1#1	队伍#检查范围x#y#z	0	0	0	0	0	0	0	0	0	0	1500	1#2#3	1#2#3	0	0		傀儡(粉)
13	4	g1008_camouflage_double_gray.actor	100	1	20	-0.2222	90	8#1#1#1	队伍#检查范围x#y#z	0	0	0	0	0	0	0	0	0	0	1500	1#2#3	1#2#3	0	0		傀儡(灰)
