NPC_ID	mapId	NPC模型	NPC名称（多语言）	NPC（x坐标）	NPC（y坐标）	NPC（z坐标）	NPC转向	NPC类型（1：道具商人，2：升级商人）	Unnamed: 9	备注	放setting表
Id	mapId	Actor	Name	X	Y	Z	Yaw	Type			
1	1	npc103.actor	gui_bed_war_shop_title1	497.5	51.5	12.5	315	1		红道具	沙漠
2	1	npc102.actor	gui_bed_war_lvshop_title1	504.5	51.5	19.5	135	2		红升级	沙漠
3	1	npc103.actor	gui_bed_war_shop_title1	504.5	51.5	97.5	45	1		黄道具	沙漠
4	1	npc102.actor	gui_bed_war_lvshop_title1	497.5	51.5	104.5	225	2		黄升级	沙漠
5	1	npc103.actor	gui_bed_war_shop_title1	419.5	51.5	104.5	135	1		蓝道具	沙漠
6	1	npc102.actor	gui_bed_war_lvshop_title1	412.5	51.5	97.5	315	2		蓝升级	沙漠
7	1	npc103.actor	gui_bed_war_shop_title1	412.5	51.5	19.5	225	1		绿道具	沙漠
8	1	npc102.actor	gui_bed_war_lvshop_title1	419.5	51.5	12.5	45	2		绿升级	沙漠
9	2	npc103.actor	gui_bed_war_shop_title1	890.5	50	15.5	90	1		红道具	现代
10	2	npc102.actor	gui_bed_war_lvshop_title1	880.5	50	15.5	270	2		红升级	现代
11	2	npc103.actor	gui_bed_war_shop_title1	955.5	50	90.5	180	1		黄道具	现代
12	2	npc102.actor	gui_bed_war_lvshop_title1	955.5	50	80.5	0	2		黄升级	现代
13	2	npc103.actor	gui_bed_war_shop_title1	880.5	50	155.5	270	1		蓝道具	现代
14	2	npc102.actor	gui_bed_war_lvshop_title1	890.5	50	155.5	90	2		蓝升级	现代
15	2	npc103.actor	gui_bed_war_shop_title1	815.5	50	80.5	0	1		绿道具	现代
16	2	npc102.actor	gui_bed_war_lvshop_title1	815.5	50	90.5	180	2		绿升级	现代
17	3	npc103.actor	gui_bed_war_shop_title1	1367.5	50	91.5	180	1		红道具	小屋
18	3	npc102.actor	gui_bed_war_lvshop_title1	1367.5	50	83.5	0	2		红升级	小屋
19	3	npc103.actor	gui_bed_war_shop_title1	1292.5	50	158.5	270	1		黄道具	小屋
20	3	npc102.actor	gui_bed_war_lvshop_title1	1300.5	50	158.5	90	2		黄升级	小屋
21	3	npc103.actor	gui_bed_war_shop_title1	1225.5	50	83.5	0	1		蓝道具	小屋
22	3	npc102.actor	gui_bed_war_lvshop_title1	1225.5	50	91.5	180	2		蓝升级	小屋
23	3	npc103.actor	gui_bed_war_shop_title1	1300.5	50	16.5	90	1		绿道具	小屋
24	3	npc102.actor	gui_bed_war_lvshop_title1	1292.5	50	16.5	270	2		绿升级	小屋
25	4	npc103.actor	gui_bed_war_shop_title1	1717.5	100	112.5	90	1		红道具	中式
26	4	npc102.actor	gui_bed_war_lvshop_title1	1711.5	100	118.5	180	2		红升级	中式
27	4	npc103.actor	gui_bed_war_shop_title1	1617.5	100	118.5	180	1		黄道具	中式
28	4	npc102.actor	gui_bed_war_lvshop_title1	1611.5	100	112.5	270	2		黄升级	中式
29	4	npc103.actor	gui_bed_war_shop_title1	1611.5	100	18.5	270	1		蓝道具	中式
30	4	npc102.actor	gui_bed_war_lvshop_title1	1617.5	100	12.5	0	2		蓝升级	中式
31	4	npc103.actor	gui_bed_war_shop_title1	1711.5	100	12.5	0	1		绿道具	中式
32	4	npc102.actor	gui_bed_war_lvshop_title1	1717.5	100	18.5	90	2		绿升级	中式
33	5	npc103.actor	gui_bed_war_shop_title1	2219.5	79.5	48.5	270	1		红道具	海盗
34	5	npc102.actor	gui_bed_war_lvshop_title1	2219.5	79.5	46.5	270	2		红升级	海盗
