SoundId	IsRepeat	RepeatInterval_min	RepeatInterval_max	SoundFile	SoundVolume	Type	SubType	Desc	Unnamed: 9
#	0	0	0	#	1.0			点击确定按钮	
#	0	0	0	#	1.0			点击取消按钮	
2	0	0	0	Media/Sound/ui/error	1.0			错误操作	
3	0	0	0	Media/Sound/ui/result_c	1.0			无效操作	
#	0	0	0	#	1.0			打开一级面板	
#	0	0	0	#	1.0			关闭一级面板	
#	0	0	0	#	1.0			打开二级或更低级面板	
#	0	0	0	#	1.0			关闭二级或更低级面板	
8	0	0	0	Media/Sound/random/successful_hit	1.0			弹出提示窗	
9	0	0	0	Media/Sound/random/successful_hit	1.0			邮件	
10	0	0	0	Media/Sound/note/bass	1.0			私聊	
11	0	0	0	Media/Sound/ui/count_down_normal	1.0			倒计时，普通	
12	0	0	0	Media/Sound/ui/count_down_special	1.0			倒计时，急迫	
13	0	0	0	Media/Sound/ui/gold_buy_01	1.0			获得物品	
14	0	0	0	Media/Sound/ui/gold_buy_02	1.0			获得金币	
15	0	0	0	Media/Sound/note/bass	1.0			获得钻石	
16	0	0	0	Media/Scripts/Game/g1008/res/sound/props/attackHurt	2.5			男玩家受击
17	0	0	0	Media/Scripts/Game/g1008/res/sound/props/attackHurt	2.5			女玩家受击
18	0	0	0	Media/Scripts/Game/g1008/res/sound/props/attackHurt	2.5			玩家受击3
19	0	0	0	Media/Sound/random/bow 	1.0			拉弓	
20	0	0	0	Media/Sound/random/bowhit	1.0			发射	
21	0	0	0	Media/Sound/random/bowhit	1.0			发射火箭	
22	0	0	0	Media/Sound/random/bowhit	1.0			发射特殊箭	
23	0	0	0	Media/Sound/mob/zombie/hurt	1.0			僵尸受伤	
24	0	0	0	Media/Sound/mob/zombie/death	1.0			僵尸死亡	
25	0	0	0	Media/Sound/dig/lay	1.0			放置草方块	
26	0	0	0	Media/Sound/dig/grass_dig	1.0			破坏草方块	
27	0	0	0	Media/Sound/dig/lay	1.0			放置泥方块	
28	0	0	0	Media/Sound/dig/earth_dig	1.0			破坏泥方块	
29	0	0	0	Media/Scripts/Game/g1008/res/sound/block/makeWood	1.0			放置木方块
30	0	0	0	Media/Scripts/Game/g1008/res/sound/block/digWood	1.0			破坏木方块
31	0	0	0	Media/Sound/dig/lay	1.0			放置软质方块	
32	0	0	0	Media/Sound/dig/sand_dig	1.0			破坏软质方块	
33	0	0	0	Media/Sound/dig/lay	1.0			放置沙子方块	
34	0	0	0	Media/Sound/dig/sand_dig	1.0			破坏沙子方块	
35	0	0	0	Media/Sound/dig/lay	1.0			放置雪方块	
36	0	0	0	Media/Sound/dig/snow_dig	1.0			破坏雪方块	
37	0	0	0	Media/Scripts/Game/g1008/res/sound/block/makeStone	1.0			放置石方块
38	0	0	0	Media/Scripts/Game/g1008/res/sound/block/digStone	1.0			破坏石方块
39	0	0	0	Media/Sound/dig/lay	1.0			放置铁方块	
40	0	0	0	Media/Sound/dig/gold_dig	1.0			破坏铁方块	
41	0	0	0	Media/Sound/dig/lay	1.0			放置金方块	
42	0	0	0	Media/Sound/dig/gold_dig	1.0			破坏金方块	
43	0	0	0	Media/Sound/dig/lay	1.0			放置钻石方块	
44	0	0	0	Media/Sound/dig/gold_dig	1.0			破坏钻石方块	
45	0	0	0	Media/Sound/step/cloth	1.5			行走布质地面	
46	0	0	0	Media/Sound/step/grass	1.0			行走草地	
47	0	0	0	Media/Sound/step/sand	1.0			行走沙地	
48	0	0	0	Media/Sound/step/gravel	1.0			行走碎石地	
49	0	0	0	Media/Sound/step/ladder	1.0			行走梯子	
50	0	0	0	Media/Sound/step/stone	1.0			行走石地板、金属	
51	0	0	0	Media/Sound/step/wood	1.0			行走木地板	
52	0	0	0	Media/Sound/step/snow	1.0			引信	
53	0	0	0	Media/Sound/random/glass	1.0			碎玻璃	
54	0	0	0	Media/Sound/random/click	1.0			木按钮	
55	0	0	0	Media/Sound/random/wooden_door/open	1.0			开木门	
56	0	0	0	Media/Sound/random/wooden_door/close 	1.0			关木门	
57	0	0	0	Media/Sound/random/iron_door/open	1.0			开铁门	
58	0	0	0	Media/Sound/random/iron_door/close	1.0			关铁门	
59	0	0	0	Media/Sound/step/snow	1.0			传送门	
60	0	0	0	Media/Sound/random/fuse	1.0			发出嘶嘶声	
61	0	0	0	Media/Sound/random/explode	0.8			爆炸	
62	0	0	0	Media/Sound/step/snow	1.0			隐身状态	
63	0	0	0	Media/Sound/step/snow	1.0			加速状态	
64	0	0	0	Media/Sound/step/snow	1.0			跳跃状态	
65	0	0	0	Media/Sound/step/snow	1.0			夜视状态	
66	1	0	0	Media/Sound/ambient/weather/rain	1.0			下雨	
67	0	0	0	Media/Sound/ambient/weather/thunder	1.0			打雷	
68	0	0	0	Media/Sound/liquid/lava	1.0			熔岩	
69	0	0	0	Media/Sound/liquid/water	1.0			流水	
-1	0	0	0	#	1.0			点击	
71	0	0	0	Media/Sound/random/door_open	1.0			开门	
72	0	0	0	Media/Sound/random/door_close	1.0			关门	
73	0	0	0	Media/Sound/random/anvil_break 	1.0			random.anvil_break	
74	0	0	0	Media/Sound/random/anvil_use 	1.0			random.anvil_use	
75	0	0	0	Media/Sound/random/anvil_land 	1.0			random.anvil_land	
76	0	0	0	Media/Sound/random/glass	1.0			random.glass	
77	0	0	0	Media/Sound/liquid/swim	1.0			liquid.swim	
