索引	id	动作图标	动作名	Unnamed: 4	Unnamed: 5	Unnamed: 6	Unnamed: 7	Unnamed: 8	Unnamed: 9
index	id	image	name						
1	1	set:bedwar_taunt.json image:g1008_boy_taunt_01	taunt_01						
2	2	set:bedwar_taunt.json image:g1008_boy_taunt_02	taunt_02					快捷指令-个性动作表	
3	3	set:bedwar_taunt.json image:g1008_boy_taunt_03	taunt_03					需联表生效	
4	4	set:bedwar_taunt.json image:g1008_boy_taunt_04	taunt_04					CustomShopAction	id,name编号需相同
5	5	set:bedwar_taunt.json image:g1008_boy_taunt_05	taunt_05						
6	6	set:bedwar_taunt.json image:g1008_boy_taunt_06	taunt_06						
7	7	set:bedwar_taunt.json image:g1008_boy_taunt_07	taunt_07						
8	8	set:bedwar_taunt.json image:g1008_boy_taunt_08	taunt_08						
9	9	set:bedwar_taunt.json image:g1008_boy_taunt_09	taunt_09						
10	10	set:bedwar_taunt.json image:g1008_boy_taunt_10	taunt_10						
11	11	set:bedwar_taunt.json image:g1008_boy_taunt_11	taunt_11						
12	12	set:bedwar_license_reward.json image:g1008_boy_taunt_12	taunt_12						
13	13	set:bedwar_license_reward.json image:g1008_boy_taunt_13	taunt_13						
14	14	set:bedwar_license_reward_season4.json image:g1008_boy_taunt_14	taunt_14						
15	15	set:bedwar_license_reward_season4.json image:g1008_boy_taunt_15	taunt_15						
16	16	set:bedwar_license_reward_season4.json image:g1008_boy_taunt_16	taunt_16						
17	17	set:bedwar_license_reward_season4.json image:g1008_boy_taunt_17	taunt_17						
18	18	set:bedwar_license_reward_season8.json image:g1008_boy_taunt_18	taunt_18						
20	20	set:bedwar_license_reward_season10.json image:g1008_boy_taunt_20	taunt_20						
21	21	set:bedwar_license_reward_season10.json image:g1008_boy_taunt_21	taunt_21						
