商品ID	特效箭Id	预览挂点名	预览Mash	预览动作	Unnamed: 5	Unnamed: 6	Unnamed: 7	Unnamed: 8
Id	EffectArrowId	PartName	MeshName	Action				
6001	601	effect_arrow	1	jianying_special	冰晶箭	第四赛季通行证免费		
6002	602	effect_arrow	2	jianying_special	飞剑	第一赛季通行证免费		
6003	603	effect_arrow	3	jianying_special	光箭	第一赛季通行证兑换		
6004	604	effect_arrow	4	jianying_special	火箭	第六赛季通行证兑换		
6005	605	effect_arrow	5	jianying_special	幽火箭	第八赛季通行证兑换		
6006	606	effect_arrow	6	jianying_special	绿箭	第三赛季通行证免费		
6007	607	effect_arrow	7	jianying_special	魔法箭	第七赛季通行证兑换		
6008	608	effect_arrow	8	jianying_special	雷电箭	第四赛季通行证兑换		
6009	609	effect_arrow	9	jianying_special	能量箭	第二赛季通行证免费		
6010	610	effect_arrow	10	jianying_special	蔷薇箭	第五赛季通行证免费		
6011	611	effect_arrow	11	jianying_special	星辰箭	第六赛季通行证免费		
6012	612	effect_arrow	12	jianying_special	心箭	第一赛季通行证兑换		
6013	613	effect_arrow	13	jianying_special	螺旋箭	第五赛季通行证兑换		
6014	614	effect_arrow	14	jianying_special	闪电箭	第三赛季通行证兑换		第九赛季通行证免费
6015	615	effect_arrow	15	jianying_special	红外箭	第七赛季通行证免费		
6016	616	effect_arrow	16	jianying_special	圣诞箭	第五赛季通行证免费		
6017	617	effect_arrow	17	jianying_special	暗星	第八赛季通行证免费		
6018	618	effect_arrow	18	jianying_special	等离子	第九赛季通行证兑换		
6019	619	effect_arrow	19	jianying_special	导弹			
6020	620	effect_arrow	20	jianying_special	风眼			
6021	621	effect_arrow	21	jianying_special	烟花箭			
