序号	所属页面	页面名多语言（主页签）	类型	类型名多语言（子签）	标签ID（发布后不可变）	可同时装备数量	标签多语言（子子签）	模型显示方式	CustomShopTabs排序(小的排前面)	Unnamed: 9	Unnamed: 10	Unnamed: 11	Unnamed: 12	Unnamed: 13	Unnamed: 14	Unnamed: 15
Index	PageId	PageLang	Type	TypeLang	TabId	EquipCount	Lang	ModelType	Weight							
1	1	CustomShopTabs_PageLang_1	3	CustomShopTabs_TypeLang_3	1	1	CustomShopTabs_TagLang_3	2	100	宠物		定制商城切页表		TabId	类型	
2	1	CustomShopTabs_PageLang_1	7	CustomShopTabs_TypeLang_7	2	1	CustomShopTabs_TagLang_7	2	600	剑影				宠物	1	
3	1	CustomShopTabs_PageLang_1	6	CustomShopTabs_TypeLang_6	5	1	CustomShopTabs_TagLang_6	2	700	特效箭		模型显示方式		剑影	2	
4	1	CustomShopTabs_PageLang_1	5	CustomShopTabs_TypeLang_5	6	999	CustomShopTabs_TagLang_5	2	800	个性动作		1：小模型		击杀播报	3	下架
5	1	CustomShopTabs_PageLang_1	2	CustomShopTabs_TypeLang_2	4	1	CustomShopTabs_TagLang_2	1	900	足迹		2：大模型		足迹	4	
6	2	CustomShopTabs_PageLang_2	100	CustomShopTabs_TypeLang_100	101	1	CustomShopTabs_TagLang_101	2	1000	木剑		3：独立模型		特效箭	5	
7	2	CustomShopTabs_PageLang_2	100	CustomShopTabs_TypeLang_100	102	1	CustomShopTabs_TagLang_102	2	1100	铁剑				个性动作	6	
8	2	CustomShopTabs_PageLang_2	100	CustomShopTabs_TypeLang_100	103	1	CustomShopTabs_TagLang_103	2	1200	金剑				方块	7	迁移
9	2	CustomShopTabs_PageLang_2	100	CustomShopTabs_TypeLang_100	104	1	CustomShopTabs_TagLang_104	2	1300	钻石剑				羊毛	8	迁移
10	2	CustomShopTabs_PageLang_2	200	CustomShopTabs_TypeLang_200	201	1	CustomShopTabs_TagLang_201	2	1400	木斧				木头	9	迁移
11	2	CustomShopTabs_PageLang_2	200	CustomShopTabs_TypeLang_200	202	1	CustomShopTabs_TagLang_202	2	1500	铁斧				石头	10	迁移
12	2	CustomShopTabs_PageLang_2	200	CustomShopTabs_TypeLang_200	203	1	CustomShopTabs_TagLang_203	2	1600	金斧				黑曜石	11	迁移
13	2	CustomShopTabs_PageLang_2	200	CustomShopTabs_TypeLang_200	204	1	CustomShopTabs_TagLang_204	2	1700	钻石斧				翅膀	12	下架
14	2	CustomShopTabs_PageLang_2	300	CustomShopTabs_TypeLang_300	301	1	CustomShopTabs_TagLang_301	2	1800	木镐						
15	2	CustomShopTabs_PageLang_2	300	CustomShopTabs_TypeLang_300	302	1	CustomShopTabs_TagLang_302	2	1900	铁镐				类型（Type）	type固定	
16	2	CustomShopTabs_PageLang_2	300	CustomShopTabs_TypeLang_300	303	1	CustomShopTabs_TagLang_303	2	2000	金镐				1	方块	
17	2	CustomShopTabs_PageLang_2	300	CustomShopTabs_TypeLang_300	304	1	CustomShopTabs_TagLang_304	2	2100	钻石镐				2	足迹	
18	2	CustomShopTabs_PageLang_2	400	CustomShopTabs_TypeLang_400	401	1	CustomShopTabs_TagLang_401	2	2200	初级弓				3	宠物	
19	2	CustomShopTabs_PageLang_2	500	CustomShopTabs_TypeLang_500	501	1	CustomShopTabs_TagLang_501	2	2500	头盔				4	击杀播报	
20	3	CustomShopTabs_PageLang_3	1001	CustomShopTabs_TypeLang_1001	1001	1	CustomShopTabs_TagLang_1001	3	3000	木头-静态				5	个性动作	
21	3	CustomShopTabs_PageLang_3	1002	CustomShopTabs_TypeLang_1002	1002	1	CustomShopTabs_TagLang_1002	3	3100	末地石-静态				6	特效箭	
22	3	CustomShopTabs_PageLang_3	1003	CustomShopTabs_TypeLang_1003	1003	1	CustomShopTabs_TagLang_1003	3	3200	黑曜石-静态				7	刀光剑影	
														100	剑	
														200	斧	
														300	镐	
														400	弓	
														500	头盔	
