Index	season	RewardId	RewardNum	RewardType	SortWeight	RewardValue	Unnamed: 7	Unnamed: 8
索引	赛季	奖励ID	奖励数量	奖励类型（1-普通通行证， 2-付费通行证）	排序权重	付费奖励价值		
Index	season	RewardId	RewardNum	RewardType	SortWeight	RewardValue		
1	1	5004	1	1	100	188		秀肌肉
2	1	6002	1	1	99	358		飞剑
3	1	2006	1	1	98	588		赛博拖尾
4	1	60102	170	1	97	170		号角
5	1	60101	215	1	96	108		钥匙
6	1	60103	25	1	95	125		黄金宝箱
7	1	60104	2	1	94	300		钻石宝箱
8	1	3016	1	2	93	2988		床霸
9	1	2009	1	2	92	988		水泡
10	1	7012	1	2	91	588		霓虹刀光
11	1	7008	1	2	90	988		泡泡刀光
12	1	60104	2	2	89	300		钻石宝箱
13	1	60103	18	2	88	90		黄金宝箱
14	1	60356	3	2	87	1800		保护Ⅲ
15	1	60218	1	2	86	20		经验翻倍24h
16	1	60214	1	2	85	12		生命值强化24h
17	1	60217	1	2	84	8		快速复活24h
18	1	60213	1	2	83	13		道具特权24h
19	1	60102	950	2	82	950		号角
20	1	60101	520	2	81	260		钥匙
21	2	5007	1	1	100	188		抹杀
22	2	6009	1	1	99	588		能量箭
23	2	2001	1	1	98	788		冰晶拖尾
24	2	60102	170	1	97	170		号角
25	2	60101	215	1	96	108		钥匙
26	2	60104	2	1	95	300		钻石宝箱
27	2	60103	25	1	94	125		黄金宝箱
28	2	3017	1	2	93	2988		小恶魔
29	2	7013	1	2	92	588		黑暗刀光
30	2	7003	1	2	91	988		星星刀光
31	2	2011	1	2	90	988		火焰拖尾
32	2	60361	3	2	89	1800		铁墓Ⅲ
33	2	60104	2	2	88	300		钻石宝箱
34	2	60103	18	2	87	90		黄金宝箱
35	2	60102	950	2	86	950		号角
36	2	60101	520	2	85	260		钥匙
37	2	60218	1	2	84	20		经验翻倍24h
38	2	60214	1	2	83	12		生命值强化24h
39	2	60217	1	2	82	8		快速复活24h
40	2	60213	1	2	81	13		道具特权24h
41	3	6006	1	1	100	188		绿箭
42	3	2002	1	1	99	358		雷电拖尾
43	3	10065	1	1	98	120		部落勇士
44	3	60102	170	1	97	170		号角
45	3	60101	215	1	96	108		钥匙
46	3	60104	2	1	95	300		钻石宝箱
47	3	60103	25	1	94	125		黄金宝箱
48	3	3012	1	2	93	2988		皇牌飞行猪
49	3	7014	1	2	92	988		冰冻刀光
50	3	2005	1	2	91	988		彩虹拖尾
51	3	5013	1	2	90	588		蹬腿舞
52	3	60354	3	2	89	1800		击退Ⅲ
53	3	60104	2	2	88	300		钻石宝箱
54	3	60103	18	2	87	90		黄金宝箱
55	3	60102	950	2	86	950		号角
56	3	60101	520	2	85	260		钥匙
57	3	60218	1	2	84	20		经验翻倍24h
58	3	60214	1	2	83	12		生命值强化24h
59	3	60217	1	2	82	8		快速复活24h
60	3	60213	1	2	81	13		道具特权24h
