index	mapId	teamId	队伍名字（对应gametips上的队伍名字的编号）	玩家复活，游戏开始点X	家的范围	资源点Id	床位置	床的朝向	模板组id	不能放置方块区域	初始物品	羊毛方块Id	傀儡Id	放setting表	Unnamed: 14
index	mapId	id	name	initPos	homeAreaPos	resourcePointId	bedPos	bedYaw	schemeticGroupId	cannotPlaceBlock	initItems	clothBlockId	doubleDummyId		
1	1	1	1008034	501.5,51,15.5	488,43,1#514,88,28	7	494,50,22#494,50,23	90	1	497,50,9#508,56,20	2056#2057#2058#2059#268	1441	581	红队	沙漠
2	1	2	1008035	415.5,51,101.5	403,44,88#428,84,116	8	422,50,93#422,50,94	270	1	409,50,97#420,56,108	2060#2061#2062#2063#268	1442	580	蓝队	沙漠
3	1	3	1008036	415.5,51,15.5	401.5,46.5,3.5#428.5,86.5,28.5	9	423,50,22#422,50,22	180	2	409,50,9#420,56,20	2064#2065#2066#2067#268	1443	579	绿队	沙漠
4	1	4	1008037	501.5,51,101.5	489.5,43.5,89.5#516.5,84.5,114.5	10	493,50,94#494,50,94	0	1	497,50,97#508,56,108	2068#2069#2070#2071#268	1444	578	黄队	沙漠
5	2	1	1008034	885.5,50,15.5	871,20,0#901,93,30	7	885,50,24#885,50,25	90	1	879,50,8#892,53,19	2056#2057#2058#2059#268	1441	581	红队	现代
6	2	2	1008035	885.5,50,155.5	870,40,141#902,89,172	8	885,50,145#885,50,146	270	1	879,50,152#892,53,163	2060#2061#2062#2063#268	1442	580	蓝队	现代
7	2	3	1008036	815.5,50,85.5	799,34,68#830,89,100	9	825,50,85#824,50,85	180	2	808,50,79#819,53,92	2064#2065#2066#2067#268	1443	579	绿队	现代
8	2	4	1008037	955.5,50,85.5	940,40,69#972,88,100	10	945,50,85#946,50,85	0	1	952,50,79#963,53,92	2068#2069#2070#2071#268	1444	578	黄队	现代
9	3	1	1008034	1367.5,50,87.5	1352,40,66#1382,75,109	7	1359,49,87#1359,49,88	90	1	1366,50,83#1375,56,92	2056#2057#2058#2059#268	1441	581	红队	小屋
10	3	2	1008035	1225.5,50,87.5	1211,43,73#1240,79,99	8	1233,49,86#1233,49,87	270	1	1218,50,83#1227,56,92	2060#2061#2062#2063#268	1442	580	蓝队	小屋
11	3	3	1008036	1296.5,50,16.5	1286,44,2#1310,77,33	9	1297,49,24#1296,49,24	180	2	1292,50,9#1301,56,18	2064#2065#2066#2067#268	1443	579	绿队	小屋
12	3	4	1008037	1296.5,50,158.5	1283,40,144#1308,78,174	10	1295,49,150#1296,49,150	0	1	1292,50,157#1301,56,167	2068#2069#2070#2071#268	1444	578	黄队	小屋
13	4	1	1008034	1713.5,100,114.5	1693,88,95#1727,129,130	7	1701,99,102#1701,99,103	90	1	1708,99,109#1719,103,120	2056#2057#2058#2059#268	1441	581	红队	中式
14	4	2	1008035	1614.5,100,15.5	1601,88,1#1633,129,35	8	1627,99,27#1627,99,28	270	1	1620,99,21#1609,103,10	2060#2061#2062#2063#268	1442	580	蓝队	中式
15	4	3	1008036	1713.5,100,15.5	1696,88,1#1729,129,35	9	1702,99,28#1701,99,28	180	2	1708,99,21#1719,103,10	2064#2065#2066#2067#268	1443	579	绿队	中式
16	4	4	1008037	1614.5,100,114.5	1600,99,97#1634,129,128	10	1626,99,102#1627,99,102	0	1	1620,99,109#1609,103,120	2068#2069#2070#2071#268	1444	578	黄队	中式
17	5	1	1008034	2224.5,79,49.5	2213,71,31#2234,109,72	7	2224,80,58#2224,80,59	90	1	2219,79,41#2230,82,53	2056#2057#2058#2059#268	1441	581	红队	海盗
18	5	2	1008035	2224.5,79,201.5	2213,71,174#2234,109,220	8	2224,80,191#2224,80,192	270	1	2219,79,198#2230,82,210	2060#2061#2062#2063#268	1442	580	蓝队	海盗
19	5	3	1008036	2300.5,79,125.5	2278,71,115#2319,109,136	9	2291,80,125#2290,80,125	180	2	2297,79,120#2309,82,131	2064#2065#2066#2067#268	1443	579	绿队	海盗
20	5	4	1008037	2148.5,79,125.5	2130,71,115#2171,109,136	10	2157,80,125#2158,80,125	0	1	2140,79,120#2152,82,131	2068#2069#2070#2071#268	1444	578	黄队	海盗
21	6	1	1008034	2882.5,87,11.5	2868,75,0#2896,104,26	7	2885,85,21#2885,85,22	90	1	2878,86,6#2888,94,16	2056#2057#2058#2059#268	1441	581	红队	圣诞节
22	6	2	1008035	2888.5,87,159.5	2875,75,145#2903,104,171	8	2885,85,148#2885,85,149	270	1	2884,86,155#2893,94,165	2060#2061#2062#2063#268	1442	580	蓝队	圣诞节
23	6	3	1008036	2811.5,87,88.5	2800,75,75#2826,104,103	9	2822,85,85#2821,85,85	180	2	2806,86,84#2816,94,93	2064#2065#2066#2067#268	1443	579	绿队	圣诞节
24	6	4	1008037	2959.5,87,82.5	2945,75,68#2971,104,96	10	2948,85,85#2949,85,85	0	1	2955,86,78#2965,94,87	2068#2069#2070#2071#268	1444	578	黄队	圣诞节
25	7	1	1008034	496.5,61,420.5	490,29,409#504,72,432	9	496,61,427#496,61,428	0	4	492,60,412#501,63,426	2056#2057#2058#2059#268	1441	581	红队	圣殿
26	7	2	1008035	542.5,61,467.5	532,29,460#555,72,475	10	535,61,467#536,61,467	90	4	539,60,463#552,63,472	2060#2061#2062#2063#268	1442	580	蓝队	圣殿
27	7	3	1008036	542.5,61,503.5	532,29,496#555,72,511	11	535,61,503#536,61,503	90	4	539,60,499#552,63,508	2064#2065#2066#2067#268	1443	579	绿队	圣殿
28	7	4	1008037	496.5,61,549.5	489,29,539#504,72,562	12	496,61,542#496,61,543	180	4	492,60,545#501,63,559	2068#2069#2070#2071#268	1444	578	黄队	圣殿
29	7	5	1008039	460.5,61,549.5	453,29,539#468,72,562	13	460,61,542#460,61,543	180	4	456,60,545#465,63,559	701#702#703#704#268	1445	577	青队	圣殿
30	7	6	1008040	414.5,61,503.5	402,29,496#425,72,511	14	420,61,503#421,61,503	270	4	405,60,499#418,63,508	705#706#707#708#268	1446	576	白队	圣殿
31	7	7	1008041	414.5,61,467.5	402,29,460#425,72,475	15	420,61,467#421,61,467	270	4	405,60,463#418,63,472	709#710#711#712#268	1447	575	粉队	圣殿
32	7	8	1008042	460.5,61,420.5	453,29,409#468,72,432	16	460,61,427#460,61,428	0	4	456,60,412#465,63,425	713#714#715#716#268	1448	574	黑队	圣殿
33	8	1	1008034	116,62,426	103,53,406#130,100,447	9	116,63,435#116,63,436	0	4	112,61,422#121,64,431	2056#2057#2058#2059#268	1441	581	红队	气球
34	8	2	1008035	166,62,476	153,53,463#187,100,490	10	157,63,476#158,63,476	90	4	162,61,472#171,64,481	2060#2061#2062#2063#268	1442	580	蓝队	气球
35	8	3	1008036	166,62,516	146,53,503#187,100,530	11	157,63,516#158,63,516	90	4	162,61,512#171,64,521	2064#2065#2066#2067#268	1443	579	绿队	气球
36	8	4	1008037	116,62,566	103,53,546#130,100,587	12	116,63,557#116,63,558	180	4	112,61,562#121,64,571	2068#2069#2070#2071#268	1444	578	黄队	气球
37	8	5	1008039	76,62,566	63,53,546#90,100,587	13	76,63,557#76,63,558	180	4	72,61,562#81,64,571	701#702#703#704#268	1445	577	青队	气球
