商品ID	脚印Id	预览挂点名	预览Mash	预览动作	Unnamed: 5	Unnamed: 6	Unnamed: 7
Id	FootprintId	PartName	MeshName	Action			
2001	1	effect_footprint	1	jump_special		冰晶拖尾	第二赛季通行证免费
2002	2	effect_footprint	2	jump_special		雷电拖尾	第三赛季通行证免费
2003	3	effect_footprint	3	jump_special		樱花拖尾	第一赛季通行证紫色宝箱
2004	4	effect_footprint	4	jump_special		腾云拖尾	
2005	5	effect_footprint	5	jump_special		彩虹拖尾	第三赛季通行证付费
2006	6	effect_footprint	6	jump_special		赛博拖尾	第一赛季通行证免费
2007	7	effect_footprint	7	jump_special		量子拖尾	
2008	8	effect_footprint	8	jump_special		幽灵鬼脸拖尾	
2009	9	effect_footprint	9	jump_special		水泡足迹	第一赛季通行证付费
2010	10	effect_footprint	10	jump_special		音符拖尾	
2011	11	effect_footprint	11	jump_special		火焰拖尾	第二赛季通行证付费
2012	12	effect_footprint	12	jump_special		冰冻拖尾	
