配置ID	模型名字	相对玩家的位置	玩家模型动作	UI上播的动作	UI显示的位置	击杀播报挂件	嘲讽时间	缩放倍数	Unnamed: 9	Unnamed: 10
Id	ActorName	offset	uiPlayerSkill	uiSkillName	uiOffset	pendant	tauntTime	scale		
3001	g1008_pet_1.actor	0.5,1.7,-0.5	taunt_03	taunt	0.9,-1.2	set:pet_headshot.json image:g1008_icon_petFace_1	2700	1	羊咩咩	
3002	g1008_pet_2.actor	0.5,1.7,-0.5	taunt_03	taunt	0.9,-1	set:pet_headshot.json image:g1008_icon_petFace_2	3400	1	木头人	
3003	g1008_pet_3.actor	0.5,1.6,-0.5	taunt_03	taunt	0.9,-1	set:pet_headshot.json image:g1008_icon_petFace_3	1660	1	石头人	
3004	g1008_pet_4.actor	0.5,1.7,-0.5	taunt_03	taunt	0.9,-1	set:pet_headshot.json image:g1008_icon_petFace_4	1430	1	曜石守卫	第一赛季通行证紫色宝箱
3005	g1008_pet_5.actor	0.5,1.7,-0.5	taunt_03	taunt	0.9,-1	set:pet_headshot.json image:g1008_icon_petFace_5	1960	1.5	宝石守卫	
3006	g1008_pet_6.actor	0.5,1.7,-0.5	taunt_03	taunt	0.9,-1	set:pet_headshot.json image:g1008_icon_petFace_6	2160	1.5	烈焰人	
3007	g1008_pet_7.actor	0.5,1.8,-0.9	taunt_03	taunt	0.9,-1	set:pet_headshot.json image:g1008_icon_petFace_7	2400	1.5	影子人	
3008	g1008_pet_8.actor	0.5,1.7,-0.5	taunt_03	taunt	0.9,-1	set:pet_headshot.json image:g1008_icon_petFace_8	2160	1.5	宝宝龙	
3009	g1008_pet_9.actor	0.5,1.8,-0.8	taunt_03	taunt	0.9,-1	set:pet_headshot.json image:g1008_icon_petFace_1	3400	1.4	宝石游侠	
3010	g1008_pet_10.actor	0.65,1.65,-0.8	taunt_03	taunt	0.9,-1	set:pet_headshot.json image:g1008_icon_petFace_1	2360	1.4	魔法猫咪	
3011	g1008_pet_11.actor	0.5,1.8,-0.5	taunt_03	taunt	0.9,-1	set:pet_headshot.json image:g1008_icon_petFace_1	4360	1.35	柯基	
3012	g1008_pet_12.actor	0.5,1.7,-0.6	taunt_03	taunt	0.9,-1	set:pet_headshot.json image:g1008_icon_petFace_1	2700	1.3	皇牌飞行猪	第三赛季通行证付费
3013	g1008_pet_13.actor	0.5,1.7,-0.5	taunt_03	taunt	0.9,-1	set:pet_headshot.json image:g1008_icon_petFace_1	3500	1.4	恐龙猫	
3014	g1008_pet_14.actor	0.5,1.8,-0.6	taunt_03	taunt	0.9,-1	set:pet_headshot.json image:g1008_icon_petFace_1	3000	1.4	炸弹人	
3015	g1008_pet_15.actor	0.5,1.8,-0.6	taunt_03	taunt	0.9,-1	set:pet_headshot.json image:g1008_icon_petFace_1	3160	1.4	拳击手	
3016	g1008_pet_16.actor	0.5,1.8,-0.75	taunt_03	taunt	0.9,-1	set:pet_headshot.json image:g1008_icon_petFace_1	2900	1.4	床霸	第一赛季通行证付费
3017	g1008_pet_17.actor	0.5,1.8,-0.75	taunt_03	taunt	0.9,-1	set:pet_headshot.json image:g1008_icon_petFace_1	2900	1.4	小恶魔	第二赛季通行证付费
